现在 /t 68	 , 可能/v, 现在/t, 已经/d, 
刚才 /t 49	 , 发现/v, 刚才/t, 那个/rz,
今天 /t 47	  。/w], [今天/t, 晚上/t, 
朝 /t 16	 z, 就/d, 朝/tg, 屋内/s,
上次 /t 14	  ，/w], [上次/t, 也/d, 是
今年 /t 13	  [他/rr, 今年/t, 十九/m, 
白天 /t 13	 , 方便/a, 白天/t, 在/p, 那
当时 /t 13	 , [“/w, 当时/t, 您/rr, 
最近 /t 13	 , 谈论/v, 最近/t, 在/p, 闹
目前 /t 11	 , [就/d, 目前/t, 所/usuo
下午 /t 10	 , [“/w, 下午/t, 好/a, 。
晚上 /t 10	  [今天/t, 晚上/t, 只/d, 来
早上 /t 8	 的/ude1, 早上/t, ，/w], 
昨天 /t 8	 , 直到/v, 昨天/t, ，/w], 
年前 /t 7	 i, 三/m, 年前/t, 的/ude1
平时 /t 7	 , 他/rr, 平时/t, 从未见过/l
上午 /t 5	 m, 日/b, 上午/t, 8/m, 点
当天 /t 5	  作案/vi, 当天/t, ，/w], 
深夜 /t 5	 z, 到/v, 深夜/t, ，/w], 
后来 /t 5	  ，/w], [后来/t, 麦/ng, 
星期五 /t 4	 是/vshi, 星期五/t, 吧/y, ？
星期天 /t 4	 [这个/rz, 星期天/t, 特意/d, 
上个月 /t 4	 , [“/w, 上个月/t, 他/rr, 
晚 /t 4	 , 来/vf, 晚/tg, 了/ule
早晨 /t 4	  ，/w], [早晨/t, 6/m, 点
明天 /t 3	 /udeng, 明天/t, 改好/v, 
当晚 /t 3	 , 发生/v, 当晚/t, 跌倒/vi,
将来 /t 3	  ，/w], [将来/t, 肯定/v, 
周五 /t 3	 t, 、/w, 周五/t, 、/w, 周
周六 /t 3	 t, 、/w, 周六/t, 的/ude1
傍晚 /t 3	  [今天/t, 傍晚/t, 之前/f, 
清 /t 3	 n, 不/d, 清/tg, 头绪/n,
去年 /t 3	  ，/w], [去年/t, 的/ude1
一刹那 /t 2	 的/ude1, 一刹那/t, ，/w], 
以往 /t 2	 d, 比/p, 以往/t, 提早/d, 
中午 /t 2	  [今天/t, 中午/t, ，/w], 
秋天 /t 2	 , 等到/v, 秋天/t, ，/w], 
凌晨 /t 2	  了/ule, 凌晨/t, 两三/m, 
往常 /t 2	 , [像/v, 往常/t, 样/ng, 
平日 /t 2	  [仿佛/d, 平日/t, 里/f, 的
午夜 /t 2	  [已经/d, 午夜/t, 1/m, 点
月末 /t 2	 p, 7/m, 月末/t, 。/w], 
如今 /t 2	  ，/w], [如今/t, 的/ude1
下次 /t 2	  ？/w], [下次/t, 再/d, 回
午后 /t 2	 , 天/qt, 午后/t, ，/w], 
周日 /t 2	  ，/w], [周日/t, 里/f, 挤
当初 /t 2	 , 后悔/v, 当初/t, 自己/rr,
盛夏 /t 1	  ？/w], [盛夏/t, 的/ude1
一早 /t 1	 , 进/vf, 一早/t, 晨/tg, 
从前 /t 1	  [但是/c, 从前/t, 岛/n, 的
中旬 /t 1	 的/ude1, 中旬/t, ，/w], 
春天 /t 1	 , 今年/t, 春天/t, 的/ude1
昔日 /t 1	 z, 对/p, 昔日/t, 的/ude1
月中 /t 1	 p, 8/m, 月中/t, 旬/ng, 
往日 /t 1	  了/ule, 往日/t, 的/ude1
月初 /t 1	 i, 9/m, 月初/t, ？/w], 
转瞬间 /t 1	 d, 就/d, 转瞬间/t, ，/w], 
今后 /t 1	  ，/w], [今后/t, 这/rzv,
现 /t 1	 , 接收/v, 现/tg, 盘/qv,
晨 /t 1	 了/ule, 凌晨/t, 两三/m, 
刹那间 /t 1	 [草薙/nz, 刹那间/t, 懵/ag, 
生前 /t 1	 , 丈夫/n, 生前/t, 有/vyou
隋 /t 1	 1, 事/n, 隋/tg, 呢/y, 
近期 /t 1	 , 你/rr, 近期/t, 就/d, 可
半夜 /t 1	 , [大/a, 半夜/t, 的/ude1
当日 /t 1	 的/ude1, 当日/t, 。/w], 
周末 /t 1	 z, 到/v, 周末/t, 他们/rr,
周四 /t 1	 , 每个/r, 周四/t, 、/w, 周
上周 /t 1	  。/w], [上周/t, ……/w],
旧时 /t 1	  凝视着/n, 旧时/t, 的/ude1
星期一 /t 1	 m, 日/b, 星期一/t, 的/ude1
现时 /t 1	 , [发/v, 现时/t, 藤川/nr,
