现在 /t 92	  。/w], [现在/t, 公司/nis
当时 /t 47	  。/w], [当时/t, ，/w], 
今天 /t 45	  ，/w], [今天/t, 的/ude1
刚才 /t 30	 , 夫人/n, 刚才/t, 这么/rz,
朝 /t 24	 p, 背/v, 朝/tg, 门口/s,
晚上 /t 24	 , 今天/t, 晚上/t, 必须/d, 
最近 /t 23	  次郎/nz, 最近/t, 有些/rz,
昨天 /t 21	 , 其实/d, 昨天/t, 我/rr, 
明天 /t 16	 , [“/w, 明天/t, 一早/t, 
夜里 /t 13	  [半/mq, 夜里/t, 吧/y, ？
目前 /t 12	 是/vshi, 目前/t, 唯一/b, 
早晨 /t 10	 , 明天/t, 早晨/t, 能干/a, 
后来 /t 9	  ，/w], [后来/t, 又/d, 自
早上 /t 7	 , 今天/t, 早上/t, 咯/y, ？
中午 /t 6	 , [“/w, 中午/t, 出去/vf,
平时 /t 6	  [他/rr, 平时/t, 也/d, 不
来时 /t 6	 阳助回/nr, 来时/t, 妙/a, 子
当天 /t 5	  把/pba, 当天/t, 晚上/t, 
星期三 /t 5	 m, 到/v, 星期三/t, 回来/v, 
傍晚 /t 4	 , 天/qt, 傍晚/t, ，/w], 
上次 /t 4	  了/ule, 上次/t, 听到/v, 
晚 /t 4	 , 稍微/d, 晚/tg, 一会儿/m
上午 /t 3	 , 我/rr, 上午/t, 去/vf, 
星期五 /t 3	 是/vshi, 星期五/t, 。/w], 
下午 /t 3	 这天/rzt, 下午/t, ，/w], 
白天 /t 3	  了/ule, 白天/t, 侦探/nnd
周二 /t 3	 v, 下/f, 周二/t, 也/d, 就
上周 /t 3	 是/vshi, 上周/t, 三/m, 。
八月 /t 3	 [1/m], [八月/t, 里/f, 晴
凌晨 /t 2	 , 那天/r, 凌晨/t, 大约/d, 
酒后 /t 2	 , 喝/vg, 酒后/t, 话/n, 便
星期六 /t 2	 [8/m], [星期六/t, 的/ude1
将来 /t 2	 [考虑到/v, 将来/t, 的/ude1
年前 /t 2	  [十二/m, 年前/t, 她/rr, 
星期四 /t 2	  ，/w], [星期四/t, 的/ude1
今晚 /t 2	  我们/rr, 今晚/t, 该/rz, 
以往 /t 2	 [是因为/c, 以往/t, 他/rr, 
夜 /t 2	 之/uzhi, 夜/tg], [·/w
当初 /t 2	 , 按照/p, 当初/t, 我们/rr,
今后 /t 2	 , 知道/v, 今后/t, 该/rz, 
星期一 /t 2	 是/vshi, 星期一/t, 。/w], 
去年 /t 2	 , [“/w, 去年/t, 就/d, 听
一早 /t 1	 , 明天/t, 一早/t, 就/d, 把
清晨 /t 1	 , 天/qt, 清晨/t, ，/w], 
往后 /t 1	 , 头发/n, 往后/t, 扎起/nz,
夏季 /t 1	 的/ude1, 夏季/t, 针织/b, 
火头上 /t 1	 , 正在/d, 火头上/t, 的/ude1
昨晚 /t 1	  我们/rr, 昨晚/t, 也/d, 没
往日 /t 1	  了/ule, 往日/t, 的/ude1
婚前 /t 1	 是/vshi, 婚前/t, 身体/n, 
平日 /t 1	  自己/rr, 平日/t, 的/ude1
往常 /t 1	 , 和/cc, 往常/t, 一样/uyy
一大早 /t 1	 , 明天/t, 一大早/t, 就/d, 从
秋 /t 1	  了/ule, 秋/tg, 子真/nz
二月 /t 1	  。/w], [二月/t, 的/ude1
刹那间 /t 1	 n, 在/p, 刹那间/t, 屏住/v, 
今年 /t 1	 次郎/nrj, 今年/t, 七十七/m,
生前 /t 1	  [他/rr, 生前/t, 曾/d, 表
午后 /t 1	 的/ude1, 午后/t, ，/w], 
星期二 /t 1	  挨上/nz, 星期二/t, 的话/udh
半夜 /t 1	  [如果/c, 半夜/t, 要/v, 把
来年 /t 1	  ？/w], [来年/t, 你/rr, 
