现在 /t 69	  。/w], [现在/t, ，/w], 
今天 /t 40	 是/vshi, 今天/t, 他/rr, 
刚才 /t 35	 r, 从/p, 刚才/t, 开始/v, 
去年 /t 34	  。/w], [去年/t, 川津雅之/n
最近 /t 26	 , [“/w, 最近/t, 我们/rr,
晚上 /t 22	 这天/rzt, 晚上/t, ，/w], 
当时 /t 21	  [而且/c, 当时/t, 到底/d, 
明天 /t 20	 /udeng, 明天/t, 搬家/vi,
春 /t 18	 e, “/w, 春/tg, 村/n, 
后来 /t 13	  ，/w], [后来/t, 还/d, 偷
朝 /t 11	  女孩子/n, 朝/tg, 我/rr,
目前 /t 10	 v, ：/w, 目前/t, 的/ude1
早上 /t 9	 是/vshi, 早上/t, 那件事/l,
白天 /t 8	 的/ude1, 白天/t, 栏位/nz,
昨天 /t 8	 , 您/rr, 昨天/t, 的/ude1
上次 /t 6	 , 距离/n, 上次/t, 工作/vn,
傍晚 /t 4	  [当天/t, 傍晚/t, ，/w], 
春天 /t 3	 , [从/p, 春天/t, 开始/v, 
当天 /t 3	  。/w], [当天/t, 傍晚/t, 
一大早 /t 3	 , 明天/t, 一大早/t, 拿到/v, 
昨晚 /t 3	  。/w], [昨晚/t, 让/v, 我
事前 /t 3	 , 要是/c, 事前/t, 一点/m, 
下次 /t 3	  ，/w], [下次/t, 吧/y, ！
八月 /t 3	 v, ：/w, 八月/t, 一/m, 日
中午 /t 3	 v, 在/p, 中午/t, 之前/f, 
盛夏 /t 2	  了/ule, 盛夏/t, 的/ude1
六月 /t 2	  。/w], [六月/t, 的/ude1
以往 /t 2	 , 和/cc, 以往/t, 一样/uyy
下午 /t 2	 c, 在/p, 下午/t, 四/m, 点
前年 /t 2	 是/vshi, 前年/t, 的/ude1
半夜 /t 2	 v, 在/p, 半夜/t, 离开/v, 
去冬 /t 2	  [我/rr, 去冬/t, 子/ng, 
冬天 /t 2	 c, 到/v, 冬天/t, 的/ude1
星期三 /t 2	 的/ude1, 星期三/t, ，/w], 
星期日 /t 1	 [以及/cc, 星期日/t, 去/vf, 
同一天 /t 1	 v, 在/p, 同一天/t, 的/ude1
一刹那 /t 1	  那/rzv, 一刹那/t, 。/w], 
夏季 /t 1	 n, 在/p, 夏季/t, 时分/n, 
夜里 /t 1	  [那天/r, 夜里/t, 我/rr, 
星期天 /t 1	 的/ude1, 星期天/t, ，/w], 
将来 /t 1	 的/ude1, 将来/t, 写/v, 成
平日 /t 1	 , 一家/n, 平日/t, 经常/d, 
现 /t 1	  ，/w], [现/tg, 居于/v,
年初 /t 1	 , 去年/t, 年初/t, 的/ude1
深夜 /t 1	 i, 在/p, 深夜/t, 外出/vi,
刹那间 /t 1	  。/w], [刹那间/t, ，/w], 
翌日 /t 1	 [2/m], [翌日/t, ，/w], 
今年 /t 1	 , [“/w, 今年/t, 六月/t, 
昏 /t 1	 v, 又/d, 昏/tg, 了/ule
七月 /t 1	 [3/m], [七月/t, 的/ude1
饭后 /t 1	 , ——/w, 饭后/t, 一直/d, 
末了 /t 1	 , 事情/n, 末了/t, ，/w], 
那阵子 /t 1	  见面/vi, 那阵子/t, 之后/f, 
未来 /t 1	 , 希望/v, 未来/t, 的/ude1
晚 /t 1	 [当天/t, 傍晚/t, ，/w], 
忌日 /t 1	 , 周年/q, 忌日/t, 的/ude1
日前 /t 1	  ，/w], [日前/t, 看到/v, 
中世纪 /t 1	 , 穿起/v, 中世纪/t, 欧洲/ns,
现阶段 /t 1	 w, “/w, 现阶段/t, 还/d, 无
旦夕 /t 1	 n, 在/p, 旦夕/t, 的/ude1
