现在 /t 171	 k, 到/v, 现在/t, 还是/c, 
当时 /t 112	 , [“/w, 当时/t, 的/ude1
刚才 /t 70	 v, 从/p, 刚才/t, 就/d, 一
今天 /t 54	  ，/w], [今天/t, 也/d, 缺
从前 /t 48	 , 和/cc, 从前/t, 的/ude1
目前 /t 40	  [他/rr, 目前/t, 任职/v, 
最近 /t 29	 , 就是/v, 最近/t, 。/w], 
圣诞 /t 28	 , 传来/v, 圣诞/t, 歌声/n, 
朝 /t 24	 , 开始/v, 朝/tg, 他/rr,
明天 /t 22	 的话/udh, 明天/t, ，/w], 
晚上 /t 19	  星期五/t, 晚上/t, 七/m, 点
昨天 /t 19	  。/w], [昨天/t, 深夜/t, 
今年 /t 17	  ，/w], [今年/t, 四十二/m,
后来 /t 16	  ，/w], [后来/t, 的/ude1
昨晚 /t 13	  [我/rr, 昨晚/t, 几乎/d, 
晚 /t 11	 高仓/nr, 今晚/t, 也/d, 要
今后 /t 10	  。/w], [今后/t, 如果/c, 
新年 /t 10	 , 年/qt, 新年/t, ，/w], 
去年 /t 10	  ，/w], [去年/t, 那家伙/nz
早上 /t 9	  [那天/r, 早上/t, ，/w], 
下午 /t 9	  日/b], [下午/t, 三/m, 点
年前 /t 9	 v, 三/m, 年前/t, 通过/p, 
当年 /t 9	 , 和/cc, 当年/t, 打球/vi,
上次 /t 8	 , 我/rr, 上次/t, 看/v, 到
白天 /t 8	 , [“/w, 白天/t, ，/w], 
今晚 /t 8	  高仓/nr, 今晚/t, 也/d, 要
当天 /t 7	  ，/w], [当天/t, 就/d, 上
凌晨 /t 7	  。/w], [凌晨/t, 三/m, 点
十一月 /t 6	 是/vshi, 十一月/t, 的/ude1
当初 /t 6	  我们/rr, 当初/t, 不是/c, 
来时 /t 6	 , 出/vf, 来时/t, 的/ude1
深夜 /t 6	  [昨天/t, 深夜/t, ，/w], 
傍晚 /t 5	  ）/w], [傍晚/t, 六/m, 点
半夜 /t 5	 r, 在/p, 半夜/t, 随意/ad,
星期五 /t 5	 m, 个/q, 星期五/t, 。/w], 
先前 /t 5	  [拿出/v, 先前/t, 的/ude1
下次 /t 4	  ，/w], [下次/t, 如果/c, 
未来 /t 4	  考虑到/v, 未来/t, 的/ude1
夜 /t 4	 [昨天/t, 深夜/t, ，/w], 
圣诞节 /t 3	 , 接近/v, 圣诞节/t, ，/w], 
上个月 /t 3	 , [“/w, 上个月/t, 七/m, 号
往后 /t 3	 , 她/rr, 往后/t, 退/v, 。
明年 /t 3	 , 他/rr, 明年/t, 想/v, 出
冬天 /t 3	 的/ude1, 冬天/t, ，/w], 
冬 /t 3	 d, 川/b, 冬/tg, 纪就站/n
五月 /t 3	 , 那年/r, 五月/t, ，/w], 
年关 /t 2	 , 感到/v, 年关/t, 将近/d, 
上午 /t 2	 i, 在/p, 上午/t, 没什么/vl
时下 /t 2	  了/ule, 时下/t, 罕见/a, 
夏季 /t 2	 , 和/cc, 夏季/t, 问候/vn,
夜里 /t 2	  [某天/r, 夜里/t, ，/w], 
以往 /t 2	  。/w], [以往/t, 他们/rr,
近期 /t 2	 , 我/rr, 近期/t, 内/f, 会
除夕 /t 2	  。/w], [除夕/t, 傍晚/t, 
清晨 /t 2	 c, 到/v, 清晨/t, 才/d, 回
往常 /t 2	 m, 如/v, 往常/t, 的/ude1
星期日 /t 2	 d, 在/p, 星期日/t, 不见/v, 
往昔 /t 2	  [与/cc, 往昔/t, 判若两人/v
黎明 /t 2	 n, 在/p, 黎明/t, 之前/f, 
星期六 /t 2	  [因为/c, 星期六/t, 的/ude1
刹那 /t 1	 的/ude1, 刹那/t, ，/w], 
一大早 /t 1	 , 明天/t, 一大早/t, 去/vf, 
四月 /t 1	 , 那年/r, 四月/t, 。/w], 
事前 /t 1	 , 朗/ag, 事前/t, 打电话/vi
十二月 /t 1	  [已经/d, 十二月/t, 了/ule,
一月 /t 1	 /vshi, 十一月/t, 的/ude1
午夜 /t 1	 , 指着/v, 午夜/t, 十二/m, 
生前 /t 1	 g, 在/p, 生前/t, 应该/v, 
现今 /t 1	 v, 在/p, 现今/t, 社会/n, 
雨季 /t 1	 , 梅/ng, 雨季/t, ，/w], 
周日 /t 1	 是/vshi, 周日/t, 版/n, ，
当前 /t 1	  ，/w], [当前/t, 方/q, 渐
九月 /t 1	 , 去年/t, 九月/t, 吧/y, 。
清早 /t 1	 , 一大/n, 清早/t, 出发/vi,
六月 /t 1	 是/vshi, 六月/t, ，/w], 
现 /t 1	  [一发/d, 现/tg, 里面/f,
昔日 /t 1	 , 与/cc, 昔日/t, 女/b, 球
课后 /t 1	 n, 下/f, 课后/t, 就/d, 先
三月 /t 1	  [今年/t, 三月/t, 之前/f, 
秋天 /t 1	 , 那年/r, 秋天/t, 结婚/vi,
会后 /t 1	  你们/rr, 会后/t, 悔/vg, 
今生 /t 1	 , 她/rr, 今生/t, 无缘/vi,
刹那间 /t 1	  [我/rr, 刹那间/t, 犹豫/a, 
午前 /t 1	 t, 中/f, 午前/t, 回电/n, 
前年 /t 1	  [自从/p, 前年/t, 的/ude1
夜深 /t 1	  。/w], [夜深/t, 了/ule,
转眼间 /t 1	 , 空气/n, 转眼间/t, 变得/vi,
新春 /t 1	 , 采访/v, 新春/t, 大阪/nsf
十月 /t 1	 , 红色/n, 十月/t, 》/w, （
将来 /t 1	 的/ude1, 将来/t, 。/w], 
月终 /t 1	 w, 美/b, 月终/t, 于/p, 发
上周 /t 1	 是/vshi, 上周/t, 吧/y, ，
星期一 /t 1	 r, 休/v, 星期一/t, 吗/y, ？
上星期 /t 1	 是/vshi, 上星期/t, 。/w], 
中午 /t 1	 [我们/rr, 中午/t, 要/v, 出
