现在 /t 128	  。/w], [现在/t, 是/vshi
今天 /t 67	 , [“/w, 今天/t, 怎么样/ry
刚才 /t 63	 w, “/w, 刚才/t, 有/vyou
最近 /t 39	  ，/w], [最近/t, 根本/a, 
朝 /t 32	  文件夹/n, 朝/tg, 我/rr,
当时 /t 27	  了/ule, 当时/t, 刚开始/nz
昨晚 /t 20	 , [就/d, 昨晚/t, ，/w], 
晚上 /t 18	  [当天/t, 晚上/t, 来/vf, 
昨天 /t 17	 , 分明/a, 昨天/t, 还有/v, 
下次 /t 14	  ，/w], [下次/t, 不/d, 带
今后 /t 13	  ，/w], [今后/t, 还/d, 需
从前 /t 13	 是/vshi, 从前/t, 发生/v, 
明天 /t 13	 老板/nnt, 明天/t, 要/v, 去
今晚 /t 12	 , [说/v, 今晚/t, 写/v, 好
目前 /t 12	  。/w], [目前/t, 未见异常/n
后来 /t 9	 , 那人/r, 后来/t, 怎样/ryv
上次 /t 9	 , [“/w, 上次/t, 您/rr, 
以往 /t 9	  [和/cc, 以往/t, 的/ude1
刹那间 /t 8	 [大家/rr, 刹那间/t, 都/d, 不
平时 /t 8	  [你/rr, 平时/t, 的/ude1
星期六 /t 8	  ，/w], [星期六/t, 。/w], 
深夜 /t 7	 是/vshi, 深夜/t, 十/m, 一
往常 /t 7	 r, 像/v, 往常/t, 一样/uyy
八月 /t 7	  [进入/v, 八月/t, 后/f, ，
早上 /t 6	 , 每天/r, 早上/t, 都/d, 跑
此后 /t 6	 [3/m], [此后/t, ，/w], 
夜里 /t 5	 , 天/qt, 夜里/t, ，/w], 
七月 /t 5	  】/w], [七月/t, 一/m, 日
当初 /t 4	 , 我/rr, 当初/t, 想象/v, 
往后 /t 4	  ，/w], [往后/t, 倒去/nz,
凌晨 /t 4	 , 读到/v, 凌晨/t, 两/m, 点
未来 /t 4	  。/w], [未来/t, 不/d, 可
上周 /t 4	  。/w], [上周/t, 在/p, 医
星期一 /t 4	  ，/w], [星期一/t, 。/w], 
早晨 /t 4	  [直到/v, 早晨/t, ，/w], 
去年 /t 4	  。/w], [去年/t, 年底/f, 
傍晚 /t 3	 r, 从/p, 傍晚/t, 开始/v, 
下午 /t 3	 i, 在/p, 下午/t, 五/m, 点
星期四 /t 3	  ，/w], [星期四/t, (/w, 晴
白天 /t 3	  [和/cc, 白天/t, 给/p, 人
清 /t 3	 [仔细/ad, 清/tg, 清嗓子/n
周末 /t 3	  。/w], [周末/t, 我/rr, 
现 /t 3	 , [离/v, 现/tg, 实近了/n
六月 /t 3	  】/w], [六月/t, 十六/m, 
年前 /t 3	  [二十/m, 年前/t, 我/rr, 
如今 /t 3	 , [可/v, 如今/t, 已经/d, 
星期二 /t 3	  ，/w], [星期二/t, (/w, 阴
晚 /t 3	  [说/v, 今晚/t, 写/v, 好
中午 /t 3	 的/ude1, 中午/t, ，/w], 
眼下 /t 3	  ，/w], [眼下/t, 似乎/d, 
上午 /t 2	 v, 提/v, 上午/t, 我/rr, 
三月 /t 2	  】/w], [三月/t, 十/m, 日
刹那 /t 2	 的/ude1, 刹那/t, ，/w], 
当天 /t 2	 , 一下/m, 当天/t, 被/pbei
往日 /t 2	 的/ude1, 往日/t, 的/ude1
生前 /t 2	 , 母亲/n, 生前/t, 常/d, 这
一瞬 /t 2	 , 只是/d, 一瞬/t, ，/w], 
星期天 /t 2	 17/m], [星期天/t, 的/ude1
周日 /t 2	 25/m], [周日/t, 上午/t, 
星期三 /t 2	  ，/w], [星期三/t, 。/w], 
童年 /t 2	 的/ude1, 童年/t, 兴趣爱好/n
酒后 /t 2	 是/vshi, 酒后/t, 胡话/n, 
九月 /t 2	  】/w], [九月/t, 四/m, 日
会后 /t 2	 , 招待/v, 会后/t, 那阵子/t,
前不久 /t 2	 是/vshi, 前不久/t, 提交/v, 
此前 /t 2	  [因为/c, 此前/t, 吃/v, 的
星期五 /t 2	  ，/w], [星期五/t, 。/w], 
周六 /t 2	  。/w], [周六/t, 我/rr, 
那阵子 /t 2	 , 会后/t, 那阵子/t, 最/d, 吓
五月 /t 2	 , 年/qt, 五月/t, ，/w], 
儿时 /t 2	  这/rzv, 儿时/t, 的/ude1
时下 /t 1	 是/vshi, 时下/t, 热门/a, 
当晚 /t 1	  事发/vi, 当晚/t, 看到/v, 
四月 /t 1	  】/w], [四月/t, 十一/m, 
幼儿期 /t 1	 n, 在/p, 幼儿期/t, 表现/v, 
本世纪 /t 1	 , 大概/d, 本世纪/t, 内/f, 是
冬天 /t 1	  ，/w], [冬天/t, 能/v, 用
周四 /t 1	  这/rzv, 周四/t, 怎么样/ry
暑天 /t 1	 的/ude1, 暑天/t, 仍/d, 穿
现阶段 /t 1	 , [“/w, 现阶段/t, 我们/rr,
一刹那 /t 1	 的/ude1, 一刹那/t, ，/w], 
明日 /t 1	 d, 听/v, 明日/t, ，/w], 
周一 /t 1	 是/vshi, 周一/t, ，/w], 
星期日 /t 1	  ，/w], [星期日/t, 。/w], 
昏 /t 1	 n, 就/d, 昏/tg, 了/ule
上回 /t 1	 , 不是/c, 上回/t, 那个/rz,
近期 /t 1	  ，/w], [近期/t, 不要/d, 
黎明 /t 1	 a, 到/v, 黎明/t, 。/w], 
一早 /t 1	 , 天/qt, 一早/t, ，/w], 
半夜 /t 1	 v, 到/v, 半夜/t, 发现自己/l
夜 /t 1	 /vshi, 深夜/t, 十/m, 一
日后 /t 1	 , 我/rr, 日后/t, 一定/b, 
晚期 /t 1	 , 癌症/n, 晚期/t, 患者/n, 
