现在 /t 64	 , [但/c, 现在/t, 不容许/d,
今天 /t 55	 v, 在/p, 今天/t, 晚上/t, 
朝 /t 32	  ，/w], [朝/tg, 我/rr,
昨天 /t 27	 , [“/w, 昨天/t, 傍晚/t, 
晚上 /t 25	 , 今天/t, 晚上/t, 。/w], 
刚才 /t 25	 , [“/w, 刚才/t, 我/rr, 
当时 /t 19	  [她/rr, 当时/t, 在/p, 厨
春 /t 17	 序章/n], [春/tg, 美的/nz
往常 /t 14	 , 与/cc, 往常/t, 一样/uyy
后来 /t 14	 c, 从/p, 后来/t, 发生/v, 
最近 /t 13	  [不过/c, 最近/t, 这/rzv,
平时 /t 12	  [尽管/c, 平时/t, 我/rr, 
晚 /t 12	  昨天/t, 傍晚/t, 的/ude1
目前 /t 11	  。/w], [目前/t, 仍/d, 有
早上 /t 10	 是/vshi, 早上/t, 九/m, 点
今年 /t 10	 , 甚至/d, 今年/t, 春天/t, 
明天 /t 9	  ，/w], [明天/t, 见/v, 。
去年 /t 9	 , [“/w, 去年/t, 是/vshi
昨晚 /t 7	 , 经过/p, 昨晚/t, 的/ude1
当天 /t 7	 n, 于/p, 当天/t, 傍晚/t, 
三月 /t 6	 , [“/w, 三月/t, ，/w], 
夏季 /t 5	  喜欢/vi, 夏季/t, 的/ude1
将来 /t 5	 考虑过/nz, 将来/t, 的/ude1
圣诞 /t 5	 的/ude1, 圣诞/t, 收到/v, 
一刹那 /t 4	 的/ude1, 一刹那/t, ，/w], 
秋天 /t 4	 , 去年/t, 秋天/t, 当/p, 上
午夜 /t 4	 f, 看/v, 午夜/t, 电影/n, 
周日 /t 4	  这/rzv, 周日/t, 有空/vi,
早晨 /t 4	  一个/mq, 早晨/t, ，/w], 
傍晚 /t 3	 , 昨天/t, 傍晚/t, 的/ude1
课后 /t 3	 q, 节/q, 课后/t, ，/w], 
上次 /t 3	 , 诸如/v, 上次/t, 罢课/vi,
白天 /t 3	 , [“/w, 白天/t, 能够/v, 
当初 /t 3	 , [“/w, 当初/t, 听说/v, 
夜 /t 3	 , 看/v, 午夜/t, 电影/n, 
春假 /t 2	 c, 在/p, 春假/t, 里/f, ，
圣诞节 /t 2	 , 去年/t, 圣诞节/t, 那/rzv,
年前 /t 2	 p, 六/m, 年前/t, ，/w], 
下次 /t 2	  那你/nr, 下次/t, 一定/b, 
周一 /t 2	 , [像/v, 周一/t, 的/ude1
下午 /t 2	 t, 到/v, 下午/t, 三/m, 点
周五 /t 2	 , 天/qt, 周五/t, 的/ude1
先前 /t 2	 , 没有/v, 先前/t, 那么/c, 
周六 /t 2	 是/vshi, 周六/t, ，/w], 
一瞬 /t 2	 , 年/qt, 一瞬/t, 而过/c, 
清 /t 2	 d, 太/d, 清/tg, 了/ule
一霎那 /t 2	 的/ude1, 一霎那/t, ，/w], 
星期一 /t 2	  一个/mq, 星期一/t, ，/w], 
中午 /t 2	  了/ule, 中午/t, 就/d, 成
一早 /t 1	  ，/w], [一早/t, 便/d, 传
中旬 /t 1	  [五月/t, 中旬/t, 的/ude1
春天 /t 1	 , 今年/t, 春天/t, 刚/d, 加
今晨 /t 1	 , 取出/v, 今晨/t, 剪下/n, 
上午 /t 1	  。/w], [上午/t, 还是/c, 
刹那 /t 1	 /ude1, 一刹那/t, ，/w], 
夜里 /t 1	 , 当天/t, 夜里/t, 您/rr, 
上古 /t 1	 , 准备/v, 上古/t, 文/ng, 
四月 /t 1	  [所以/c, 四月/t, 份/q, 开
饭后 /t 1	 的/ude1, 饭后/t, 话题/n, 
十二月 /t 1	  了/ule, 十二月/t, 一/m, 天
旧时 /t 1	 是/vshi, 旧时/t, 平房/n, 
暑假 /t 1	 过/uguo, 暑假/t, 的话/udh
霎那间 /t 1	 , 神情/n, 霎那间/t, 就/d, 变
明年 /t 1	 , 我/rr, 明年/t, 就/d, 毕
今晚 /t 1	 z, ：/w, 今晚/t, 我/rr, 
刹那间 /t 1	 [”/w], [刹那间/t, ，/w], 
夜深 /t 1	 i, 至/p, 夜深/t, 的/ude1
行前 /t 1	 n, 同/p, 行前/t, 往/p, “
如今 /t 1	  。/w], [如今/t, ，/w], 
未来 /t 1	  预见/vn, 未来/t, 的/ude1
七月 /t 1	  。/w], [七月/t, 十/m, 日
冬季 /t 1	  。/w], [冬季/t, 棒球/nnd
从前 /t 1	  ，/w], [从前/t, 方向/n, 
黎明 /t 1	  。/w], [黎明/t, 时分/n, 
此前 /t 1	  。/w], [此前/t, 那名/nr,
次日 /t 1	 [6/m], [次日/t, 的/ude1
冬天 /t 1	  。/w], [冬天/t, 使用/v, 
五月 /t 1	  章/q], [五月/t, 中旬/t, 
当前 /t 1	  [鉴于/p, 当前/t, 教导处/nz
今后 /t 1	  ，/w], [今后/t, 就/d, 只
现阶段 /t 1	  [不过/c, 现阶段/t, 继续/v, 
饭前 /t 1	  [晚/tg, 饭前/t, 回来/v, 
平日 /t 1	 , 她/rr, 平日/t, 里/f, 无
