现在 /t 51	  ，/w], [现在/t, 还有/v, 
春 /t 36	  ，/w], [春/tg, 树/n, 
刚才 /t 31	 , 我/rr, 刚才/t, 掉/v, 的
当时 /t 22	 , [“/w, 当时/t, 有/vyou
今天 /t 15	 , 我/rr, 今天/t, 的/ude1
最近 /t 14	 , 像是/v, 最近/t, 才修/nr,
冬 /t 14	 , 和/cc, 冬/tg, 彦/ng,
昨天 /t 9	 d, 像/v, 昨天/t, 刚/d, 发
目前 /t 8	 是/vshi, 目前/t, 的/ude1
正午 /t 6	 n, 为/p, 正午/t, 到/v, 下
往后 /t 6	  ，/w], [往后/t, 退/v, 了
下午 /t 6	  ？/w], [下午/t, 一点/m, 
上次 /t 5	 , [“/w, 上次/t, 那件事/l,
朝 /t 4	  ，/w], [朝/tg, 市立/b,
早晨 /t 4	  [今天/t, 早晨/t, 起床/vi,
中午 /t 4	 r, 在/p, 中午/t, 前/f, 见
饭后 /t 3	  了/ule, 饭后/t, ，/w], 
年前 /t 3	  多少/ry, 年前/t, 的/ude1
上午 /t 3	 有/vyou, 上午/t, 的/ude1
晚上 /t 3	  [今天/t, 晚上/t, 肯定/v, 
先前 /t 3	  。/w], [先前/t, 我/rr, 
后来 /t 3	  ，/w], [后来/t, 发现/v, 
当天 /t 2	  。/w], [当天/t, 下午/t, 
春假 /t 2	 t, 放/v, 春假/t, 。/w], 
平日 /t 2	 , 知道/v, 平日/t, 是/vshi
星期三 /t 2	 v, 指/v, 星期三/t, (/w, 星
当年 /t 2	 , 不出/v, 当年/t, 美苏/nz,
秋 /t 2	 夏子和/nr, 秋/tg, 雄/ag,
以往 /t 2	 , 他/rr, 以往/t, 睡午觉/nz
白天 /t 2	 p, 大/a, 白天/t, 睡觉/vi,
如今 /t 2	 m, 根/n, 如今/t, 很/d, 少
晚 /t 2	 。/w], [昨晚/t, 我/rr, 
古代 /t 2	 , 想起/v, 古代/t, 的/ude1
当初 /t 2	 , [“/w, 当初/t, 看着/v, 
日后 /t 2	 说不定/vl, 日后/t, 写/v, 随
星期日 /t 1	 t, 到/v, 星期日/t, 分别为/v,
六月 /t 1	 是/vshi, 六月/t, 份/q, …
生前 /t 1	 , 先生/n, 生前/t, 做/v, 了
明天 /t 1	 r, 想/v, 明天/t, 拜访/v, 
近代 /t 1	  ，/w], [近代/t, 海报设计/n
昨晚 /t 1	  。/w], [昨晚/t, 我/rr, 
上回 /t 1	 r, 走/v, 上回/t, 廊/ng, 
前夜 /t 1	  [事件/n, 前夜/t, ，/w], 
当今 /t 1	 是/vshi, 当今/t, 十几/mq,
刹那间 /t 1	  。/w], [刹那间/t, ，/w], 
未来 /t 1	  ，/w], [未来/t, 的/ude1
清 /t 1	 a, 不/d, 清/tg, 的/ude
从前 /t 1	 , [单/b, 从前/t, 面/nf, 
星期四 /t 1	 x, 即/v, 星期四/t, 的/ude1
下次 /t 1	 , [若/c, 下次/t, 还/d, 拿
星期一 /t 1	  。/w], [星期一/t, 到/v, 星
平时 /t 1	 p, 比/p, 平时/t, 慢/a, 半
中世纪 /t 1	  欧洲/ns, 中世纪/t, 风格/n, 
今后 /t 1	 d, 在/p, 今后/t, 的/ude1
现时 /t 1	  郎出/nr, 现时/t, 应该/v, 
春季 /t 1	 是/vshi, 春季/t, 。/w], 
饭前 /t 1	 p, 早/a, 饭前/t, ，/w], 
