现在 /t 77	  [因为/c, 现在/t, 是/vshi
当时 /t 75	 , 谈起/v, 当时/t, 火灾/n, 
刚才 /t 29	 , 回到/v, 刚才/t, 的/ude1
昨晚 /t 25	 , [“/w, 昨晚/t, 有/vyou
今天 /t 19	 , [但/c, 今天/t, 可/v, 就
昨天 /t 19	 w, “/w, 昨天/t, 白天/t, 
早上 /t 16	 l, 在/p, 早上/t, 八/m, 点
最近 /t 15	  。/w], [最近/t, ，/w], 
半夜 /t 14	  [大概/d, 半夜/t, 吧/y, ！
后来 /t 14	  。/w], [后来/t, 许多人/nz
明天 /t 12	  ？/w], [明天/t, 就/d, 会
晚上 /t 12	 , 那天/r, 晚上/t, ，/w], 
目前 /t 12	  [不过/c, 目前/t, 的/ude1
年前 /t 11	  [半/mq, 年前/t, 来/vf, 
朝 /t 8	  ，/w], [朝/tg, 房间/n,
今晚 /t 7	  。/w], [今晚/t, 是/vshi
晚 /t 7	 i, 一/m, 晚/tg, ，/w],
往后 /t 6	 , 黑发/n, 往后/t, 梳/v, ，
深夜 /t 5	 过/uguo, 深夜/t, 两/m, 点
未来 /t 5	 , [对/p, 未来/t, 绝望/a, 
夜 /t 5	 [大概/d, 半夜/t, 吧/y, ！
凌晨 /t 5	 是/vshi, 凌晨/t, 一点/m, 
当天 /t 4	  。/w], [当天/t, 下午/t, 
当晚 /t 4	  了/ule, 当晚/t, 发生/v, 
傍晚 /t 3	  [我/rr, 傍晚/t, 的/ude1
夜里 /t 3	 的/ude1, 夜里/t, ，/w], 
来时 /t 3	 , 我/rr, 来时/t, 也/d, 一
今后 /t 3	  [因为/c, 今后/t, 我/rr, 
上次 /t 3	  。/w], [上次/t, 那/rzv,
生前 /t 3	 j, 在/p, 生前/t, 和/cc, 
现阶段 /t 3	  [可惜/v, 现阶段/t, 我/rr, 
十月 /t 2	 的/ude1, 十月/t, 二/m, 十
此后 /t 2	  。/w], [此后/t, ，/w], 
下午 /t 2	  [当天/t, 下午/t, ，/w], 
先前 /t 2	  把/pba, 先前/t, 穿来/v, 
白天 /t 2	 , 昨天/t, 白天/t, ，/w], 
当年 /t 2	 v, 找/v, 当年/t, 丢弃/v, 
下次 /t 2	  ！/w], [下次/t, 吧/y, ！
当初 /t 2	  ，/w], [当初/t, 来/vf, 
中午 /t 2	 8./m], [中午/t, 时分/n, 
十五日 /t 1	 t, 二/m, 十五日/t, 被/pbei
春天 /t 1	  了/ule, 春天/t, 之外/f, 
楚 /t 1	 记不清/vl, 楚/tg, 。/w],
一大早 /t 1	 闲情逸致/n, 一大早/t, 泡汤/vi,
酒后 /t 1	 的/ude1, 酒后/t, ，/w], 
三月 /t 1	 是/vshi, 三月/t, ，/w], 
事前 /t 1	  [他/rr, 事前/t, 已经/d, 
情人节 /t 1	 , 趁着/p, 情人节/t, 的/ude1
将来 /t 1	  ，/w], [将来/t, 怎么/ryv
往常 /t 1	 d, 如/v, 往常/t, 般/uyy,
来日 /t 1	  自己/rr, 来日/t, 不/d, 多
早年 /t 1	 , 他/rr, 早年/t, 的/ude1
以往 /t 1	 , 与/cc, 以往/t, 大不相同/i
刹那间 /t 1	  。/w], [刹那间/t, ，/w], 
如今 /t 1	  。/w], [如今/t, ，/w], 
今年 /t 1	 , [但/c, 今年/t, 好像/v, 
昏 /t 1	 n, 勒/v, 昏/tg, ，/w],
饭后 /t 1	 , 和/cc, 饭后/t, ，/w], 
从前 /t 1	  。/w], [从前/t, 把/pba,
忌日 /t 1	  。/w], [忌日/t, 戴珍珠/nr
秋天 /t 1	 n, 从/p, 秋天/t, 换成/v, 
下旬 /t 1	  [十月/t, 下旬/t, 天气/n, 
往昔 /t 1	  ，/w], [往昔/t, 的/ude1
日后 /t 1	  [免得/v, 日后/t, 节外生枝/v
昔日 /t 1	  。/w], [昔日/t, 耀眼/a, 
不久前 /t 1	  ，/w], [不久前/t, ，/w], 
