当时 /t 260	  。/w], [当时/t, 地上/s, 
现在 /t 125	  [我/rr, 现在/t, 手上/s, 
刚才 /t 91	 , 我/rr, 刚才/t, 发/v, 了
今天 /t 52	  了/ule, 今天/t, 。/w], 
目前 /t 38	 c, 就/d, 目前/t, 而言/uls
今后 /t 37	  [我/rr, 今后/t, 还/d, 得
周日 /t 32	 n, ”/w, 周日/t, 休息/v, 
晚上 /t 32	 t, 在/p, 晚上/t, 十/m, 一
如今 /t 31	 , [对/p, 如今/t, 的/ude1
生前 /t 30	  [他/rr, 生前/t, 一直/d, 
后来 /t 26	  。/w], [后来/t, 她/rr, 
昨天 /t 25	 d, 像/v, 昨天/t, 跟/p, 你
周六 /t 23	 , [“/w, 周六/t, 早上/t, 
早上 /t 22	  ，/w], [早上/t, 九/m, 点
今晚 /t 21	  ，/w], [今晚/t, 幸好/d, 
最近 /t 20	  [只是/d, 最近/t, 常有/d, 
朝 /t 19	 z, 美/b, 朝/tg, 义/ng,
明天 /t 18	 r, 从/p, 明天/t, 起/vf, 
年前 /t 18	 v, 五/m, 年前/t, ，/w], 
昨晚 /t 13	 , [“/w, 昨晚/t, 您/rr, 
上次 /t 11	  [就是/v, 上次/t, 毒/n, 咖
早晨 /t 11	 , 天/qt, 早晨/t, ，/w], 
夜里 /t 10	 c, 在/p, 夜里/t, 也/d, 能
当天 /t 10	 , 对方/n, 当天/t, 是否/v, 
平日 /t 10	 , 她/rr, 平日/t, 的/ude1
眼下 /t 8	 , 一点/m, 眼下/t, 还/d, 说
当初 /t 8	 [只不过/d, 当初/t, 开办/v, 
周五 /t 8	  ，/w], [周五/t, 晚上/t, 
往常 /t 7	 b, 像/v, 往常/t, 一样/uyy
下午 /t 6	 , 结果/n, 下午/t, 也/d, 应
此前 /t 5	  汤川/nr, 此前/t, 所说/c, 
清 /t 4	 r, 不/d, 清/tg, ，/w],
下次 /t 4	  。/w], [下次/t, 我/rr, 
晚 /t 4	 ，/w], [今晚/t, 幸好/d, 
白天 /t 3	 , 他/rr, 白天/t, 是否/v, 
头天 /t 3	  我们/rr, 头天/t, 晚上/t, 
平时 /t 3	 , 与/cc, 平时/t, 有/vyou
前不久 /t 3	 , 我/rr, 前不久/t, 的/ude1
昨夜 /t 3	 , 和/cc, 昨夜/t, 一样/uyy
冬天 /t 3	 m, 到/v, 冬天/t, ，/w], 
傍晚 /t 2	 , 今天/t, 傍晚/t, 六点半/nz
上午 /t 2	 , 周日/t, 上午/t, 起/vf, 
楚 /t 2	 , 淸/nz, 楚/tg, ，/w],
来生 /t 2	 z, 家/q, 来生/t, 活/v, 了
今 /t 2	  [对/p, 如今/t, 的/ude1
年内 /t 2	 z, 一/m, 年内/t, 怀/v, 不
深夜 /t 2	 是/vshi, 深夜/t, 的/ude1
清晨 /t 2	 , 天/qt, 清晨/t, ，/w], 
周一 /t 2	 d, 一/m, 周一/t, 次/qv, 
将来 /t 2	 的/ude1, 将来/t, 担忧/v, 
当年 /t 2	 , [想/v, 当年/t, 我/rr, 
先前 /t 2	  ，/w], [先前/t, 的/ude1
婚前 /t 2	  了/ule, 婚前/t, 约定/v, 
未来 /t 2	 , 她/rr, 未来/t, 的/ude1
当日 /t 2	  [案发/v, 当日/t, 除了/p, 
日后 /t 2	  ，/w], [日后/t, 即使/c, 
午 /t 1	  结果/n, 下午/t, 也/d, 应
即日 /t 1	  ，/w], [即日/t, 她/rr, 
时下 /t 1	 着/uzhe, 时下/t, 女性/n, 
当晚 /t 1	 w, “/w, 当晚/t, 我/rr, 
霎那间 /t 1	  ，/w], [霎那间/t, 惊呆/v, 
以往 /t 1	 先生/nrj, 以往/t, 的/ude1
早先 /t 1	  自己/rr, 早先/t, 怎么/ryv
半夜 /t 1	 , [到/v, 半夜/t, 十二/m, 
黄金时代 /t 1	  [欧美/n, 黄金时代/t, 的/ude1
今年初 /t 1	  [截至/v, 今年初/t, ，/w], 
从前 /t 1	 , 女士/n, 从前/t, 台/q, 旁
产后 /t 1	  [她/rr, 产后/t, 才/d, 两
春 /t 1	 , 文/ng, 春/tg, 杰作/n,
不久前 /t 1	 着/uzhe, 不久前/t, 还/d, 挂
周末 /t 1	  ？/w], [周末/t, 开/v, 家
现 /t 1	 , 一发/d, 现/tg, 表示/v,
现阶段 /t 1	  [然而/c, 现阶段/t, ，/w], 
婚后 /t 1	 , 还是/c, 婚后/t, 头/n, 一
往后 /t 1	 , 身子/n, 往后/t, 缩/vi, 
酒后 /t 1	 i, 上/f, 酒后/t, ，/w], 
秋天 /t 1	 , 年/qt, 秋天/t, 起/vf, 
星期天 /t 1	 是/vshi, 星期天/t, ，/w], 
现今 /t 1	 , [“/w, 现今/t, 社长/nnt
今年 /t 1	 , 饲/vg, 今年/t, 已经/d, 
近期 /t 1	 w, 中/f, 近期/t, 的/ude1
那阵子 /t 1	 的/ude1, 那阵子/t, ，/w], 
转眼间 /t 1	 n, 也/d, 转眼间/t, 红/a, 了
一早 /t 1	 , 明天/t, 一早/t, 就/d, 去
往昔 /t 1	 [回忆起/v, 往昔/t, 的/ude1
夜 /t 1	 /vshi, 深夜/t, 的/ude1
上周 /t 1	  。/w], [上周/t, 六/m, 在
末了 /t 1	 , 粉/ag, 末了/t, ，/w], 
今世 /t 1	 , [如/v, 今世/t, 间/f, 流
中午 /t 1	  [她/rr, 中午/t, 才/d, 跑
