当时 /t 165	  ，/w], [当时/t, 我/rr, 
现在 /t 59	  了/ule, 现在/t, ，/w], 
今天 /t 27	 , 知道/v, 今天/t, 晚上/t, 
目前 /t 22	 , [“/w, 目前/t, 还/d, 不
晚上 /t 20	  了/ule, 晚上/t, 九/m, 点
刚才 /t 19	  [所以/c, 刚才/t, 阵内/s, 
昨天 /t 18	 是/vshi, 昨天/t, 的/ude1
最近 /t 16	 , 出/vf, 最近/t, 那些/rz,
昨晚 /t 15	 v, 对/p, 昨晚/t, 未能/v, 
后来 /t 14	  ，/w], [后来/t, 连写/v, 
春 /t 13	  ，/w], [春/tg, 美的/nz
夜里 /t 11	 z, 到/v, 夜里/t, 便/d, 会
今晚 /t 10	 , [但/c, 今晚/t, 他/rr, 
明天 /t 8	 , 等到/v, 明天/t, 早晨/t, 
今后 /t 8	 , [“/w, 今后/t, 可别/v, 
一早 /t 7	 , 明天/t, 一早/t, ，/w], 
朝 /t 6	 , 右侧/f, 朝/tg, 下/f, 
上周 /t 6	 , [上/f, 上周/t, 周三和/nr
平日 /t 6	 , 他/rr, 平日/t, 都/d, 驾
周五 /t 6	 的/ude1, 周五/t, 就是/v, 
早上 /t 5	 [隔天/nz, 早上/t, 天一/j, 
当年 /t 5	 , 贯彻/v, 当年/t, 跟/p, 《
今年 /t 5	 t, 到/v, 今年/t, 正月/t, 
周六 /t 5	 [5/m], [周六/t, 中午/t, 
晚 /t 5	 , 有点/d, 晚/tg, 。/w],
傍晚 /t 4	 , 和/cc, 傍晚/t, 时分/n, 
深夜 /t 4	 ……/w], [深夜/t, 的/ude1
上次 /t 4	 , 不是/c, 上次/t, 那/rzv,
下次 /t 4	 v, “/w, 下次/t, 砖头/n, 
周日 /t 4	 [9/m], [周日/t, 晚上/t, 
年前 /t 4	 p, 十/m, 年前/t, 发表/v, 
酒后 /t 4	 是/vshi, 酒后/t, 驾车/vi,
白天 /t 4	  。/w], [白天/t, 还算/v, 
正月 /t 4	 , 今年/t, 正月/t, ，/w], 
夜 /t 4	 …/w], [深夜/t, 的/ude1
中午 /t 4	 n, 到/v, 中午/t, 就/d, 结
翌日 /t 3	 [”/w], [翌日/t, ，/w], 
清 /t 3	 d, 太/d, 清/tg, 了/ule
当天 /t 3	 , 距离/n, 当天/t, 奥迪/n, 
平时 /t 3	  ，/w], [平时/t, 走路/vi,
如今 /t 3	 , [但/c, 如今/t, 事已至此/n
去年 /t 3	 那是款/nr, 去年/t, 某/rz, 
十月 /t 2	  。/w], [十月/t, 二十/m, 
往后 /t 2	 , 稍稍/d, 往后/t, 退开/v, 
下午 /t 2	 , 周六/t, 下午/t, 六/m, 点
以往 /t 2	  [和/cc, 以往/t, 相比/vi,
年末 /t 2	 , 去年/t, 年末/t, 到/v, 今
从前 /t 2	  ，/w], [从前/t, 面/nf, 
眼下 /t 2	 , [“/w, 眼下/t, 可是/c, 
一刹那 /t 2	 [这/rzv, 一刹那/t, 深泽/nz,
凌晨 /t 2	 m, 日/b, 凌晨/t, 零点/n, 
往常 /t 2	 f, 像/v, 往常/t, 一样/uyy
半夜 /t 2	 是/vshi, 半夜/t, ，/w], 
五月 /t 2	  [还是/c, 五月/t, 吧/y, ，
早晨 /t 2	 , 明天/t, 早晨/t, 才能/n, 
明年 /t 1	 d, 在/p, 明年/t, 吗/y, ？
一大早 /t 1	 , 今天/t, 一大早/t, 还要/d, 
暑假 /t 1	  [除了/p, 暑假/t, 之外/f, 
十二月 /t 1	 , 年/qt, 十二月/t], [东野圭吾
今 /t 1	 /ude1, 现今/t, ，/w], 
一月 /t 1	  ，/w], [一月/t, 二/m, 号
午夜 /t 1	 [1/m], [午夜/t, 零点/n, 
当今 /t 1	  ，/w], [当今/t, 的/ude1
现今 /t 1	 的/ude1, 现今/t, ，/w], 
不久前 /t 1	  [直到/v, 不久前/t, ，/w], 
周末 /t 1	  ，/w], [周末/t, 去/vf, 
此后 /t 1	  。/w], [此后/t, 也/d, 没
十五日 /t 1	  一百一/m, 十五日/t, 元/q, 的
饭后 /t 1	 过/uguo, 饭后/t, ，/w], 
清晨 /t 1	 z, 到/v, 清晨/t, 和/cc, 
昔日 /t 1	 z, 像/v, 昔日/t, 那样/rzv
上回 /t 1	 , [三/m, 上回/t, 到/v, 警
将来 /t 1	 的/ude1, 将来/t, 这/rzv,
来时 /t 1	  [返回/v, 来时/t, 的/ude1
来日 /t 1	 f, 听/v, 来日/t, 渐/d, 骇
上年 /t 1	 的/ude1, 上年/t, 纪/ng, 
早年 /t 1	  创作/vn, 早年/t, 尚未/d, 
前不久 /t 1	 , 发生/v, 前不久/t, ，/w], 
先前 /t 1	 d, 像/v, 先前/t, 的/ude1
周一 /t 1	 , [“/w, 周一/t, ？/w], 
昨夜 /t 1	 v, 从/p, 昨夜/t, 开始/v, 
前世 /t 1	 之/uzhi, 前世/t, 良/ag, 
黎明 /t 1	 w, 《/w, 黎明/t, 破晓/v, 
冬 /t 1	 [新堂/ns, 冬/tg, 树/n, 
日后 /t 1	 , 看出/v, 日后/t, 《/w, 湖
星期一 /t 1	 m, 日/b, 星期一/t, 。/w], 
来年 /t 1	  ，/w], [来年/t, 就/d, 会
