现在 /t 113	  搬到/vf, 现在/t, 这栋/r, 
今天 /t 64	  ，/w], [今天/t, 早上/t, 
刚才 /t 53	  。/w], [刚才/t, 她们/rr,
当时 /t 40	 v, 便/d, 当时/t, 的/ude1
三月 /t 34	 , 进入/v, 三月/t, ，/w], 
后来 /t 29	  。/w], [后来/t, 他/rr, 
朝 /t 28	 , 就是/v, 朝/tg, 江户川/n
目前 /t 24	  。/w], [目前/t, 好像/v, 
今后 /t 20	 , 保证/v, 今后/t, 会/v, 洗
最近 /t 19	 有/vyou, 最近/t, 销声匿迹/v
晚上 /t 17	 m, 日/b, 晚上/t, 的/ude1
上午 /t 15	  章/q], [上午/t, 七/m, 点
上次 /t 15	 , [“/w, 上次/t, 你/rr, 
昨天 /t 15	 [我们/rr, 昨天/t, 还/d, 在
今晚 /t 14	 , 对方/n, 今晚/t, 要/v, 来
晚间 /t 11	 m, 至/p, 晚间/t, 十/m, 点
晚 /t 10	  做到/v, 傍晚/t, 六/m, 点
白天 /t 8	  ，/w], [白天/t, 他/rr, 
傍晚 /t 7	 , 做到/v, 傍晚/t, 六/m, 点
年前 /t 7	 p, 五/m, 年前/t, 就/d, 离
早上 /t 7	  了/ule, 早上/t, 的/ude1
下午 /t 7	  。/w], [下午/t, 三/m, 点
往常 /t 6	 m, 如/v, 往常/t, 在/p, 近
深夜 /t 6	 , 唱到/v, 深夜/t, 未免太不/l
清 /t 6	 的/ude1, 清/tg, 洲/ng,
平时 /t 6	 , 和/cc, 平时/t, 一样/uyy
去年 /t 6	  。/w], [去年/t, 春天/t, 
以往 /t 5	 v, 像/v, 以往/t, 一样/uyy
明天 /t 5	 , 说起/v, 明天/t, 的/ude1
婚后 /t 4	 , [离/v, 婚后/t, 富/vg, 
昨晚 /t 4	 t, 们/k, 昨晚/t, 好像/v, 
将来 /t 4	  ，/w], [将来/t, 也/d, 毫
下次 /t 4	 d, 无/v, 下次/t, 机会/n, 
当初 /t 4	  [我/rr, 当初/t, 就是/v, 
昔日 /t 3	 , 了无/v, 昔日/t, 风采/n, 
楚 /t 3	 记不清/vl, 楚/tg, 了/ule
来时 /t 3	 打电话/vi, 来时/t, ，/w], 
翌日 /t 3	  [如果/c, 翌日/t, 上午/t, 
半夜 /t 3	  [总是/d, 半夜/t, 还/d, 窝
清早 /t 2	 , 一大/n, 清早/t, 派/v, 工
一早 /t 2	 , 我/rr, 一早/t, 就/d, 去
春假 /t 2	 v, 放/v, 春假/t, ，/w], 
上个月 /t 2	  [我/rr, 上个月/t, 刚买/nr,
夜里 /t 2	  [不过/c, 夜里/t, 的/ude1
事前 /t 2	  石神/nr, 事前/t, 的/ude1
一大早 /t 2	  [现在/t, 一大早/t, 就/d, 得
中古 /t 2	 是/vshi, 中古/t, 车行/nis
期末 /t 2	 , 讲解/v, 期末/t, 考/v, 的
先前 /t 2	  ，/w], [先前/t, 往/p, 条
前年 /t 2	  [还是/c, 前年/t, 吧/y, …
生前 /t 2	  遇害者/n, 生前/t, 的/ude1
饭后 /t 2	 , 吃完/v, 饭后/t, 刑警/nnt
冬天 /t 2	 [这个/rz, 冬天/t, ，/w], 
凌晨 /t 2	 是/vshi, 凌晨/t, 一点/m, 
现阶段 /t 2	 n, 在/p, 现阶段/t, 并/cc, 
春天 /t 1	  [去年/t, 春天/t, ，/w], 
清晨 /t 1	 m, 日/b, 清晨/t, ，/w], 
当天 /t 1	 , 案发/v, 当天/t, 吗/y, ？
正午 /t 1	  ，/w], [正午/t, 过后/v, 
中午 /t 1	 e, 快/a, 中午/t, 时/qt, 
往后 /t 1	  ，/w], [往后/t, 一/m, 倒
平日 /t 1	 , 朝着/p, 平日/t, 归途/n, 
日前 /t 1	 t, 十/m, 日前/t, 后/f, 消
秋天 /t 1	 的/ude1, 秋天/t, ，/w], 
今年 /t 1	  。/w], [今年/t, 已经/d, 
夜深 /t 1	  。/w], [夜深/t, 之后/f, 
昏 /t 1	 d, 乐/a, 昏/tg, 了/ule
午后 /t 1	  了/ule, 午后/t, 一点/m, 
星期天 /t 1	  。/w], [星期天/t, 最幸福/nz
当年 /t 1	 , 闲话/n, 当年/t, ，/w], 
次日 /t 1	 , 您/rr, 次日/t, 也/d, 请
眼下 /t 1	  ，/w], [眼下/t, 非/b, 回
午时 /t 1	 p, 近/a, 午时/t, 分/qt, 
日后 /t 1	 n, 多/a, 日后/t, ，/w], 
上周 /t 1	  [就是/v, 上周/t, 吧/y, 。
当前 /t 1	 , 精通/v, 当前/t, 的/ude1
早晨 /t 1	 , 翌日/t, 早晨/t, ，/w], 
当今 /t 1	 是/vshi, 当今/t, 数学界/nz
来年 /t 1	 , 看起/v, 来年/t, 约/d, 五
当日 /t 1	 , 案发/v, 当日/t, 白天/t, 
