当时 /t 102	  [他/rr, 当时/t, 的/ude1
今天 /t 64	 国餐厅/nt, 今天/t, 开张/vi,
刚才 /t 40	 n, 在/p, 刚才/t, 那辆/nz,
现在 /t 38	 是/vshi, 现在/t, ，/w], 
昨天 /t 38	 , 和/cc, 昨天/t, 不同/a, 
目前 /t 27	  ，/w], [目前/t, 高居/v, 
从前 /t 26	  了/ule, 从前/t, 。/w], 
早上 /t 25	 的/ude1, 早上/t, ，/w], 
当天 /t 24	  考试/vn, 当天/t, ，/w], 
最近 /t 24	  。/w], [最近/t, ，/w], 
后来 /t 21	  。/w], [后来/t, ，/w], 
今后 /t 16	  [大概/d, 今后/t, 也/d, 会
晚上 /t 16	  [次日/t, 晚上/t, ，/w], 
次日 /t 15	  。/w], [次日/t, 晚上/t, 
中午 /t 15	 期三/t], [中午/t, ，/w], 
年前 /t 14	 , [几/d, 年前/t, 她/rr, 
晚 /t 13	  那天/r, 傍晚/t, ，/w], 
白天 /t 12	 , [“/w, 白天/t, 。/w], 
朝 /t 11	 , 男孩/n, 朝/tg, 女人/n,
当年 /t 10	 , 聊聊/v, 当年/t, 的/ude1
清 /t 9	 得/ude3, 清/tg, 的/ude
此后 /t 9	  ，/w], [此后/t], [将/d,
现 /t 8	  发/v], [现/tg, 那个/rz
半夜 /t 8	 , 子/ng, 半夜/t, 被/pbei
明天 /t 7	  来问/nr, 明天/t, 要/v, 准
昨晚 /t 7	 是/vshi, 昨晚/t, 喝得/v, 
下午 /t 7	  。/w], [下午/t, 家里/s, 
往后 /t 7	 d, 便/d, 往后/t, 退去/v, 
四月 /t 6	  [次年/t, 四月/t, 起/vf, 
未来 /t 6	 , 女儿/n, 未来/t, 的/ude1
上午 /t 5	 , 你/rr, 上午/t, 去/vf, 
生前 /t 5	 i, 瓜/n, 生前/t, 社长/nnt
一早 /t 5	 t, 也/d, 一早/t, 就/d], 
傍晚 /t 4	 , 那天/r, 傍晚/t, ，/w], 
夜里 /t 4	 , 周末/t, 夜里/t, 打电话/vi
楚 /t 4	 清/tg], [楚/tg, 。/w],
去年 /t 4	 是/vshi, 去年/t, 年底/f, 
当晚 /t 3	 [5/m], [当晚/t, ，/w], 
明年 /t 3	 , 我/rr, 明年/t, 一定会/nz
星期三 /t 3	 是/vshi, 星期三/t], [中午/t
不久前 /t 3	  [其实/d, 不久前/t, ，/w], 
秋天 /t 3	 的/ude1, 秋天/t, ，/w], 
此前 /t 3	 r, 从/p, 此前/t, 提到/v, 
先前 /t 3	 , ["/w, 先前/t, 那个/rz,
今日 /t 3	 , 正是/v, 今日/t, UR/nx,
如今 /t 3	  [他/rr, 如今/t, 是/vshi
今 /t 2	 [他/rr, 如今/t, 是/vshi
今晚 /t 2	 , 知道/v, 今晚/t, 的/ude1
冬天 /t 2	 , 年/qt, 冬天/t, ，/w], 
下次 /t 2	 商人/nnt, 下次/t, 到/v, 家
现阶段 /t 2	 , [“/w, 现阶段/t, 我们/rr,
饭后 /t 2	 12/m], [饭后/t, ，/w], 
次年 /t 2	 22/m], [次年/t, 四月/t, 
将来 /t 2	 的/ude1, 将来/t, 。/w], 
凌晨 /t 2	  。/w], [凌晨/t, 两/m, 点
晚年 /t 2	  是因为/c, 晚年/t, 得/ude3
三月 /t 2	  。/w], [三月/t], [中旬/t
今年 /t 2	 , 和/cc, 今年/t, 刚/d, 进
近期 /t 2	 v, 在/p, 近期/t, 告诉/v, 
夜 /t 2	 , 至/p, 深夜/t, 。/w], 
来年 /t 2	  。/w], [来年/t, 春天/t, 
午 /t 1	 三/t], [中午/t, ，/w], 
春天 /t 1	  [来年/t, 春天/t, 升上/v, 
一大早 /t 1	 , 今天/t, 一大早/t, ，/w], 
往日 /t 1	 m, 如/v, 往日/t, 。/w], 
上次 /t 1	 , [“/w, 上次/t, 不好意思/a
秋 /t 1	  。/w], [秋/tg, 去冬/t,
旧日 /t 1	 z, 或/c, 旧日/t, 记/v, 的
圣诞节 /t 1	  ，/w], [圣诞节/t, 那天/r, 
当初 /t 1	 , 不如/v, 当初/t, 想象/v, 
周末 /t 1	 v, 在/p, 周末/t, 夜里/t, 
刹那间 /t 1	 [一/m], [刹那间/t, ，/w], 
九月 /t 1	 [．/w], [九月/t, 三十/m, 
婚后 /t 1	  。/w], [婚后/t, ，/w], 
中旬 /t 1	 三月/t], [中旬/t, ，/w], 
新年 /t 1	  。/w], [新年/t, 后/f, 又
一刹那 /t 1	 ["/w], [一刹那/t, ，/w], 
童年 /t 1	 有/vyou, 童年/t], [啊/y,
平时 /t 1	 , 男人/n, 平时/t, 工作/vn,
课后 /t 1	  ，/w], [课后/t, 作业/vn,
婚前 /t 1	 , 和/cc, 婚前/t, 一样/uyy
明晚 /t 1	  。/w], [明晚/t, 有空/vi,
往常 /t 1	 m, 如/v, 往常/t, 地/ude2
现今 /t 1	  [如果/c, 现今/t, 的/ude1
寒假 /t 1	  。/w], [寒假/t, 结束/v, 
深夜 /t 1	 v, 至/p, 深夜/t, 。/w], 
周三 /t 1	 , 每/rz, 周三/t, 下午/t, 
去冬 /t 1	  [秋/tg, 去冬/t, 来/vf, 
昨夜 /t 1	 , 和/cc, 昨夜/t, 一样/uyy
往昔 /t 1	 v, 到/v, 往昔/t, 。/w], 
末了 /t 1	 , 始/vg, 末了/t, ，/w], 
