现在 /t 145	  ，/w], [现在/t, 却/d, 没
今天 /t 78	 , [“/w, 今天/t, 要到/v, 
刚才 /t 46	  ，/w], [刚才/t, 迷路/vi,
晚上 /t 33	 差不多/al, 晚上/t, 十/m, 点
昨天 /t 29	  [我/rr, 昨天/t, 接到/v, 
去年 /t 29	 是/vshi, 去年/t, 九月/t, 
最近 /t 28	 , 感觉/n, 最近/t, 还/d, 和
今年 /t 18	  ，/w], [今年/t, 三月/t, 
明天 /t 17	  ，/w], [明天/t, 就/d, 能
平时 /t 15	 , 和/cc, 平时/t, 不/d, 太
当前 /t 10	 , 其实/d, 当前/t, 时点/n, 
将来 /t 10	 有/vyou, 将来/t, 的/ude1
上次 /t 9	 , [“/w, 上次/t, 做/v, 实
早上 /t 9	 , 每天/r, 早上/t, 在/p, 固
下午 /t 9	  走到/vf, 下午/t, 五/m, 点
秋天 /t 9	 , 去年/t, 秋天/t, 的/ude1
朝 /t 8	 m, 人/n, 朝/tg, 这边/rz
当时 /t 8	  。/w], [当时/t, 智彦/nr,
目前 /t 8	  智彦/nr, 目前/t, 都/d, 附
往常 /t 7	 , [跟/p, 往常/t, 一样/uyy
春天 /t 6	 , 今年/t, 春天/t, 刚/d, 踏
今晚 /t 6	 麻由子/nr, 今晚/t, 才/d, 第
后来 /t 6	 , 知道/v, 后来/t, 如何/ryv
明年 /t 6	  了/ule, 明年/t, 就/d, 能
晚 /t 6	 由子/nr, 今晚/t, 才/d, 第
四月 /t 5	 , 今年/t, 四月/t, 在/p, 宣
深夜 /t 5	  了/ule, 深夜/t, ，/w], 
今后 /t 5	 , [“/w, 今后/t, 的/ude1
年前 /t 5	 x, 几/d, 年前/t, 新开/ns,
如今 /t 5	 那家伙/nz, 如今/t, 怎么样/ry
星期二 /t 5	 的/ude1, 星期二/t, ，/w], 
傍晚 /t 4	  。/w], [傍晚/t, ，/w], 
白天 /t 4	 /ulian, 白天/t, 在/p, 学
一霎那 /t 4	  。/w], [一霎那/t, ，/w], 
上个月 /t 4	  。/w], [上个月/t, 我们/rr,
双休日 /t 4	 , [“/w, 双休日/t, 还要/d, 
初夏 /t 4	 的/ude1, 初夏/t, 拍/v, 的
