冬 /t 1069	 s, 美/b, 冬/tg, 。/w],
现在 /t 241	  ，/w], [现在/t, 马上/d, 
今天 /t 128	 , [“/w, 今天/t, 各位/rr,
刚才 /t 110	  。/w], [刚才/t, 还/d, 摆
当时 /t 83	  。/w], [当时/t, 雅/ag, 
最近 /t 67	  。/w], [最近/t, ，/w], 
年前 /t 39	 , [三/m, 年前/t, 母亲/n, 
昨天 /t 37	 1, 药/n, 昨天/t, 就/d, 卖
今后 /t 36	  ，/w], [今后/t, 需要/v, 
目前 /t 36	 , 处于/v, 目前/t, 这种/r, 
晚上 /t 33	 , 前天/n, 晚上/t, ，/w], 
平时 /t 32	 v, 比/p, 平时/t, 早/a, 出
上次 /t 31	  。/w], [上次/t, 见面/vi,
明天 /t 28	 , 东西/n, 明天/t, 刷/v, 就
早晨 /t 25	 , 明天/t, 早晨/t, 的/ude1
今晚 /t 23	  。/w], [今晚/t, 守夜/vn,
今年 /t 21	 , [“/w, 今年/t, 不/d, 吉
晚 /t 19	 。/w], [今晚/t, 守夜/vn,
后来 /t 17	  。/w], [后来/t, 经济/n, 
下午 /t 16	  了/ule, 下午/t, ，/w], 
去年 /t 16	 c, 从/p, 去年/t, 开始/v, 
昨晚 /t 14	  ，/w], [昨晚/t, 正在/d, 
新年 /t 12	  。/w], [新年/t, 过/uguo
傍晚 /t 10	 , 天/qt, 傍晚/t, ，/w], 
如今 /t 10	  汽油味/n, 如今/t, 却/d, 倍
以往 /t 9	 n, 比/p, 以往/t, 更/d, 大
下次 /t 8	  ，/w], [下次/t, 估计/v, 
当天 /t 7	 , 道/qv, 当天/t, 去/vf, 
除夕夜 /t 7	 , 听说/v, 除夕夜/t, 要/v, 在
往常 /t 7	 n, 像/v, 往常/t, 一样/uyy
当晚 /t 6	  。/w], [当晚/t, 扔/v, 垃
四月 /t 6	 是/vshi, 四月/t, 份/q, ，
年末 /t 6	 的/ude1, 年末/t, ，/w], 
前年 /t 6	 , 就是/v, 前年/t, ，/w], 
日后 /t 6	 体情况/nz, 日后/t, 再/d, 联
朝 /t 5	 , 贵子/n, 朝/tg, 体育馆/n
清 /t 5	 , 没听/v, 清/tg, ，/w],
近期 /t 5	 w, 说/v, 近期/t, 不/d, 需
刹那间 /t 5	  [他/rr, 刹那间/t, 几乎/d, 
未来 /t 5	 , [对/p, 未来/t, 失去/v, 
将来 /t 5	 的/ude1, 将来/t, 到来/vi,
上周 /t 5	 [”/w], [上周/t, 和/cc, 
平日 /t 5	  [你/rr, 平日/t, 是/vshi
楚 /t 4	 记不清/vl, 楚/tg, 。/w],
中午 /t 4	 [刚过/nr, 中午/t, ，/w], 
从前 /t 4	 , 冬/tg, 从前/t, 面/nf, 
此前 /t 4	  ，/w], [此前/t, 那些/rz,
深夜 /t 4	 [7/m], [深夜/t, 十/m, 一
夜 /t 4	 , 幻/vg, 夜/tg, 》/w],
春天 /t 3	 , 去年/t, 春天/t, 曾/d, 在
上个月 /t 3	  。/w], [上个月/t, 水原/nz,
月末 /t 3	 z, 月/n, 月末/t, 应该/v, 
