朝 /t 63	  抬头/vi, 朝/tg, 他/rr,
现在 /t 32	  ，/w], [现在/t, 的/ude1
今天 /t 22	 , 想起/v, 今天/t, 是/vshi
昨天 /t 20	 , [“/w, 昨天/t, 可是/c, 
刚才 /t 19	 着/uzhe, 刚才/t, 那个/rz,
夜 /t 18	 e, 一/m, 夜/tg, 。/w],
今晚 /t 14	 d, 说/v, 今晚/t, 也/d, 睡
晚上 /t 14	 z, 一/m, 晚上/t, 三千/m, 
早晨 /t 14	  了/ule, 早晨/t, 。/w], 
昨晚 /t 13	  [你/rr, 昨晚/t, 不是/c, 
当时 /t 12	 , 你/rr, 当时/t, 是/vshi
次日 /t 12	  。/w], [次日/t, 凌晨/t, 
明天 /t 10	 w, 从/p, 明天/t, 开始/v, 
如今 /t 9	  ，/w], [如今/t, 却/d, 派
年前 /t 8	 i, 两/m, 年前/t, 的/ude1
昨夜 /t 8	  。/w], [昨夜/t, 是/vshi
晚 /t 8	 。/w], [当晚/t, ，/w], 
清晨 /t 7	  [今天/t, 清晨/t, ，/w], 
上午 /t 6	 , 已是/d, 上午/t, 十/m, 一
夜里 /t 6	  。/w], [夜里/t, 应该/v, 
情人节 /t 6	 , 白色/n, 情人节/t, 嘛/y, 。
往常 /t 6	 , 与/cc, 往常/t, 一样/uyy
今晨 /t 5	 , 由于/p, 今晨/t, 发生/v, 
今夜 /t 5	 , 与/cc, 今夜/t, 的/ude1
周日 /t 4	 n, 到/v, 周日/t, 早晨/t, 
大清早 /t 4	 d, 为/p, 大清早/t, 喝/vg, 
后来 /t 4	 [那/rzv, 后来/t, 为什么/ry
今年 /t 4	  。/w], [今年/t, 大概/d, 
周一 /t 4	 是/vshi, 周一/t, 。/w], 
当日 /t 4	  事发/vi, 当日/t, 曾/d, 看
傍晚 /t 3	  [那天/r, 傍晚/t, ，/w], 
今后 /t 3	  ，/w], [今后/t, 说不定/vl
秋 /t 3	  堀内/nr, 秋/tg, 代/q, 
从前 /t 3	 v, 像/v, 从前/t, 那样/rzv
下次 /t 3	 w, “/w, 下次/t, 再/d, 带
双休日 /t 3	 , 整个/b, 双休日/t, 都/d, 在
一刹那 /t 3	  那/rzv, 一刹那/t, ，/w], 
深夜 /t 3	 , 周日/t, 深夜/t, 居然/d, 
星期五 /t 3	  ，/w], [星期五/t, 。/w], 
周六 /t 3	 t, 或/c, 周六/t, 晚上/t, 
一早 /t 3	 , 今天/t, 一早/t, 便/d, 找
中午 /t 3	 , [“/w, 中午/t, 刚过/nr,
周五 /t 3	 , [至/p, 周五/t, 或/c, 周
正午 /t 2	 的/ude1, 正午/t, 时分/n, 
当晚 /t 2	  。/w], [当晚/t, ，/w], 
早上 /t 2	  ，/w], [早上/t, 七/m, 点
暑假 /t 2	  。/w], [暑假/t, 过后/v, 
当夜 /t 2	  。/w], [当夜/t, ，/w], 
下午 /t 2	 [6/m], [下午/t, 一点/m, 
平日 /t 2	  。/w], [平日/t, 里/f, 你
白天 /t 2	 , [“/w, 白天/t, ，/w], 
清 /t 2	 g, 不/d, 清/tg, 自己/rr
目前 /t 2	  我们/rr, 目前/t, 所处/nz,
最近 /t 2	 , 他/rr, 最近/t, 正在/d, 
九月 /t 2	 是/vshi, 九月/t, 二十三/m,
现 /t 2	 n, 中/f, 现/tg, 了/ule
此后 /t 2	  。/w], [此后/t, ，/w], 
平时 /t 2	  ，/w], [平时/t, 不/d, 常
四月 /t 2	  [今年/t, 四月/t, ，/w], 
三月 /t 2	  。/w], [三月/t, 十/m, 日
晚间 /t 2	 , 周六/t, 晚间/t, 购买/v, 
未来 /t 2	 , 筹划/v, 未来/t, 的/ude1
古代 /t 2	 , 和/cc, 古代/t, 武士家/nr
秋天 /t 2	 的/ude1, 秋天/t, ，/w], 
近代 /t 1	  石川/ns, 近代/t, 文学馆/ni
当天 /t 1	  事发/vi, 当天/t, 他们/rr,
往日 /t 1	  了/ule, 往日/t, 威风凛凛/a
一大早 /t 1	  [今天/t, 一大早/t, ，/w], 
午夜 /t 1	 q, 在/p, 午夜/t, 的/ude1
前夜 /t 1	 g, 美/b, 前夜/t, 睡/v, 晚
星期四 /t 1	 , [“/w, 星期四/t, ，/w], 
当今 /t 1	 e, 对/p, 当今/t, 政坛/n, 
汉 /t 1	  蒙面/vn, 汉/tg, 先朝/nz
行前 /t 1	 着/uzhe, 行前/t, 准备/v, 
当初 /t 1	  ，/w], [当初/t, 就/d, 不
午后 /t 1	 [”/w], [午后/t, ，/w], 
一霎那 /t 1	  那/rzv, 一霎那/t, ，/w], 
夏季 /t 1	 ——/w], [夏季/t, 联赛/n, 
下回 /t 1	 w, “/w, 下回/t, 你/rr, 
周四 /t 1	 是/vshi, 周四/t, ，/w], 
假期 /t 1	 /ulian, 假期/t, 和/cc, 
上回 /t 1	 v, 马/n, 上回/t, 房/n, ，
凌晨 /t 1	  [次日/t, 凌晨/t, 七/m, 点
当年 /t 1	 , [想/v, 当年/t, 我/rr, 
此前 /t 1	  ，/w], [此前/t, 的/ude1
先前 /t 1	  [准备/v, 先前/t, 往/p, 长
圣诞 /t 1	  那个/rz, 圣诞/t, 夜/tg, 
日后 /t 1	 , [“/w, 日后/t, 使用/v, 
上周 /t 1	  ，/w], [上周/t, 便/d, 恰
旧时 /t 1	 有/vyou, 旧时/t, 银行家/nn
