现在 /t 87	 什么/ryv, 现在/t, 还/d, 非
今天 /t 65	  。/w], [今天/t, 不是/c, 
当时 /t 33	  。/w], [当时/t, 他/rr, 
刚才 /t 29	  ，/w], [刚才/t, 这位/r, 
晚上 /t 29	  。/w], [晚上/t, 八/m, 点
最近 /t 24	  ，/w], [最近/t, 杉/ng, 
昨天 /t 20	 是/vshi, 昨天/t, 上市/vn,
后来 /t 15	  ，/w], [后来/t, 才/d, 发
四月 /t 14	  。/w], [四月/t, 二/m, 日
朝 /t 13	 年妇女/nz, 朝/tg, 旁边/f,
春 /t 13	 井上千/nr, 春/tg, ，/w],
五月 /t 13	  。/w], [五月/t, 一/m, 日
三月 /t 11	 线香/n], [三月/t, 一/m, 日
如今 /t 11	  ，/w], [如今/t, 整日/d, 
昨晚 /t 10	  ，/w], [昨晚/t, 也/d, 只
明天 /t 9	  [为了/p, 明天/t, 的/ude1
年前 /t 9	 , 二十/m, 年前/t, 的/ude1
今后 /t 8	 w, “/w, 今后/t, 也/d, 请
目前 /t 7	 , 逃离/v, 目前/t, 的/ude1
当天 /t 6	 是/vshi, 当天/t, 可以/v, 
早上 /t 6	  [次日/t, 早上/t, 六/m, 点
深夜 /t 5	 , 看看/v, 深夜/t, 节目/n, 
当初 /t 5	  ，/w], [当初/t, 两/m, 人
往后 /t 5	 n, 发/v, 往后/t, 掠/vi, 
今年 /t 5	  。/w], [今年/t, 是/vshi
当年 /t 5	  ，/w], [当年/t, 在/p, 中
十五日 /t 4	  [三月/t, 十五日/t], [俺/rr
上次 /t 4	 , 和/cc, 上次/t, 一样/uyy
周日 /t 4	  这/rzv, 周日/t, 。/w], 
此后 /t 4	  ；/w], [此后/t, 《/w, 白
平时 /t 4	  [沿着/p, 平时/t, 的/ude1
白天 /t 4	 v, 挑/v, 白天/t, 的/ude1
一早 /t 4	 , 她/rr, 一早/t, 就/d, 坐
早晨 /t 4	 , 天/qt, 早晨/t, ，/w], 
傍晚 /t 3	  。/w], [傍晚/t, 在/p, 当
上午 /t 3	 , 天/qt, 上午/t, 。/w], 
当晚 /t 3	  ！/w], [当晚/t, ，/w], 
下午 /t 3	 这天/rzt, 下午/t, ，/w], 
将来 /t 3	 , 儿子/n, 将来/t, 笃定/z, 
来时 /t 3	 v, 神/n, 来时/t, ，/w], 
次日 /t 3	  。/w], [次日/t, 早上/t, 
晚 /t 3	 ，/w], [昨晚/t, 也/d, 只
一大早 /t 2	  父女俩/n, 一大早/t, 就/d, 挥
往年 /t 2	 /ulian, 往年/t, 必/d, 看
以往 /t 2	  。/w], [以往/t, 会/v, 报
今晚 /t 2	  。/w], [今晚/t, 每个/r, 
从前 /t 2	  看得出/v, 从前/t, 的/ude1
眼下 /t 2	 , [“/w, 眼下/t, 就/d, 已
昔日 /t 2	 是/vshi, 昔日/t, 的/ude1
九月 /t 2	 d, 在/p, 九月/t, 召开/v, 
婚后 /t 2	  ，/w], [婚后/t, 不久/d, 
往常 /t 2	 c, 在/p, 往常/t, ，/w], 
明年 /t 2	 w, “/w, 明年/t, 就/d, 由
昏 /t 2	  [只是/d, 昏/tg, 了/ule
转眼间 /t 2	  ，/w], [转眼间/t, 尸体/n, 
会后 /t 2	 v, 入/v, 会后/t, 的/ude1
往昔 /t 2	 , 怀念/v, 往昔/t, 而/cc, 
夜 /t 2	 , 幻/vg, 夜/tg, 》/w, 
中午 /t 2	 v, 从/p, 中午/t, 十/m, 一
春天 /t 1	 , 明年/t, 春天/t, 就/d, 将
刹那 /t 1	 的/ude1, 刹那/t, ，/w], 
时下 /t 1	 , [“/w, 时下/t, 常有/d, 
明儿 /t 1	 v, 打/v, 明儿/t, 起/vf, 
夜里 /t 1	  我们/rr, 夜里/t, 仍/d, 在
今 /t 1	 ，/w], [如今/t, 整日/d, 
清 /t 1	 d, 太/d, 清/tg, 了/ule
前夜 /t 1	 , 葬礼/n, 前夜/t, 守灵/v, 
下次 /t 1	 , [“/w, 下次/t, 比赛/vn,
一清早 /t 1	 , 不想/v, 一清早/t, 就/d, 听
大清早 /t 1	  。/w], [大清早/t, 就/d, 爬
下回 /t 1	  ？/w], [下回/t, 他/rr, 
前年 /t 1	  [自从/p, 前年/t, 长期/d, 
六月 /t 1	 , 年/qt, 六月/t, 十二/m, 
饭后 /t 1	 , 晚/tg, 饭后/t, 听/v, 勇
近日 /t 1	 c, 接/v, 近日/t, 语/ng, 
上个月 /t 1	  。/w], [上个月/t, 我/rr, 
次年 /t 1	 , 毕业/v, 次年/t, ，/w], 
上古 /t 1	 n, 袭/v, 上古/t, 泽/ag, 
明日 /t 1	 c, 《/w, 明日/t, 之/uzhi
课后 /t 1	 m, 节/q, 课后/t, 的/ude1
上回 /t 1	 , 吸取/v, 上回/t, 的/ude1
星期天 /t 1	 是/vshi, 星期天/t, ，/w], 
前不久 /t 1	 , [在/p, 前不久/t, 举行/v, 
周五 /t 1	 m, 日/b, 周五/t, 晚上/t, 
此前 /t 1	  [而/cc, 此前/t, 巢春/nr,
先前 /t 1	 , 她/rr, 先前/t, 对/p, 吾
前段 /t 1	 , 手腕/n, 前段/t, 耷拉/v, 
周六 /t 1	 , 除了/p, 周六/t, 周日/t, 
未来 /t 1	 的/ude1, 未来/t, 带来/v, 
七月 /t 1	  。/w], [七月/t, 的/ude1
儿时 /t 1	 , 我/rr, 儿时/t, 亲眼所见/l
日后 /t 1	 , 时/qt, 日后/t, 竟/d, 渐
凌晨 /t 1	  。/w], [凌晨/t, 两/m, 点
星期六 /t 1	 是/vshi, 星期六/t, ，/w], 
