冬 /t 1085	 , 我/rr, 冬/tg, 树光/nr
现在 /t 241	 , 辆车/q, 现在/t, 伪装成/n,
朝 /t 84	 , 视线/n, 朝/tg, 这边/rz
刚才 /t 83	 , [“/w, 刚才/t, 的/ude1
今后 /t 47	  。/w], [今后/t, 虽然/c, 
当时 /t 41	  [但是/c, 当时/t, 产业界/n,
今天 /t 33	 d, 像/v, 今天/t, 一样/uyy
未来 /t 18	 , 预知/v, 未来/t, 一样/uyy
目前 /t 18	  ，/w], [目前/t, 好像/v, 
明天 /t 14	 ……/w], [明天/t, 是/vshi
下次 /t 12	  ，/w], [下次/t, 不知/v, 
昨晚 /t 11	  ，/w], [昨晚/t, 我/rr, 
上次 /t 11	 l, 像/v, 上次/t, 有/vyou
今晚 /t 11	  ，/w], [今晚/t, 就/d, 姑
三月 /t 10	  ，/w], [三月/t, 十三/m, 
将来 /t 10	 , 假想/b, 将来/t, 的/ude1
后来 /t 10	  。/w], [后来/t, ，/w], 
早上 /t 9	 /udeng, 早上/t, 再/d, 走
昨天 /t 9	 , 和/cc, 昨天/t, 一样/uyy
现阶段 /t 9	 w, 在/p, 现阶段/t, ，/w], 
最近 /t 8	 , 知道/v, 最近/t, 将/d, 会
晚 /t 7	 ，/w], [昨晚/t, 我/rr, 
下午 /t 6	  了/ule, 下午/t, ，/w], 
半夜 /t 6	 的/ude1, 半夜/t, 偶然/a, 
早晨 /t 5	 , 迎接/v, 早晨/t, 的/ude1
往后 /t 5	 [仰身/nr, 往后/t, 翻倒/nz,
四月 /t 5	 差不多/al, 四月/t, 了/ule,
古时候 /t 5	  ，/w], [古时候/t, 的/ude1
上午 /t 4	 是/vshi, 上午/t, 八/m, 点
冬天 /t 4	 [照理说/n, 冬天/t, 都/d, 已
当初 /t 4	  ，/w], [当初/t, 还/d, 不
傍晚 /t 3	  了/ule, 傍晚/t, ，/w], 
前世 /t 3	 p, 以/p, 前世/t, 界/n, 的
夜里 /t 3	 c, 在/p, 夜里/t, 停电/vi,
星期五 /t 3	 是/vshi, 星期五/t, 。/w], 
如今 /t 3	  ，/w], [如今/t, 是/vshi
一早 /t 2	 , [太/d, 一早/t, 已/d, 开
今年 /t 2	 正胜/nrj, 今年/t, 五十八/mq
清晨 /t 2	 过/uguo, 清晨/t, 六/m, 点
当天 /t 2	 i, 、/w, 当天/t, 可以/v, 
情人节 /t 2	 , 白色/n, 情人节/t, 。/w], 
来时 /t 2	 r, 上/f, 来时/t, 绑/v, 在
往常 /t 2	  依循/nz, 往常/t, 的/ude1
以往 /t 2	 m, 如/v, 以往/t, ，/w], 
平时 /t 2	  。/w], [平时/t, 总/b, 有
晚间 /t 2	 过/uguo, 晚间/t, 七/m, 点
生前 /t 2	 v, 人/n, 生前/t, 辈/n, 的
黎明 /t 2	 11/m], [黎明/t, 即将来临/n
昨日 /t 2	  [想到/v, 昨日/t, 为止/u, 
夜 /t 2	 /ude1, 半夜/t, 偶然/a, 
平日 /t 2	  ，/w], [平日/t, 总是/d, 
去年 /t 2	 , [“/w, 去年/t, 我/rr, 
时下 /t 1	  淹水/nz, 时下/t, 起/vf, 
汉 /t 1	 的/ude1, 汉/tg, 努/v, 
年前 /t 1	  好几/mq, 年前/t, 的/ude1
正午 /t 1	 是/vshi, 正午/t, ，/w], 
来生 /t 1	 d, 拿/v, 来生/t, 火/n, 。
翌日 /t 1	  。/w], [翌日/t, ，/w], 
事前 /t 1	  [不管/c, 事前/t, 有/vyou
当日 /t 1	  ，/w], [当日/t, 十三/m, 
晨 /t 1	 v, 翌/n, 晨/tg, 仍未/d,
会后 /t 1	 v, 都/d, 会后/t, 悔/vg, 
前不久 /t 1	 , 发生/v, 前不久/t, 开始/v, 
会前 /t 1	 记者/nnt, 会前/t, ，/w], 
先前 /t 1	 , 和/cc, 先前/t, 一样/uyy
白天 /t 1	 , [“/w, 白天/t, 事先/d, 
一瞬 /t 1	 d, 在/p, 一瞬/t, 间统统/nr
清 /t 1	 n, 不/d, 清/tg, 思绪/n,
午后 /t 1	  [已是/d, 午后/t, 了/ule,
明早 /t 1	 v, 就/d, 明早/t, 出发/vi,
古代 /t 1	 , [对/p, 古代/t, 的/ude1
潜伏期 /t 1	 , 处于/v, 潜伏期/t, ，/w], 
晚上 /t 1	 , 还是/c, 晚上/t, 。/w], 
饭后 /t 1	 , 吃完/v, 饭后/t, ，/w], 
当前 /t 1	  才是/nr, 当前/t, 要务/n, 
眼下 /t 1	 , 看着/v, 眼下/t, 的/ude1
现 /t 1	 , 一发/d, 现/tg, 相关/vn
