现在 /t 126	  。/w], [现在/t, 他/rr, 
刚才 /t 69	  [你/rr, 刚才/t, 说和/v, 
当时 /t 58	  。/w], [当时/t, ，/w], 
今天 /t 48	  了/ule, 今天/t, 晚上/t, 
朝 /t 46	  [径自/d, 朝/tg, 车站/n,
明天 /t 23	  ？/w], [明天/t, 我/rr, 
未来 /t 21	 ——/w], [未来/t, 不/d, 仅
后来 /t 19	  ，/w], [后来/t, 跟/p, 丢
昨天 /t 17	  ，/w], [昨天/t, 他/rr, 
今后 /t 14	 w, “/w, 今后/t, 还/d, 想
晚上 /t 14	  。/w], [晚上/t, ，/w], 
年前 /t 12	 n, 三/m, 年前/t, 就/d, 卧
上次 /t 10	 , [“/w, 上次/t, 多谢/v, 
往后 /t 7	 , 这事/r, 往后/t, 拖/v, 。
下午 /t 7	 [面试/vi, 下午/t, 三/m, 点
如今 /t 7	  ，/w], [如今/t, 已/d, 全
将来 /t 6	  ，/w], [将来/t, 也/d, 想
凌晨 /t 6	  了/ule, 凌晨/t, 一点/m, 
今夜 /t 6	 , ——/w, 今夜/t, 住/vi, 
眼下 /t 6	  ，/w], [眼下/t, 已是/d, 
平时 /t 5	 [拓实/nr, 平时/t, 几乎/d, 
来时 /t 5	 , 走进/v, 来时/t, ，/w], 
深夜 /t 4	  。/w], [深夜/t, 的/ude1
春 /t 4	 e, “/w, 春/tg, 庵/ng,
最近 /t 4	  。/w], [最近/t, 老是/d, 
从前 /t 4	  。/w], [从前/t, 那个/rz,
当天 /t 4	 v, 在/p, 当天/t, 表明/v, 
晚 /t 4	 q, 一/m, 晚/tg, 的/ude
早晨 /t 4	 , 今天/t, 早晨/t, 才/d, 离
傍晚 /t 3	  。/w], [傍晚/t, ，/w], 
上午 /t 3	  了/ule, 上午/t, 十/m, 一
今 /t 3	 ，/w], [如今/t, 已/d, 全
今晚 /t 3	  [反正/d, 今晚/t, 也/d, 只
当初 /t 3	  ，/w], [当初/t, 我/rr, 
目前 /t 3	  。/w], [目前/t, 对此/d, 
今年 /t 3	 , [“/w, 今年/t, 是/vshi
夜 /t 3	 。/w], [深夜/t, 的/ude1
去年 /t 3	  。/w], [去年/t, 夏天/ns,
古 /t 2	  包艾/nr, 古/tg, 。/w],
白天 /t 2	  。/w], [白天/t, 来/vf, 
清 /t 2	 r, 两/m, 清/tg, 了/ule
下次 /t 2	  ，/w], [下次/t, 就/d, 会
周末 /t 2	  了/ule, 周末/t, 就/d, 全
刹那间 /t 2	  ，/w], [刹那间/t, ，/w], 
婚后 /t 2	 i, 在/p, 婚后/t, 整/v, 两
新年 /t 2	  ，/w], [新年/t, 来临/vi,
三月 /t 2	 大学/nis, 三月/t, 开学/vi,
往时 /t 2	 n, 边/k, 往时/t, 生/v, 的
此前 /t 2	  。/w], [此前/t, 并非/v, 
五月 /t 2	 , 已是/d, 五月/t, ，/w], 
日后 /t 2	  。/w], [日后/t, ，/w], 
当代 /t 2	  。/w], [当代/t, 的/ude1
盛夏 /t 1	 , 正值/v, 盛夏/t, ，/w], 
春天 /t 1	 , 今年/t, 春天/t, 也/d, 应
夜里 /t 1	  [当天/t, 夜里/t, ，/w], 
当晚 /t 1	  。/w], [当晚/t, 千/m, 鹤
来生 /t 1	 , 它/rr, 来生/t, 钱/n, 。
事前 /t 1	  ，/w], [事前/t, 得/ude3
而今 /t 1	  ，/w], [而今/t, 又/d, 遭
早上 /t 1	  了/ule, 早上/t, ，/w], 
会前 /t 1	 p, 约/d, 会前/t, 晒/v, 被
以往 /t 1	 , 和/cc, 以往/t, 一样/uyy
本世纪 /t 1	  ，/w], [本世纪/t, 最好/d, 
生前 /t 1	 , 时/qt, 生前/t, 胸/ng, 
年中 /t 1	 c, 少/a, 年中/t, 量级/n, 
夜半 /t 1	  这/rzv, 夜半/t, 时分/n, 
明早 /t 1	 v, “/w, 明早/t, 九/m, 点
后半期 /t 1	 , 年代/n, 后半期/t, 在/p, 日
周日 /t 1	 是/vshi, 周日/t, 啊/y, 。
现 /t 1	  ，/w], [现/tg, 于/p, 
一刹那 /t 1	 d, 在/p, 一刹那/t, ，/w], 
清晨 /t 1	 宫本在/nr, 清晨/t, 就/d, 下
往常 /t 1	 n, 比/p, 往常/t, 拥挤/a, 
昨晚 /t 1	  。/w], [昨晚/t, 他们/rr,
今日 /t 1	 有/vyou, 今日/t, 的/ude1
昏 /t 1	 w, 别/d, 昏/tg, 了/ule
昨夜 /t 1	 , 想起/v, 昨夜/t, 已/d, 被
饭后 /t 1	  。/w], [饭后/t, ，/w], 
十月 /t 1	 是/vshi, 十月/t, 七/m, 日
元旦 /t 1	  。/w], [元旦/t, 下午/t, 
古代 /t 1	 , [在/p, 古代/t, 还要/d, 
冬天 /t 1	  。/w], [冬天/t, 淳/ag, 
节假日 /t 1	 , 并非/v, 节假日/t, ，/w], 
战后 /t 1	 c, 从/p, 战后/t, 的/ude1
上旬 /t 1	 , 五月/t, 上旬/t, 出海/vi,
中午 /t 1	  。/w], [中午/t, 时分/n, 
星期六 /t 1	  ！/w], [星期六/t, ，/w], 
