现在 /t 61	  [他/rr, 现在/t, 就/d, 换
刚才 /t 60	  [我/rr, 刚才/t, 喝过/v, 
今天 /t 57	  。/w], [今天/t, 午休/vi,
当时 /t 45	  。/w], [当时/t, 沙都子/nr
晚上 /t 32	  [今天/t, 晚上/t, ，/w], 
最近 /t 31	  [她/rr, 最近/t, 有没有/nz
昨天 /t 28	  ，/w], [昨天/t, 深夜/t, 
今年 /t 21	  [她/rr, 今年/t, 输得/v, 
上次 /t 18	  把/pba, 上次/t, 在/p, 研
早上 /t 15	 , 天/qt, 早上/t, ，/w], 
明天 /t 14	 , [“/w, 明天/t, 不/d, 回
来时 /t 10	 , 站起/s, 来时/t, 先/d, 伸
目前 /t 9	 , [“/w, 目前/t, 一点/m, 
后来 /t 9	  [所以/c, 后来/t, 也/d, 就
下午 /t 8	  上完/ns, 下午/t, 的/ude1
明年 /t 7	  [我/rr, 明年/t, 也/d, 要
十一月 /t 7	 , [“/w, 十一月/t, 三/m, 日
年前 /t 7	  好几/mq, 年前/t, 开始/v, 
十月 /t 7	 是/vshi, 十月/t, 二十二/m,
春天 /t 6	 是/vshi, 春天/t, 来/vf, 
下次 /t 6	 , [“/w, 下次/t, 有/vyou
新年 /t 6	 是/vshi, 新年/t, 的/ude1
昨晚 /t 6	 , [“/w, 昨晚/t, 我/rr, 
八月 /t 6	 , 翻到/v, 八月/t, 八/m, 日
夜里 /t 5	  耶诞/nz, 夜里/t, 狂欢作乐/i
当天 /t 5	 w, “/w, 当天/t, 晚上/t, 
暑假 /t 5	 d, 放/v, 暑假/t, 呀/y, …
深夜 /t 5	 f, 臭/a, 深夜/t, 同/p, 家
朝 /t 5	  ，/w], [朝/tg, 四周/f,
今晚 /t 5	 , [但/c, 今晚/t, 她/rr, 
将来 /t 5	  [她/rr, 将来/t, 一定/b, 
往常 /t 5	 , 和/cc, 往常/t, 一样/uyy
生前 /t 4	  祥子/nz, 生前/t, 的/ude1
平时 /t 4	 是/vshi, 平时/t, ，/w], 
未来 /t 4	  。/w], [未来/t, 的/ude1
星期二 /t 4	  ，/w], [星期二/t, 。/w], 
礼拜二 /t 4	 是/vshi, 礼拜二/t, 晚上/t, 
冬天 /t 4	 有/vyou, 冬天/t, 的/ude1
中午 /t 4	  了/ule, 中午/t, ，/w], 
去年 /t 4	  。/w], [去年/t, 波/n, 香
傍晚 /t 3	  [已经/d, 傍晚/t, 五/m, 点
当初 /t 3	 , [“/w, 当初/t, 我们/rr,
十五日 /t 3	 , 八月/t, 十五日/t, 才/d, 再
课后 /t 3	 , 三节/n, 课后/t, ，/w], 
白天 /t 3	 n, 在/p, 白天/t, 可以/v, 
如今 /t 3	  ，/w], [如今/t, 她/rr, 
上午 /t 2	 v, 一/m, 上午/t, ，/w], 
楚 /t 2	 记不清/vl, 楚/tg, 了/ule
当晚 /t 2	  [结果/n, 当晚/t, 和/cc, 
十二月 /t 2	 , [在/p, 十二月/t, 的/ude1
今后 /t 2	  。/w], [今后/t, 再/d, 苦
一月 /t 2	 的/ude1, 一月/t, 一/m, 日
礼拜六 /t 2	 [这个/rz, 礼拜六/t, ，/w], 
九月 /t 2	  。/w], [九月/t, 二十三/m,
饭后 /t 2	  [打算/v, 饭后/t, 还要/d, 
上个月 /t 2	 , [“/w, 上个月/t, 吧/y, ！
一大早 /t 2	 的/ude1, 一大早/t, ，/w], 
上回 /t 2	 d, 在/p, 上回/t, 的/ude1
晚 /t 2	  [但/c, 今晚/t, 她/rr, 
夜 /t 2	 , 臭/a, 深夜/t, 同/p, 家
星期一 /t 2	 的/ude1, 星期一/t, ，/w], 
早晨 /t 2	 , 昨天/t, 早晨/t, 上学/vi,
近年 /t 1	  。/w], [近年/t, 流行/v, 
元月 /t 1	 , 天/qt, 元月/t, 一/m, 日
正午 /t 1	 n, 在/p, 正午/t, 时/qt, 
礼拜一 /t 1	 是/vshi, 礼拜一/t, ，/w], 
隆冬 /t 1	  [飞入/v, 隆冬/t, 的/ude1
事前 /t 1	 , [在/p, 事前/t, 她/rr, 
翌日 /t 1	  。/w], [翌日/t, ，/w], 
中古 /t 1	 的/ude1, 中古/t, 电视/n, 
战时 /t 1	 d, 对/p, 战时/t, 就/d, 请
一瞬 /t 1	  了/ule, 一瞬/t, 之间/f, 
从前 /t 1	 , [但/c, 从前/t, 似乎/d, 
周日 /t 1	 , [上/f, 周日/t, ，/w], 
周末 /t 1	 是/vshi, 周末/t, ，/w], 
现 /t 1	 是/vshi, 现/tg, 任部长/n
礼拜天 /t 1	  那个/rz, 礼拜天/t, 有/vyou
昔日 /t 1	 , 遇上/v, 昔日/t, 的/ude1
前次 /t 1	  ，/w], [前次/t, 没/d, 抽
月初 /t 1	 的/ude1, 月初/t, 。/w], 
转瞬间 /t 1	 , [但/c, 转瞬间/t, 这/rzv,
四月 /t 1	 w, “/w, 四月/t, 就要/d, 
来日 /t 1	  ，/w], [来日/t, 必当/d, 
往时 /t 1	 v, 前/f, 往时/t, ，/w], 
先前 /t 1	 [”/w], [先前/t, 看/v, 父
前年 /t 1	 , 不是/c, 前年/t, 的/ude1
礼拜三 /t 1	  一个/mq, 礼拜三/t, ，/w], 
五月 /t 1	 , [“/w, 五月/t, 五/m, 日
上周 /t 1	 , [在/p, 上周/t, 之前/f, 
星期六 /t 1	 是/vshi, 星期六/t, ，/w], 
