现在 /t 190	  。/w], [现在/t, 溜走/v, 
今天 /t 67	 , [“/w, 今天/t, 的/ude1
当时 /t 67	  。/w], [当时/t, ，/w], 
年前 /t 54	 e, 几/d, 年前/t, 最初/d, 
今晚 /t 38	  。/w], [今晚/t, 的/ude1
最近 /t 32	 , 辅/vg, 最近/t, 好像/v, 
上次 /t 28	 , [像/v, 上次/t, 一样/uyy
下次 /t 18	 , [“/w, 下次/t, 不要/d, 
今后 /t 17	  ，/w], [今后/t, 也/d, 请
平时 /t 12	 , [“/w, 平时/t, 的/ude1
昨晚 /t 11	 [”/w], [昨晚/t, ，/w], 
半夜 /t 11	  [已是/d, 半夜/t, 三/m, 点
后来 /t 10	  。/w], [后来/t, 我/rr, 
晚上 /t 10	  ，/w], [晚上/t, 都是我/nr
明天 /t 9	 , 等到/v, 明天/t, 听到/v, 
目前 /t 9	  [根据/p, 目前/t, 的/ude1
昨天 /t 8	 , [“/w, 昨天/t, 在/p, 学
春日 /t 7	 w, （/w, 春日/t, ）/w, 先
当晚 /t 7	 , 案发/v, 当晚/t, 被/pbei
平日 /t 7	 , 和/cc, 平日/t, 一样/uyy
深夜 /t 6	 t, 至/p, 深夜/t, 十/m, 一
白天 /t 6	  。/w], [白天/t, 的/ude1
朝 /t 6	 g, 脸/n, 朝/tg, 下/f, 
将来 /t 5	 的/ude1, 将来/t, 。/w], 
刹那 /t 4	 , 表情/n, 刹那/t, 明媚/a, 
以往 /t 4	 , 和/cc, 以往/t, 的/ude1
明年 /t 4	 , 他/rr, 明年/t, 一定/b, 
先前 /t 4	 , [“/w, 先前/t, 的/ude1
当初 /t 4	 c, 照/v, 当初/t, 的/ude1
清 /t 4	 v, 记/v, 清/tg, 了/ule
事前 /t 3	 , 带到/v, 事前/t, 准备好/nz
往常 /t 3	 m, 像/v, 往常/t, 一样/uyy
下午 /t 3	 r, 在/p, 下午/t, 五/m, 点
晚 /t 3	 。/w], [傍晚/t, 时/qt, 
双休日 /t 3	 是/vshi, 双休日/t, 啊/y, …
现阶段 /t 3	  。/w], [现阶段/t, ，/w], 
傍晚 /t 2	  。/w], [傍晚/t, 时/qt, 
新年 /t 2	 [”/w], [新年/t, 临近/v, 
当天 /t 2	 , 案发/v, 当天/t, 造访/v, 
来时 /t 2	 , 沿着/p, 来时/t, 的/ude1
早上 /t 2	 , 已是/d, 早上/t, 八/m, 点
前不久 /t 2	 , 案发/v, 前不久/t, 夫妇/n, 
如今 /t 2	  ，/w], [如今/t, 却/d, 恍
星期四 /t 2	  了/ule, 星期四/t, 。/w], 
周末 /t 2	  [每逢/v, 周末/t, ，/w], 
周六 /t 2	 q, 个/q, 周六/t, 。/w], 
饭后 /t 2	 的/ude1, 饭后/t, 再说/c, 
月中 /t 2	  这个/rz, 月中/t, 旬/ng, 
冬天 /t 2	 , 不是/c, 冬天/t, ，/w], 
周日 /t 2	 的/ude1, 周日/t, 今天/t, 
儿时 /t 2	 , 起/vf, 儿时/t, 的/ude1
眼下 /t 2	  ，/w], [眼下/t, 进展/vn,
去年 /t 2	  。/w], [去年/t, 的/ude1
清早 /t 1	  ，/w], [清早/t, 乘着/p, 
瞬时 /t 1	 [”/w], [瞬时/t, ，/w], 
早先 /t 1	  。/w], [早先/t, 就/d, 听
春天 /t 1	  [明年/t, 春天/t, 必须/d, 
上午 /t 1	 , 是从/v, 上午/t, 开始/v, 
假期 /t 1	  。/w], [假期/t, 结束/v, 
下月 /t 1	 , [“/w, 下月/t, 的/ude1
今日 /t 1	 着/uzhe, 今日/t, 的/ude1
楚 /t 1	 记不清/vl, 楚/tg, 了/ule
刚才 /t 1	  [和/cc, 刚才/t, 一样/uyy
战后 /t 1	 n, 作/v, 战后/t, ，/w], 
四月 /t 1	  [明年/t, 四月/t, 到底/d, 
会后 /t 1	  试吃/nz, 会后/t, 邀请/v, 
今 /t 1	 ，/w], [如今/t, 却/d, 恍
刹那间 /t 1	  ，/w], [刹那间/t, 呆/v, 呆
月末 /t 1	 , 就要/d, 月末/t, 了/ule,
生前 /t 1	  [她/rr, 生前/t, 遭受/v, 
行前 /t 1	 u, 同/p, 行前/t, 来/vf, 
未来 /t 1	 w, 对/p, 未来/t, 隐约/z, 
星期天 /t 1	  [比如/v, 星期天/t, 两/m, 点
从前 /t 1	  [与/cc, 从前/t, 父母/n, 
午后 /t 1	 的/ude1, 午后/t, ，/w], 
往昔 /t 1	  ，/w], [往昔/t, 也/d, 一
夜 /t 1	 [已是/d, 半夜/t, 三/m, 点
下礼拜 /t 1	 , [“/w, 下礼拜/t, ，/w], 
早晨 /t 1	 的/ude1, 早晨/t, ，/w], 
星期三 /t 1	  ，/w], [星期三/t, 他/rr, 
中午 /t 1	 , 临近/v, 中午/t, 了/ule,
来年 /t 1	 , 20/m, 来年/t, 了/ule,
