现在 /t 56	  ，/w], [现在/t, 孩子们/nz
今天 /t 22	  ，/w], [今天/t, 实在太/n,
晚上 /t 19	  [今天/t, 晚上/t, 好象/d, 
昨晚 /t 17	 , 我/rr, 昨晚/t, 还/d, 在
昨天 /t 17	 j, 从/p, 昨天/t, 起/vf, 
当时 /t 16	 , [依/v, 当时/t, 的/ude1
明天 /t 11	  ，/w], [明天/t, 见/v, 。
早上 /t 9	 d, 说/v, 早上/t, 学习/v, 
今晚 /t 8	  [看来/v, 今晚/t, 的/ude1
白天 /t 7	  [今天/t, 白天/t, 你/rr, 
晚 /t 6	  我/rr, 昨晚/t, 还/d, 在
今后 /t 6	  思考/vn, 今后/t, 该/rz, 
刚才 /t 6	 v, 跟/p, 刚才/t, 一样/uyy
未来 /t 4	 , 决定/v, 未来/t, 的/ude1
中午 /t 4	 , 明天/t, 中午/t, 前/f, 将
上午 /t 3	 是/vshi, 上午/t, 十一/nrj
一早 /t 3	 孩子们/nz, 一早/t, 起来/vf,
下午 /t 3	 是/vshi, 下午/t, 四/m, 点
最近 /t 3	  [而且/c, 最近/t, 也/d, 很
饭后 /t 2	 , 加上/v, 饭后/t, 又/d, 要
半夜 /t 2	 w, 大/a, 半夜/t, 的/ude1
将来 /t 2	 的/ude1, 将来/t, ，/w], 
往常 /t 2	 , [跟/p, 往常/t, 一样/uyy
后来 /t 2	 小姐/nrj, 后来/t, 怎么样/ry
今年 /t 1	 , 一下/m, 今年/t, 到/v, 目
生前 /t 1	 , 她/rr, 生前/t, 的/ude1
清晨 /t 1	 , 将近/d, 清晨/t, 五/m, 点
以往 /t 1	  。/w], [以往/t, 独尊/vn,
从前 /t 1	 f, 才/d, 从前/t, 面/nf, 
现阶段 /t 1	 , [但/c, 现阶段/t, 应该/v, 
下次 /t 1	  ？/w], [下次/t, 我/rr, 
夏夜 /t 1	 的/ude1, 夏夜/t, 吧/y, ！
来生 /t 1	  看不出/v, 来生/t, 病/n, 了
往年 /t 1	 v, 跟/p, 往年/t, 相比/vi,
当初 /t 1	 , [“/w, 当初/t, 是/vshi
平日 /t 1	  章太/nr, 平日/t, 承蒙/v, 
日后 /t 1	  [万一/d, 日后/t, 被/pbei
年内 /t 1	 1, 几/d, 年内/t, 都/d, 不
上回 /t 1	 d, 踏/v, 上回/t, 别墅/n, 
中元节 /t 1	 , 传来/v, 中元节/t, 返乡/vi,
先前 /t 1	 , 停到/v, 先前/t, 的/ude1
