当时 /t 261	  。/w], [当时/t, 恭/ag, 
现在 /t 137	  [你/rr, 现在/t, 在/p, 哪
刚才 /t 112	  了/ule, 刚才/t, 的/ude1
今天 /t 89	 , [“/w, 今天/t, 预约/v, 
夜里 /t 57	 , 每天/r, 夜里/t, 的/ude1
昨天 /t 49	 是/vshi, 昨天/t, 用/p, 传
当年 /t 49	  [面对/v, 当年/t, 的/ude1
年前 /t 42	 i, 两/m, 年前/t, 的/ude1
眼下 /t 42	  ，/w], [眼下/t, 基本上/d,
后来 /t 32	  。/w], [后来/t, ，/w], 
最近 /t 29	 , [从/p, 最近/t, 的/ude1
目前 /t 25	  [对方/n, 目前/t, 似乎/d, 
昨晚 /t 23	  ，/w], [昨晚/t, 有/vyou
今后 /t 23	  了/ule, 今后/t, 的/ude1
晚上 /t 23	  [据说/v, 晚上/t, 他们/rr,
春日 /t 21	 v, “/w, 春日/t, ”/w, 的
明天 /t 19	 是/vshi, 明天/t, 。/w], 
如今 /t 19	  [就是/v, 如今/t, 他/rr, 
白天 /t 18	 , 不是/c, 白天/t, 的/ude1
生前 /t 16	 先生/nrj, 生前/t, 可是/c, 
上次 /t 14	  。/w], [上次/t, 到/v, 这
今晚 /t 14	  ，/w], [今晚/t, 再/d, 召
当天 /t 12	  算定/nz, 当天/t, 的/ude1
下午 /t 11	 着/uzhe, 下午/t, 两/m, 点
平日 /t 11	  [不光/c, 平日/t, 很忙/nz,
朝 /t 10	  探头/vi, 朝/tg, 停车场/n
晚 /t 9	 v, 在/p, 晚/tg, 饭前/t,
去年 /t 9	  。/w], [去年/t, 外婆/n, 
往常 /t 8	 v, 作/v, 往常/t, 的话/udh
今年 /t 8	  。/w], [今年/t, 夏天/ns,
下次 /t 7	 , 同意/v, 下次/t, 再继续/nz
当初 /t 7	 [那/rzv, 当初/t, 又/d, 为
傍晚 /t 6	 , 今天/t, 傍晚/t, ，/w], 
早上 /t 6	 , 明天/t, 早上/t, ，/w], 
清早 /t 5	 3, 坐/v, 清早/t, 就/d, 发
一早 /t 5	  了/ule, 一早/t, 上/f, ，
晚期 /t 5	 , 癌症/n, 晚期/t, 患者/n, 
早晨 /t 4	 , 天/qt, 早晨/t, 才/d, 离
五月 /t 4	 是/vshi, 五月/t, 十/m, 日
暑假 /t 3	 , 这段/r, 暑假/t, ，/w], 
翌日 /t 3	  。/w], [翌日/t, ，/w], 
深夜 /t 3	 , [“/w, 深夜/t, 打搅/v, 
以往 /t 3	 , 和/cc, 以往/t, 有些/rz,
午后 /t 3	 , -/nx, 午后/t, 书社/nis
明早 /t 3	 , 客人/n, 明早/t, 打算/v, 
头天 /t 3	 的/ude1, 头天/t, 晚上/t, 
四月 /t 3	 j, 在/p, 四月/t, 份/q, 的
七月 /t 3	 , 是从/v, 七月/t, 开始/v, 
八月 /t 3	 z, 到/v, 八月/t, 三十一/m,
盛夏 /t 2	  ，/w], [盛夏/t, 时节/n, 
春天 /t 2	  。/w], [春天/t, 到来/vi,
旧时 /t 2	 的/ude1, 旧时/t, 钟/n, 指
清 /t 2	 v, 说/v, 清/tg, 开发/vn
饭后 /t 2	  过晚/nz, 饭后/t, ，/w], 
清晨 /t 2	  。/w], [清晨/t, 的/ude1
往后 /t 2	  ，/w], [往后/t, 一/m, 仰
来时 /t 2	 v, 神/n, 来时/t, ，/w], 
三月 /t 2	 , 今年/t, 三月/t, 份/q, 的
周六 /t 2	 , 只有/c, 周六/t, 会/v, 回
冬天 /t 2	  [等到/v, 冬天/t, 的/ude1
夜 /t 2	  [“/w, 深夜/t, 打搅/v, 
中午 /t 2	 , 他/rr, 中午/t, 时/qt, 
上午 /t 1	 d, 到/v, 上午/t, 十/m, 一
当晚 /t 1	 a, 治/v, 当晚/t, 的/ude1
一大早 /t 1	 , 不会/v, 一大早/t, 就/d, 打
当夜 /t 1	 , 案发/v, 当夜/t, 停/vi, 
星期天 /t 1	  一个/mq, 星期天/t, 。/w], 
往日 /t 1	  了/ule, 往日/t, 那个/rz,
事前 /t 1	  [因为/c, 事前/t, 已经/d, 
今 /t 1	 [就是/v, 如今/t, 他/rr, 
前夜 /t 1	 , 案发/v, 前夜/t, ，/w], 
不久前 /t 1	 [被害者/n, 不久前/t, 还/d, 踏
黄昏 /t 1	  ，/w], [黄昏/t, 已/d, 近
九月 /t 1	 d, 到/v, 九月/t, 末/f, 。
顷刻间 /t 1	  。/w], [顷刻间/t, ，/w], 
六月 /t 1	 i, 在/p, 六月/t, 决定/v, 
秋天 /t 1	  了/ule, 秋天/t, ，/w], 
凌晨 /t 1	 , 天/qt, 凌晨/t, 了/ule,
周四 /t 1	 是/vshi, 周四/t, 的/ude1
刹那间 /t 1	  。/w], [刹那间/t, ，/w], 
先前 /t 1	  了/ule, 先前/t, 下水/vi,
今日 /t 1	  [直至/v, 今日/t, ，/w], 
未来 /t 1	 的/ude1, 未来/t, ，/w], 
转眼间 /t 1	  。/w], [转眼间/t, ，/w], 
上星期 /t 1	  [直到/v, 上星期/t, ，/w], 
饭前 /t 1	 , 晚/tg, 饭前/t, 后/f, 吧
