现在 /t 220	 , 乘客/n, 现在/t, 状况/n, 
今天 /t 115	  ，/w], [今天/t, 也/d, 一
刚才 /t 71	 是/vshi, 刚才/t, 看到/v, 
最近 /t 39	 是/vshi, 最近/t, 一段时间/n
当时 /t 31	  回忆起/v, 当时/t, 的/ude1
明天 /t 29	  。/w], [明天/t, 早饭/n, 
早上 /t 26	  [那天/r, 早上/t, 8/m, 点
晚 /t 26	 。/w], [昨晚/t, 又/d, 举
晚上 /t 23	 是/vshi, 晚上/t, 九十/m, 
昨天 /t 23	 , 知道/v, 昨天/t, 相扑/nnd
今后 /t 22	  我们/rr, 今后/t, 该/rz, 
平时 /t 21	  。/w], [平时/t, 回到/v, 
下午 /t 17	  ，/w], [下午/t, 6/m, 点
今晚 /t 17	  ，/w], [今晚/t, 他们/rr,
年前 /t 17	 i, 6/m, 年前/t, 买下/v, 
如今 /t 15	  ，/w], [如今/t, 已经/d, 
周日 /t 14	  ，/w], [周日/t, 还要/d, 
来时 /t 14	 , [回/v, 来时/t, 你们/rr,
后来 /t 13	  。/w], [后来/t, 她/rr, 
目前 /t 12	  。/w], [目前/t, ，/w], 
将来 /t 12	  [女儿/n, 将来/t, 的/ude1
周六 /t 12	 的/ude1, 周六/t, 。/w], 
去年 /t 12	  [自打/p, 去年/t, 冬天/t, 
生前 /t 11	 , 和/cc, 生前/t, 的/ude1
前夜 /t 11	 是/vshi, 前夜/t, 的/ude1
昨晚 /t 10	  。/w], [昨晚/t, 又/d, 举
今年 /t 10	  。/w], [今年/t, 已经/d, 
圣诞节 /t 9	  ？/w], [圣诞节/t, 那天/r, 
上次 /t 8	  [他/rr, 上次/t, 进/vf, 
往常 /t 8	  。/w], [往常/t, 他/rr, 
傍晚 /t 7	 , 要到/v, 傍晚/t, 左右/f, 
朝 /t 7	  ，/w], [朝/tg, 同方向/n
周末 /t 7	  。/w], [周末/t, 杉田/nz,
春天 /t 6	 , 今年/t, 春天/t, 考上/v, 
下次 /t 6	  。/w], [下次/t, 你/rr, 
当初 /t 6	  。/w], [当初/t, 的/ude1
春假 /t 5	 e, 个/q, 春假/t, ，/w], 
平日 /t 5	 , 不是/c, 平日/t, 里/f, 播
明年 /t 5	 , 她/rr, 明年/t, 就要/d, 
中午 /t 5	  [昨天/t, 中午/t, ，/w], 
夜里 /t 4	 , 那天/r, 夜里/t, ，/w], 
一大早 /t 4	  。/w], [一大早/t, 就/d, 出
饭后 /t 4	 , 吃完/v, 饭后/t, 关了/p, 
明日 /t 4	 l, ‘/w, 明日/t, 复/dg, 
白天 /t 4	  了/ule, 白天/t, 的/ude1
月中 /t 4	 d, 3/m, 月中/t, 旬/ng, 
正月 /t 4	  [即便/c, 正月/t, 也/d, 是
上午 /t 3	 [刚过/nr, 上午/t, 11/m, 
一瞬 /t 3	  这/rzv, 一瞬/t, 过后/v, 
冬天 /t 3	 , 去年/t, 冬天/t, 第一/mq,
春 /t 3	  相马/nz, 春/tg, 树/n, 
圣诞 /t 3	  ，/w], [圣诞/t, 前夜/t, 
一月 /t 2	 , 问题/n, 一月/t, 份/q, 和
以往 /t 2	  。/w], [以往/t, 是/vshi
从前 /t 2	 , 她/rr, 从前/t, 一直/d, 
新年 /t 2	  了/ule, 新年/t, ，/w], 
往后 /t 2	 , 它/rr, 往后/t, 压/v, 一
月底 /t 2	 的/ude1, 月底/t, 起/vf, 
