现在 /t 92	  ，/w], [现在/t, 不会/v, 
春 /t 55	 i, 千/m, 春/tg, 吧/y, 
今天 /t 41	 , 决定/v, 今天/t, 晚上/t, 
晚上 /t 25	 , 今天/t, 晚上/t, 放/v, 一
早上 /t 18	  ，/w], [早上/t, 差/a, 五
今晚 /t 18	 , 我/rr, 今晚/t, 会/v, 问
明天 /t 15	  。/w], [明天/t, 我会/r, 
刚才 /t 14	 , 我/rr, 刚才/t, 的/ude1
昨天 /t 12	 z, 谈/v, 昨天/t, 的/ude1
最近 /t 12	  。/w], [最近/t, 蔬菜/n, 
晚 /t 11	  我/rr, 今晚/t, 会/v, 问
朝 /t 11	 r, 也/d, 朝/tg, 正门/n,
当时 /t 8	 p, 想/v, 当时/t, 的/ude1
目前 /t 8	 的/ude1, 目前/t, 所/usuo
昨晚 /t 7	  [比起/v, 昨晚/t, 听/v, 小
下午 /t 6	 是/vshi, 下午/t, 才来/nr,
未来 /t 6	 , 看到/v, 未来/t, 之/uzhi
饭后 /t 6	 , 完/vi, 饭后/t, 看到/v, 
后来 /t 6	  ，/w], [后来/t, 才/d, 传
白天 /t 5	 , 今天/t, 白天/t, 的/ude1
星期六 /t 5	 是/vshi, 星期六/t, 。/w], 
今后 /t 5	 , 转到/v, 今后/t, 如何/ryv
先前 /t 5	  ！/w], [先前/t, 也/d, 说
当天 /t 4	  。/w], [当天/t, 晚上/t, 
上次 /t 4	 , [但/c, 上次/t, 一起/s, 
下次 /t 4	  [希望/v, 下次/t, 能/v, 交
夜 /t 3	 了/ule, 半夜/t, 还/d, 持
半夜 /t 3	  了/ule, 半夜/t, 还/d, 持
将来 /t 3	 的/ude1, 将来/t, 啦/y, 。
中午 /t 3	  [后天/n, 中午/t, 退房/vn,
日后 /t 3	 是/vshi, 日后/t, 与/cc, 
傍晚 /t 2	 i, 到/v, 傍晚/t, ，/w], 
年前 /t 2	 , 二十/m, 年前/t, 左右/f, 
往后 /t 2	  ，/w], [往后/t, 就/d, 全
夜里 /t 2	 , 半/mq, 夜里/t, 去/vf, 
事前 /t 2	  [来到/v, 事前/t, 就/d, 准
星期一 /t 2	 的/ude1, 星期一/t, 一样/uyy
凌晨 /t 2	 , 将近/d, 凌晨/t, 三/m, 点
一早 /t 1	 [对不起/v, 一早/t, 就/d, 这
春假 /t 1	 , 还有/v, 春假/t, 。/w], 
此后 /t 1	  。/w], [此后/t, 真的/d, 
童年 /t 1	 的/ude1, 童年/t, 也/d, 不
日前 /t 1	 , [“/w, 日前/t, 尸体/n, 
上回 /t 1	 , [马/n, 上回/t, 来/vf, 
会后 /t 1	 , [怕/v, 会后/t, 悔/vg, 
来时 /t 1	 n, 上/f, 来时/t, ，/w], 
今 /t 1	  。/w], [今/tg, 天真/a,
现今 /t 1	 , [在/p, 现今/t, 这种/r, 
午夜 /t 1	  了/ule, 午夜/t, 十二/m, 
深夜 /t 1	 c, 在/p, 深夜/t, 节目/n, 
次日 /t 1	 [这/rzv, 次日/t, 星/n, 汽
生前 /t 1	 i, 说/v, 生前/t, 赠予/v, 
昏 /t 1	 r, 弄/v, 昏/tg, ，/w],
青春期 /t 1	 v, 上/f, 青春期/t, 的/ude1
清 /t 1	 w, 在/p, 清/tg, 洲/ng,
从前 /t 1	 , 塚/nz, 从前/t, 面朝/nz,
昨日 /t 1	 v, 日/b, 昨日/t, 重现/v, 
周末 /t 1	  这个/rz, 周末/t, 找/v, 人
当初 /t 1	  [凭着/p, 当初/t, 的/ude1
昼 /t 1	  [我/rr, 昼/tg, 只/d, 
八月 /t 1	 , 期待/v, 八月/t, 份/q, 的
上星期 /t 1	 r, 从/p, 上星期/t, 起/vf, 
现 /t 1	 之不易/vl, 现/tg, 正/d, 
唐 /t 1	 的/ude1, 唐/tg, ·/w, 
