现在 /t 90	  [就算/d, 现在/t, 跟/p, 他
当时 /t 54	  。/w], [当时/t, 她/rr, 
今天 /t 32	  [只有/c, 今天/t, 一个/mq,
晚上 /t 29	  一个/mq, 晚上/t, 我们/rr,
后来 /t 29	  。/w], [后来/t, 发现/v, 
最近 /t 23	  ，/w], [最近/t, 的/ude1
早上 /t 19	 m, 到/v, 早上/t, ，/w], 
昨天 /t 19	 , [“/w, 昨天/t, 的/ude1
年前 /t 16	  好几/mq, 年前/t, 的/ude1
刚才 /t 12	 , 不出/v, 刚才/t, 到底/d, 
下午 /t 11	 , 指着/v, 下午/t, 九/m, 点
目前 /t 11	  [根据/p, 目前/t, 调查/vn,
往后 /t 10	  大家/rr, 往后/t, 退一步/l,
凌晨 /t 10	 m, 日/b, 凌晨/t, 。/w], 
明天 /t 9	 , [从/p, 明天/t, 起/vf, 
朝 /t 9	  [继续/v, 朝/tg, 翔/vg,
当初 /t 7	  。/w], [当初/t, 就是/v, 
九月 /t 6	 v, 在/p, 九月/t, 十/m, 日
中午 /t 6	  了/ule, 中午/t, 她/rr, 
今晚 /t 5	 , [但/c, 今晚/t, 应该/v, 
傍晚 /t 4	 , 当天/t, 傍晚/t, 被/pbei
三国 /t 4	 , 是从/v, 三国/t, 峠/w, 经
当天 /t 4	 i, 在/p, 当天/t, 傍晚/t, 
深夜 /t 4	 , [在/p, 深夜/t, 的/ude1
当年 /t 4	 , 认为/v, 当年/t, 只不过/d,
白天 /t 3	  ，/w], [白天/t, 搜查/v, 
往常 /t 3	 m, 如/v, 往常/t, ，/w], 
如今 /t 3	 z, 到/v, 如今/t, 还/d, 感
先前 /t 3	  ，/w], [先前/t, 曾经/d, 
今年 /t 3	 [他们/rr, 今年/t, 七月/t, 
未来 /t 3	 的/ude1, 未来/t, 会/v, 更
清 /t 3	 n, 不/d, 清/tg, 。/w],
七月 /t 3	 , 今年/t, 七月/t, 还/d, 见
一早 /t 2	  [明天/t, 一早/t, 还/d, 得
六月 /t 2	 r, 说/v, 六月/t, 开始/v, 
上午 /t 2	  ，/w], [上午/t, 太阳/n, 
当晚 /t 2	  [而/cc, 当晚/t, 开始/v, 
昨晚 /t 2	  [针对/p, 昨晚/t, 的/ude1
星期天 /t 2	 , 又是/c, 星期天/t, ，/w], 
现 /t 2	 也实/nrj, 现/tg, 了/ule
星期日 /t 2	  ，/w], [星期日/t, 。/w], 
上次 /t 2	  ，/w], [上次/t, 在/p, 别
从前 /t 2	 是/vshi, 从前/t, 面/nf, 
午间 /t 2	 的/ude1, 午间/t, 新闻/n, 
去年 /t 2	  [房子/n, 去年/t, 刚买/nr,
十五日 /t 1	 24/m], [十五日/t, 的/ude1
上个月 /t 1	 是/vshi, 上个月/t, 五/m, 号
夜里 /t 1	 , 那天/r, 夜里/t, 入侵/v, 
日前 /t 1	 v, 十/m, 日前/t, 后/f, 这
上回 /t 1	 d, 马/n, 上回/t, 去/vf, 
秋天 /t 1	 的/ude1, 秋天/t, 他们/rr,
怀孕期 /t 1	 n, 在/p, 怀孕期/t, 间/f, 就
今后 /t 1	  。/w], [今后/t, 的/ude1
一大早 /t 1	 , 旅客/n, 一大早/t, 又/d, 会
午夜 /t 1	  了/ule, 午夜/t, 零/m, 时
此前 /t 1	 , [因/p, 此前/t, 辈/n, 到
星期四 /t 1	 , 和/cc, 星期四/t, 吧/y, ？
午后 /t 1	  [遇到/v, 午后/t, 雷阵雨/n,
十月 /t 1	 ……/w], [十月/t, 前/f, 搬
晚 /t 1	  当天/t, 傍晚/t, 被/pbei
昨日 /t 1	 m, 如/v, 昨日/t, ，/w], 
昨夜 /t 1	  ，/w], [昨夜/t, 遭/v, 不
平时 /t 1	  。/w], [平时/t, ，/w], 
半夜 /t 1	 是/vshi, 半夜/t, ，/w], 
黄昏 /t 1	 是/vshi, 黄昏/t, 。/w], 
日后 /t 1	 , 决定/v, 日后/t, 搜查/v, 
星期三 /t 1	 是/vshi, 星期三/t, 和/cc, 
