现在 /t 59	 , 你/rr, 现在/t, 可不是/c,
刚才 /t 30	 , 你/rr, 刚才/t, 说/v, 的
最近 /t 29	 , 听说/v, 最近/t, 税务/n, 
目前 /t 24	  ，/w], [目前/t, 的/ude1
今天 /t 21	  。/w], [今天/t, 是/vshi
今年 /t 17	  ，/w], [今年/t, 的/ude1
年前 /t 14	 p, 两/m, 年前/t, 成立/vi,
清 /t 10	 g, 岛/n, 清/tg, 彦/ng,
当时 /t 9	 , 晕倒/v, 当时/t, 我/rr, 
昨天 /t 8	  [我/rr, 昨天/t, 打电话/vi
下次 /t 7	 i, 写/v, 下次/t, 的/ude1
当天 /t 6	 n, 东/f, 当天/t, 带来/v, 
夜 /t 6	  [反正/d, 夜/tg, 还/d, 
当初 /t 6	  [明明/d, 当初/t, 都讲好/nr
明年 /t 5	 , 准备/v, 明年/t, 春天/t, 
上个月 /t 5	 , 你/rr, 上个月/t, 买了/v, 
早上 /t 5	  大家/rr, 早上/t, 八/m, 点
以往 /t 5	  。/w], [以往/t, 我/rr, 
朝 /t 5	  [缓步/d, 朝/tg, 计程车/n
从前 /t 4	 , [“/w, 从前/t, 的/ude1
昨晚 /t 4	  。/w], [昨晚/t, 芳贺将/nr
今晚 /t 4	 着/uzhe, 今晚/t, 寿喜/nr,
去年 /t 4	 ……/w], [去年/t, 秋天/t, 
事前 /t 3	 z, 能/v, 事前/t, 准备/v, 
凌晨 /t 3	  了/ule, 凌晨/t, 十二/m, 
如今 /t 3	  ，/w], [如今/t, 应该/v, 
前年 /t 3	  ，/w], [前年/t, 早就/d, 
晚上 /t 3	 f, 到/v, 晚上/t, 十/m, 一
春天 /t 2	 , 明年/t, 春天/t, 报税/vn,
古 /t 2	 的/ude1, 古/tg, 伊万里/n
往后 /t 2	  小木/nz, 往后/t, 面的/n, 
四月 /t 2	  [你/rr, 四月/t, 去旅行/nz
今后 /t 2	 , 可是/c, 今后/t, 要/v, 继
秋天 /t 2	 , 今年/t, 秋天/t, 的/ude1
上次 /t 2	  ，/w], [上次/t, 寄给/vf,
下午 /t 2	 是/vshi, 下午/t, 三/m, 点
二月 /t 2	  已经/d, 十二月/t, 了/ule,
今日 /t 2	  ，/w], [今日/t, 造访/v, 
往年 /t 2	 n, 比/p, 往年/t, 多/a, 了
后来 /t 2	  ，/w], [后来/t, 渐渐/d, 
先前 /t 2	  。/w], [先前/t, 都/d, 是
时下 /t 1	 是/vshi, 时下/t, 备受瞩目/i
新年 /t 1	  我们/rr, 新年/t, 首次/mq,
上午 /t 1	 m, 日/b, 上午/t, 八/m, 点
三月 /t 1	  [但是/c, 三月/t, 二十/m, 
夏季 /t 1	 的/ude1, 夏季/t, 甲子/mq,
夜里 /t 1	  [当天/t, 夜里/t, ，/w], 
今世 /t 1	 , [当/p, 今世/t, 上/f, 根
春季 /t 1	 , 与/cc, 春季/t, 甲子/mq,
十二月 /t 1	 , 已经/d, 十二月/t, 了/ule,
往常 /t 1	 m, 如/v, 往常/t, 地/ude2
星期日 /t 1	 的/ude1, 星期日/t, ，/w], 
现今 /t 1	 c, 在/p, 现今/t, 的/ude1
一月 /t 1	 , 今年/t, 一月/t, 趁/p, 大
年内 /t 1	 p, 数/n, 年内/t, 达到/v, 
夏 /t 1	 g, 、/w, 夏/tg, 恢复/v,
刹那间 /t 1	 的/ude1, 刹那间/t, ，/w], 
午夜 /t 1	  [接近/v, 午夜/t, 零/m, 时
一瞬 /t 1	 , 发出/v, 一瞬/t, 之/uzhi
当年 /t 1	 r, 比/p, 当年/t, 还/d, 疲
明早 /t 1	 r, 到/v, 明早/t, 之前/f, 
晚 /t 1	 。/w], [昨晚/t, 芳贺将/nr
明天 /t 1	  。/w], [明天/t, 我/rr, 
春 /t 1	 t, ）/w, 春/tg, 、/w, 
半夜 /t 1	 没有人/nz, 半夜/t, 溜进/nz,
儿时 /t 1	 , 婴/ng, 儿时/t, 便/d, 必
八月 /t 1	 t, ）/w, 八月/t, 举办/v, 
九月 /t 1	 , 去年/t, 九月/t, ，/w], 
