现在 /t 31	  ，/w], [现在/t, 我/rr, 
当时 /t 28	  。/w], [当时/t, 我/rr, 
刚才 /t 20	 , 说明/v, 刚才/t, 和/cc, 
昨夜 /t 20	 [温子/nr, 昨夜/t, 是/vshi
明天 /t 15	  那你/nr, 明天/t, 做/v, 给
目前 /t 15	  你们/rr, 目前/t, 所/usuo
晚上 /t 12	  ，/w], [晚上/t, 十/m, 一
今夜 /t 10	  ，/w], [今夜/t, 由/p, 元
一瞬 /t 10	  ，/w], [一瞬/t, ，/w], 
朝 /t 10	  ，/w], [朝/tg, 楼下/s,
今天 /t 9	 , [从/p, 今天/t, 开始/v, 
昨天 /t 9	 , 和/cc, 昨天/t, 同样/d, 
上午 /t 8	  ，/w], [上午/t, 十/m, 一
今后 /t 8	 , 面对/v, 今后/t, 所/usuo
下午 /t 8	  ，/w], [下午/t, 一时/d, 
最近 /t 6	 , 距离/n, 最近/t, 的/ude1
早上 /t 5	 , 今天/t, 早上/t, 负责/v, 
半夜 /t 5	 v, 趁/p, 半夜/t, 悄悄/d, 
后来 /t 5	  ，/w], [后来/t, 我/rr, 
当天 /t 4	 , 建议/n, 当天/t, 七/m, 个
去年 /t 4	 , 她/rr, 去年/t, 冬天/t, 
饭后 /t 3	  过晚/nz, 饭后/t, 会/v, 边
清晨 /t 3	 v, 　/w, 清晨/t, 的/ude1
未来 /t 3	 , 通往/v, 未来/t, 的/ude1
上次 /t 3	 , 怀疑/v, 上次/t, 试演/v, 
下次 /t 3	  [不过/c, 下次/t, 见到/v, 
假期 /t 2	 , 连续/a, 假期/t, 供人/n, 
夜里 /t 2	 , 半/mq, 夜里/t, 还/d, 在
四月 /t 2	 , 已经/d, 四月/t, 了/ule,
昨晚 /t 2	 , 我/rr, 昨晚/t, 推敲/vn,
凌晨 /t 2	 , 只是/d, 凌晨/t, 一时/d, 
前不久 /t 2	  。/w], [前不久/t, 的/ude1
冬天 /t 2	 , 去年/t, 冬天/t, 演出/vn,
圣诞节 /t 2	 , 去年/t, 圣诞节/t, ，/w], 
不久前 /t 2	  [想到/v, 不久前/t, 还是/c, 
十五日 /t 1	 b, 至/p, 十五日/t, 集合地点/n
平时 /t 1	 n, 比/p, 平时/t, 更慢/d, 
春天 /t 1	 , 就是/v, 春天/t, 的/ude1
上个月 /t 1	 , [“/w, 上个月/t, 十/m, 号
今晨 /t 1	  [但是/c, 今晨/t, 六/m, 时
此后 /t 1	  。/w], [此后/t, ，/w], 
楚 /t 1	 记不清/vl, 楚/tg, 了/ule
一大早 /t 1	 , 天/qt, 一大早/t, 本/rz, 
秋日 /t 1	 , 恰似/v, 秋日/t, 的/ude1
将来 /t 1	 的/ude1, 将来/t, 打算/v, 
来时 /t 1	 , 出/vf, 来时/t, 可能会/nz
日间 /t 1	 , [四/m, 日间/t, 完全/ad,
午夜 /t 1	 v, 到/v, 午夜/t, 十二/m, 
先前 /t 1	 , 和/cc, 先前/t, 同样/d, 
晚间 /t 1	  。/w], [晚间/t, 十/m, 一
今年 /t 1	 v, 在/p, 今年/t, 之中/f, 
今晚 /t 1	 , [“/w, 今晚/t, 是/vshi
四时 /t 1	 , 下午/t, 四时/t, 以前/f, 
刹那 /t 1	  。/w], [刹那/t, 问/v, ，
夜 /t 1	 ，/w], [今夜/t, 由/p, 元
日前 /t 1	 v, 至/p, 日前/t, 为止/u, 
日后 /t 1	 , 留待/v, 日后/t, 再/d, 慢
儿时 /t 1	  这/rzv, 儿时/t, ，/w], 
平日 /t 1	  [不是/c, 平日/t, 那样/rzv
昔日 /t 1	 , 漠视/v, 昔日/t, 的/ude1
