现在 /t 64	 再继续/nz, 现在/t, 这种/r, 
今天 /t 63	  ，/w], [今天/t, 的/ude1
刚才 /t 41	  [我/rr, 刚才/t, 也/d, 说
朝 /t 27	  ，/w], [朝/tg, 我/rr,
当时 /t 22	 , 她/rr, 当时/t, 相当/d, 
晚上 /t 22	  [那天/r, 晚上/t, ，/w], 
今晚 /t 20	 , 觉得/v, 今晚/t, 还是/c, 
唐 /t 19	 , 名叫/v, 唐/tg, 伞/n, 
明天 /t 18	  ，/w], [明天/t, 再/d, 给
今后 /t 16	  ，/w], [今后/t, 也/d, 一
最近 /t 16	  ，/w], [最近/t, 的/ude1
春 /t 13	  ，/w], [春/tg, 美的/nz
去年 /t 13	 新人奖/nz, 去年/t, 的/ude1
早上 /t 11	 , 今天/t, 早上/t, 吃/v, 了
昨晚 /t 11	  。/w], [昨晚/t, 通话/vi,
年前 /t 10	 i, 五/m, 年前/t, 才抱/nr,
昨天 /t 10	 d, 到/v, 昨天/t, 为止/u, 
往常 /t 9	 r, 像/v, 往常/t, 一样/uyy
今年 /t 9	  ，/w], [今年/t, 才/d, 改
目前 /t 8	  自己/rr, 目前/t, 的/ude1
如今 /t 8	 , [比/p, 如今/t, 天/qt, 
下次 /t 7	  。/w], [下次/t, 得/ude3
早晨 /t 7	 [隔天/nz, 早晨/t, 醒来时/l,
傍晚 /t 6	 , 睡到/v, 傍晚/t, ，/w], 
往后 /t 6	  惊得/nz, 往后/t, 一/m, 仰
平时 /t 6	 , [比/p, 平时/t, 提前/vd,
周六 /t 6	  一个/mq, 周六/t, ，/w], 
晚 /t 6	  觉得/v, 今晚/t, 还是/c, 
周日 /t 5	 w, 上/f, 周日/t, 发生/v, 
一大早 /t 4	  [今天/t, 一大早/t, ，/w], 
后来 /t 4	 , [”/w, 后来/t, 的/ude1
上周 /t 4	  ，/w], [上周/t, 六/m, 你
当天 /t 3	  。/w], [当天/t, 的/ude1
白天 /t 3	 [华子/nz, 白天/t, 上/f, 专
下午 /t 3	  ，/w], [下午/t, 六/m, 点
当初 /t 3	  [虽然/c, 当初/t, 获奖/vn,
一刹那 /t 3	 c, 下/f, 一刹那/t, ，/w], 
来时 /t 3	 d, 到/v, 来时/t, 反而/d, 
星期二 /t 3	  ？/w], [星期二/t, 吧/y, 。
夜 /t 3	  还是/c, 深夜/t, 就/d, 出
刹那 /t 2	 的/ude1, 刹那/t, ，/w], 
夜里 /t 2	  [今天/t, 夜里/t, 所有/b, 
明年 /t 2	 , [但/c, 明年/t, 很/d, 可
翌日 /t 2	 的/ude1, 翌日/t, ，/w], 
上次 /t 2	 , 和/cc, 上次/t, 同样/d, 
星期四 /t 2	 t, 、/w, 星期四/t, 、/w, 星
深夜 /t 2	 , 还是/c, 深夜/t, 就/d, 出
一瞬 /t 2	  。/w], [一瞬/t, ，/w], 
昨夜 /t 2	  。/w], [昨夜/t, 的/ude1
下月 /t 2	 z, 在/p, 下月/t, 出版/v, 
下回 /t 2	  ，/w], [下回/t, 绝对/d, 
星期三 /t 2	 是/vshi, 星期三/t, 。/w], 
从前 /t 2	  ，/w], [从前/t, 面/nf, 
将来 /t 2	 , 他/rr, 将来/t, 能/v, 顺
此前 /t 2	 是/vshi, 此前/t, 执意/d, 
一清早 /t 2	 , 明天/t, 一清早/t, 就/d, 起
转眼间 /t 2	  [派对/n, 转眼间/t, 变成/v, 
中午 /t 2	  [周六/t, 中午/t, ，/w], 
五月 /t 2	  [还是/c, 五月/t, 吧/y, ，
凌晨 /t 2	 , 已是/d, 凌晨/t, 两/m, 点
当年 /t 2	 c, 跟/p, 当年/t, 畅销/v, 
当晚 /t 1	  ，/w], [当晚/t, 就/d, 必
会后 /t 1	 , [舞/v, 会后/t, 肚子饿/n,
以往 /t 1	  ，/w], [以往/t, 也/d, 有
上个月 /t 1	 是/vshi, 上个月/t, 的/ude1
战时 /t 1	 r, 在/p, 战时/t, 曾经/d, 
现今 /t 1	 , 不入/v, 现今/t, 评选/vn,
清 /t 1	 , 利用/v, 清/tg, b/nx,
午后 /t 1	 , 已是/d, 午后/t, 。/w], 
圣诞节 /t 1	 d, 到/v, 圣诞节/t, 了/ule,
十一月 /t 1	 , [才/d, 十一月/t, 的/ude1
周末 /t 1	  ，/w], [周末/t, 去/vf, 
现阶段 /t 1	 [他们/rr, 现阶段/t, 的/ude1
平日 /t 1	 , 父亲/n, 平日/t, 的/ude1
婚后 /t 1	 , 知道/v, 婚后/t, 变成/v, 
星期日 /t 1	  。/w], [星期日/t, 则/d, 是
饭后 /t 1	 t, 便/d, 饭后/t, ，/w], 
清晨 /t 1	 是/vshi, 清晨/t, 五/m, 时
周一 /t 1	 v, 一/m, 周一/t, 直/d, 向
星期天 /t 1	 的/ude1, 星期天/t, 。/w], 
现 /t 1	 z, （/w, 现/tg, ?/w],
来日 /t 1	  [以备/v, 来日/t, 之用/r, 
前不久 /t 1	 d, 在/p, 前不久/t, ，/w], 
周五 /t 1	 , 是从/v, 周五/t, 晚上/t, 
先前 /t 1	  。/w], [先前/t, 因为/c, 
圣诞 /t 1	  。/w], [圣诞/t, 前夕/f, 
周三 /t 1	  这/rzv, 周三/t, 左右/f, 
上回 /t 1	 , 还用/v, 上回/t, 那/rzv,
未来 /t 1	 c, 在/p, 未来/t, 的/ude1
十月 /t 1	 i, 在/p, 十月/t, 三十/m, 
一早 /t 1	 , 明天/t, 一早/t, ，/w], 
冬天 /t 1	 是/vshi, 冬天/t, 了/ule,
眼下 /t 1	  ，/w], [眼下/t, 当务之急/n
昨 /t 1	 1, 眼/n, 昨/tg, 凝视着/n
星期六 /t 1	 t, 、/w, 星期六/t, 都是/nr,
星期一 /t 1	 m, 日/b, 星期一/t, 。/w], 
