老师 /nn 72	  汤川/nr, 老师/nnt, 介绍/v,
学生 /nn 24	 的/ude1, 学生/nnt, ，/w],
警察 /nn 17	 , 通知/n, 警察/nnt, 。/w],
刑警 /nn 14	 , 前辈/n, 刑警/nnt, 摇/v, 
教授 /nn 11	 学/nrj, 副教授/nnt, 。/w],
魔术师 /nn 9	 , 金属/n, 魔术师/nnt, ’/w, 
学者 /nn 9	 是/vshi, 学者/nnt, ，/w],
科学家 /nn 8	 , 命令/n, 科学家/nnt, 替/p, 
助理 /nn 7	 是/vshi, 助理/nnt, 教授/nn
股长 /nn 5	 , [“/w, 股长/nnt, ……/w]
店员 /nn 4	 的/ude1, 店员/nnt, ，/w],
副驾驶 /nn 4	 [”/w], [副驾驶/nnt, 座/q, 
医生 /nn 3	 的/ude1, 医生/nnt, 说/v, 
副教授 /nn 3	 川学/nrj, 副教授/nnt, 。/w],
职员 /nn 3	  了/ule, 职员/nnt, 证/n, 
律师 /nn 2	 , 去找/v, 律师/nnt, 商量/v,
科员 /nn 2	 , 年轻/a, 科员/nnt, ，/w],
女警 /nn 2	 m, 名/q, 女警/nnt, 陪着/v,
消防员 /nn 2	  ，/w], [消防员/nnd, 和/cc,
消防队员 /nn 2	 , 时候/n, 消防队员/nnd, 已经/d,
侦探 /nn 2	  [不是/c, 侦探/nnd, 。/w],
证人 /nn 2	 , 还有/v, 证人/nnt, 。/w],
厂商 /nn 1	 , 内衣/n, 厂商/nnd, 。/w],
公务员 /nn 1	 , 与/cc, 公务员/nnt, 及/cc,
科研人员 /nn 1	 的/ude1, 科研人员/nnt, 所/usu
教师 /nn 1	 是/vshi, 教师/nnt, 。/w],
志愿者 /nn 1	 , 及/cc, 志愿者/nnt, 稍/d, 
老板 /nn 1	 旅店/nis, 老板/nnt, ，/w],
负责人 /nn 1	 z, 科/n, 负责人/nnt, 也/d, 
研究生 /nn 1	  一个/mq, 研究生/nnt, ，/w],
硕士 /nn 1	 p, 念/v, 硕士/nnt, 的/ude
一把手 /nn 1	 的/ude1, 一把手/nnt, 电/n, 
