侦探 /nn 296	  ！/w], [侦探/nnd, 俱乐部/n
刑警 /nn 71	 m, 位/q, 刑警/nnt, ，/w],
董事长 /nn 71	 /ude1, 副董事长/nnt, 正/d, 
警察 /nn 64	  ，/w], [警察/nnt, 也/d, 
助手 /nn 53	 的/ude1, 助手/nnt, ：/w],
警官 /nn 34	 的/ude1, 警官/nnt, 。/w],
罪犯 /nn 28	 , 就是/v, 罪犯/nnd, 了/ule
老师 /nn 14	 , 油画/n, 老师/nnt, 是/vsh
医生 /nn 12	  ，/w], [医生/nnt, 。/w],
部长 /nn 11	  营业/vn, 部长/nnt, 来/vf,
副董事长 /nn 10	 的/ude1, 副董事长/nnt, 正/d, 
服务员 /nn 10	 的/ude1, 服务员/nnt, 要/v, 
佣人 /nn 9	 1, 老/a, 佣人/nnd, 住在/v,
会员 /nn 8	 , 受理/v, 会员/nnt, 的/ude
作者 /nn 7	 n, 归/v, 作者/nnt, 所/usu
女佣 /nn 6	  。/w], [女佣/nnd, 麻子/n,
店员 /nn 6	 的/ude1, 店员/nnt, 向/p, 
学生 /nn 6	 , [从/p, 学生/nnt, 时代/n,
警员 /nn 6	  高个子/n, 警员/nnt, ，/w],
证人 /nn 6	 n, 当/p, 证人/nnt, 。/w],
秘书 /nn 5	 的/ude1, 秘书/nnt, 。/w],
职员 /nn 5	 公司/nis, 职员/nnt, 们/k, 
店长 /nn 4	  。/w], [店长/nnt, 是/vsh
教授 /nn 3	 的/ude1, 教授/nnt, ，/w],
副教授 /nn 3	  晋级/vi, 副教授/nnt, ，/w],
主角 /nn 3	 , 描绘/v, 主角/nnt, 与/cc,
学员 /nn 3	 的/ude1, 学员/nnt, 名单/n,
播音员 /nn 3	 1, 像/v, 播音员/nnt, 一样/uy
校长 /nn 3	 的/ude1, 校长/nnt, 。/w],
代表 /nn 2	 的/ude1, 代表/nnt, 发言/vi
作家 /nn 2	  推理/vn, 作家/nnt, 协会/ni
研究生 /nn 2	 v, 读/v, 研究生/nnt, 。/w],
经理 /nn 2	 旅馆/nis, 经理/nnt, 久保/v,
创始人 /nn 2	 的/ude1, 创始人/nnt, 有些/rz
院长 /nn 2	 学院/nis, 院长/nnt, 。/w],
大学生 /nn 2	 的/ude1, 大学生/nnt, 也/d, 
记者 /nn 1	  了/ule, 记者/nnt, 的/ude
教师 /nn 1	 , 油画/n, 教师/nnt], [中野/
间谍 /nn 1	 , 当作/v, 间谍/nnt, 。/w],
雇主 /nn 1	 的/ude1, 雇主/nnd, 消失/vi
经营者 /nn 1	 的/ude1, 经营者/nnt, ——/w,
副驾驶 /nn 1	 , 坐在/v, 副驾驶/nnt, 席/qt,
推销员 /nn 1	 是/vshi, 推销员/nnt, 或者/c,
表演者 /nn 1	 m, 位/q, 表演者/nnd, 听到/v,
候选人 /nn 1	 的/ude1, 候选人/nnt, ，/w],
主治医生 /nn 1	 q, 男/b, 主治医生/nnt, ，/w],
批发商 /nn 1	  一个/mq, 批发商/nnd, 的/ude
高中生 /nn 1	 c, 个/q, 高中生/nnd, ，/w],
专家 /nn 1	 的/ude1, 专家/nnt, 来说/ul
队员 /nn 1	 其他/rzv, 队员/nnt, 都/d, 
本科生 /nn 1	 , 和/cc, 本科生/nnt, 差不多/a
法医 /nn 1	 的/ude1, 法医/nnt, 说/v, 
社长 /nn 1	  。/w], [社长/nnt, 要/v, 
运动员 /nn 1	 , 属于/v, 运动员/nnt, 类型/n,
主持人 /nn 1	 , 会议/n, 主持人/nnt, 的/ude
局长 /nn 1	 的/ude1, 局长/nnt, 通报/v,
