博士 /nn 96	 g, 元/q, 博士/nnt, 这么/rz
警察 /nn 49	  了/ule, 警察/nnt, 。/w],
医生 /nn 37	 的/ude1, 医生/nnt, 们/k, 
班长 /nn 33	  了/ule, 班长/nnt, 那儿/rz
助手 /nn 20	  [任命/v, 助手/nnt, 小/a, 
店长 /nn 19	 [正和/nz, 店长/nnt, 模样/n,
老师 /nn 18	  。/w], [老师/nnt, ，/w],
店员 /nn 15	  ，/w], [店员/nnt, 似乎/d,
教授 /nn 14	 , 去/vf, 教授/nnt, 的/ude
学生 /nn 12	  一个/mq, 学生/nnt, 模样/n,
老板 /nn 12	 , 和/cc, 老板/nnt, 明天/t,
记者 /nn 11	  ，/w], [记者/nnt, 招待会/n
罪犯 /nn 10	 i, 个/q, 罪犯/nnd, ，/w],
护士 /nn 10	 1, 胖/a, 护士/nnt, 。/w],
厂长 /nn 9	 v, 揍/v, 厂长/nnt, 一/m, 
模特儿 /nn 9	 [”/w], [模特儿/nnt, 总是/d,
棒球 /nn 8	  。/w], [棒球/nnd, 服/v, 
职员 /nn 8	  年长/vi, 职员/nnt, 坐在/v,
音乐家 /nn 7	 v, 当/p, 音乐家/nnt, 。/w],
警官 /nn 7	 [”/w], [警官/nnt, 两手/m,
侍者 /nn 7	 n, 给/p, 侍者/nnt, ，/w],
工人 /nn 7	 , 一线/n, 工人/nnt, 。/w],
司机 /nn 6	 , 担心/v, 司机/nnt, 听见/v,
事务员 /nn 5	 t, 女/b, 事务员/nnt, 走/v, 
高中生 /nn 5	 z, 演/v, 高中生/nnd, 也/d, 
律师 /nn 5	 i, 个/q, 律师/nnt, ，/w],
主力 /nn 4	 球队/nis, 主力/nnt, ，/w],
演员 /nn 4	 , 外国/n, 演员/nnt, 。/w],
设计师 /nn 4	 n, 做/v, 设计师/nnt, ，/w],
学者 /nn 4	 的/ude1, 学者/nnt, 已经/d,
科学家 /nn 3	 w, “/w, 科学家/nnt, 不能/v,
画家 /nn 3	 v, 当/p, 画家/nnt, ？/w],
作家 /nn 3	 , 成为/v, 作家/nnt, 中的/v,
负责人 /nn 3	  宣传/vn, 负责人/nnt, 作/v, 
播音员 /nn 3	 [”/w], [播音员/nnt, 的/ude
工作人员 /nn 3	 g, 对/p, 工作人员/nnt, 说/v, 
杀手 /nn 2	 的/ude1, 杀手/nnd, 会/v, 
科长 /nn 2	 t, 向/p, 科长/nnt, 提出/v,
委员 /nn 2	 [某个/rz, 委员/nnt, 摇着头/l
心理学家 /nn 2	  ，/w], [心理学家/nnt, 光/n, 
证人 /nn 2	 有/vyou, 证人/nnt, 声称/v,
小学生 /nn 2	  ，/w], [小学生/nnd, 似的/u,
志愿者 /nn 2	 过/uguo, 志愿者/nnt, ，/w],
店主 /nn 2	  。/w], [店主/nnd, 们/k, 
代理人 /nn 1	 的/ude1, 代理人/nnt, 。/w],
教师 /nn 1	 的/ude1, 教师/nnt, 。/w],
间谍 /nn 1	  别做/nz, 间谍/nnt, 呀/y, 
顾问 /nn 1	 1, 好/a, 顾问/nnt, 。/w],
女演员 /nn 1	 , 外国/n, 女演员/nnd, ，/w],
主任 /nn 1	 v, 糸/n, 主任/nnt, 所言/c,
局长 /nn 1	  ，/w], [局长/nnt, 说/v, 
专家 /nn 1	  修理/vn, 专家/nnt, 吗/y, 
演奏者 /nn 1	 [是因为/c, 演奏者/nnd, 技艺高超/
中学生 /nn 1	 的/ude1, 中学生/nnd, 成群结队/
女工 /nn 1	 , 和/cc, 女工/nnd, 开/v, 
代言人 /nn 1	 的/ude1, 代言人/nnt, ，/w],
副驾驶 /nn 1	  。/w], [副驾驶/nnt, 座/q, 
作曲家 /nn 1	 , 和/cc, 作曲家/nnt, 名/q, 
机械师 /nn 1	 [我们/rr, 机械师/nnt, 马不停蹄/
钢琴家 /nn 1	 v, 当/p, 钢琴家/nnt, ，/w],
基督徒 /nn 1	  。/w], [基督徒/nnd, 会/v, 
管理人员 /nn 1	 , 病房/n, 管理人员/nnt, 禁止入/n
理学家 /nn 1	 ，/w], [心理学家/nnt, 光/n, 
研究者 /nn 1	 m, 副/b, 研究者/nnt, 的/ude
联络员 /nn 1	 f, 当/p, 联络员/nnt, 。/w],
指挥家 /nn 1	 , [像/v, 指挥家/nnt, 握着/v,
部长 /nn 1	  制造/vn, 部长/nnt, 那儿/rz
女主角 /nn 1	 的/ude1, 女主角/nnt, ，/w],
银行家 /nn 1	 v, 个/q, 银行家/nnt, 。/w],
技术员 /nn 1	 是/vshi, 技术员/nnt, 嘛/y, 
辩护律师 /nn 1	 的/ude1, 辩护律师/nnt, ，/w],
学正 /nn 1	 i, 小/a, 学正/nnt, 南方/s,
社长 /nn 1	 , [说/v, 社长/nnt, 正/d, 
艺术家 /nn 1	 , 称为/v, 艺术家/nnt, 的/ude
运动员 /nn 1	 , 体操/n, 运动员/nnt, 似的/u,
车间主任 /nn 1	  了/ule, 车间主任/nnt, 和/cc,
