市长 /nn 260	 , 和/cc, 市长/nnt, 。/w],
博士 /nn 99	 n, 村/n, 博士/nnt, 。/w],
侦探 /nn 60	 
管家 /nn 40	 是/vshi, 管家/nnt, 黑/a, 
老师 /nn 39	 , 我/rr, 老师/nnt, 。/w],
门卫 /nn 36	 , 他/rr, 门卫/nnt, 更为/d,
作家 /nn 33	 理小说/nz, 作家/nnt, ，/w],
警察 /nn 30	 是/vshi, 警察/nnt, 的/ude
成员 /nn 18	 的/ude1, 成员/nnt, 。/w],
刑警 /nn 15	 的/ude1, 刑警/nnt, 坐在/v,
编辑 /nn 10	 ude1, 责任编辑/nnt, ，/w],
管理员 /nn 7	 念馆/nis, 管理员/nnt, 与/cc,
委员 /nn 7	 m, 个/q, 委员/nnt, 这/rzv
小说家 /nn 7	 侦探/nnd, 小说家/nnd, 们/k, 
代表 /nn 5	  发言/vi, 代表/nnt, 的/ude
学者 /nn 4	 , [女/b, 学者/nnt, 当即/d,
工匠 /nn 4	 的/ude1, 工匠/nnd, 。/w],
助手 /nn 4	  联络/vn, 助手/nnt, 吧/y, 
司机 /nn 4	 , 和/cc, 司机/nnt, 乘坐/v,
馆长 /nn 4	 i, 给/p, 馆长/nnt, 吧/y, 
作者 /nn 3	 , 作品/n, 作者/nnt, 依次/d,
社长 /nn 3	 报社/nis, 社长/nnt, 傲慢/a,
医生 /nn 2	 的/ude1, 医生/nnt, 看着/v,
运动员 /nn 2	 , 篮球/n, 运动员/nnt, ，/w],
馆员 /nn 2	 , [女/b, 馆员/nnt, 皱/v, 
证人 /nn 2	 的/ude1, 证人/nnt, ；/w],
记者 /nn 2	 , 科技/n, 记者/nnt, ，/w],
责任编辑 /nn 2	 的/ude1, 责任编辑/nnt, ，/w],
知识分子 /nn 1	 , 认为/v, 知识分子/nnd, 都/d, 
评论家 /nn 1	 , 没有/v, 评论家/nnt, 提及/v,
名士 /nn 1	 , 当地/s, 名士/nnd, 齐聚一堂/
罪犯 /nn 1	 , 寻找/v, 罪犯/nnd, 为/p, 
僧人 /nn 1	 的/ude1, 僧人/nnt, 一样/uy
财主 /nn 1	 q, 大/a, 财主/nnd, ，/w],
学生 /nn 1	 被/pbei, 学生/nnt, 打扰/v,
木匠 /nn 1	  了/ule, 木匠/nnd, 工具/n,
撰稿人 /nn 1	 i, 以/p, 撰稿人/nnt, 的/ude
教授 /nn 1	 , 力学/n, 教授/nnt, 。/w],
领袖 /nn 1	 的/ude1, 领袖/nnt, ，/w],
画家 /nn 1	  印象派/n, 画家/nnt, ，/w],
教师 /nn 1	  [协调/v, 教师/nnt, 与/cc,
侦察员 /nn 1	  [大批/m, 侦察员/nnt, 正在/d,
所长 /nn 1	 , 该所/r, 所长/nnt, 、/w, 
会长 /nn 1	 的/ude1, 会长/nnt, 、/w, 
工作人员 /nn 1	 的/ude1, 工作人员/nnt, ，/w],
职员 /nn 1	 公司/nis, 职员/nnt, ，/w],
太子 /nn 1	 圣德/nrf, 太子/nnd, 肖像/n,
考古学家 /nn 1	 v, 女/b, 考古学家/nnd, 。/w],
法官 /nn 1	 , 交给/v, 法官/nnt, 吧/y, 
政治家 /nn 1	 , 就是/v, 政治家/nnt, 。/w],
间谍 /nn 1	 是/vshi, 间谍/nnt, 小说/n,
战士 /nn 1	  [像是/v, 战士/nnt, 上阵/vi
