刑警 /nn 177	 , 中年/n, 刑警/nnt, 和/cc,
教练 /nn 39	  ，/w], [教练/nnt, ……/w]
警察 /nn 28	 的/ude1, 警察/nnt, 便/d, 
老师 /nn 24	  井本/nr, 老师/nnt, 提过/v,
学生 /nn 23	 的/ude1, 学生/nnt, 问话/n,
科长 /nn 11	 的/ude1, 科长/nnt, ，/w],
队员 /nn 10	 的/ude1, 队员/nnt, 。/w],
家庭教师 /nn 9	 的/ude1, 家庭教师/nnt, 到/v, 
部员 /nn 6	 其他/rzv, 部员/nnt, 中/f, 
班主任 /nn 6	 的/ude1, 班主任/nnt, 井本/nr
医生 /nn 5	 , [“/w, 医生/nnt, 您/rr,
教员 /nn 5	 r, 到/v, 教员/nnt, 室/n, 
科员 /nn 5	 的/ude1, 科员/nnt, 拿起/v,
高中生 /nn 5	 , [《/w, 高中生/nnd, 坠楼/nz
主任 /nn 4	 /ude1, 班主任/nnt, 井本/nr
医师 /nn 3	 [“/w, 主治医师/nnt, 说/v, 
组长 /nn 3	 着/uzhe, 组长/nnt, 的/ude
职员 /nn 3	 公司/nis, 职员/nnt, ，/w],
大夫 /nn 2	 , [“/w, 大夫/nnt, ……/w]
代表 /nn 2	 n, 作/v, 代表/nnt, ，/w],
店员 /nn 2	  [所以/c, 店员/nnt, 们/k, 
冠军 /nn 2	  [拿下/v, 冠军/nnt, 也/d, 
裁缝 /nn 2	 , 西式/b, 裁缝/nnt, 学校/ni
经营者 /nn 2	  。/w], [经营者/nnt, 是/vsh
明星 /nn 2	 , 偶像/n, 明星/nnd, 的/ude
讲师 /nn 2	 的/ude1, 讲师/nnt, 。/w],
女招待 /nn 2	 酒吧/nis, 女招待/nnd, 。/w],
部长 /nn 2	 的/ude1, 部长/nnt, 。/w],
门将 /nn 2	 是/vshi, 门将/nnt, ，/w],
侍者 /nn 2	 的/ude1, 侍者/nnt, 点/qt,
主治医师 /nn 2	 , [“/w, 主治医师/nnt, 说/v, 
司机 /nn 2	 的/ude1, 司机/nnt, ，/w],
店主 /nn 2	  把/pba, 店主/nnd, 叫/vi,
董事 /nn 2	 , [“/w, 董事/nnt, 呢/y, 
厂商 /nn 1	 /ulian, 厂商/nnd, 也/d, 
组员 /nn 1	 的/ude1, 组员/nnt, 。/w],
教师 /nn 1	 , 就算/d, 教师/nnt, 亲自/d,
罪犯 /nn 1	 的/ude1, 罪犯/nnd, ，/w],
魔术师 /nn 1	 v, 个/q, 魔术师/nnt, 似的/u,
副班长 /nn 1	 的/ude1, 副班长/nnt, ，/w],
撰稿人 /nn 1	 , 自由/a, 撰稿人/nnt, ，/w],
中学生 /nn 1	  ，/w], [中学生/nnd, 是/vsh
歌舞伎 /nn 1	 1, 新/a, 歌舞伎/nnd, 座/q, 
助手 /nn 1	  [坐在/v, 助手/nnt, 席/qt,
事务员 /nn 1	 f, 做/v, 事务员/nnt, 。/w],
艺人 /nn 1	 , 几位/n, 艺人/nnt, 的/ude
副会长 /nn 1	 的/ude1, 副会长/nnt, ，/w],
模特 /nn 1	 , 假人/n, 模特/nnt, 似的/u,
刽子手 /nn 1	 [那些/rz, 刽子手/nnd, 已经/d,
小学生 /nn 1	 w, “/w, 小学生/nnd, 的/ude
数学老师 /nn 1	 的/ude1, 数学老师/nnt, 泽田/nr
成员 /nn 1	 的/ude1, 成员/nnt, 。/w],
宣传部长 /nn 1	  ，/w], [宣传部长/nnt, 甚至/d,
领队 /nn 1	 公司/nis, 领队/nnt, 、/w, 
批发商 /nn 1	  。/w], [批发商/nnd, 那头/nr
