警察 /nn 204	 大阪/nsf, 警察/nnt, 本部/n,
老师 /nn 61	  。/w], [老师/nnt, 们/k, 
学生 /nn 58	 的/ude1, 学生/nnt, 。/w],
老板 /nn 53	 的/ude1, 老板/nnt, 。/w],
社长 /nn 40	 n, 社/n, 社长/nnt, ，/w],
社员 /nn 32	 的/ude1, 社员/nnt, 。/w],
侦探 /nn 30	 , 通过/p, 侦探/nnd, 在/p, 
刑警 /nn 27	 的/ude1, 刑警/nnt, 。/w],
店员 /nn 23	  。/w], [店员/nnt, 的/ude
老板娘 /nn 20	 , [“/w, 老板娘/nnd, ，/w],
服务生 /nn 18	 v, 女/b, 服务生/nnd, ，/w],
董事 /nn 17	 , 药品/n, 董事/nnt, 的/ude
调查员 /nn 16	 m, 名/q, 调查员/nnt, ，/w],
常务董事 /nn 15	 的/ude1, 常务董事/nnt, ，/w],
职员 /nn 14	 的/ude1, 职员/nnt, 。/w],
高中生 /nn 13	 m, 个/q, 高中生/nnd, 的/ude
药剂师 /nn 12	 是/vshi, 药剂师/nnt, 。/w],
小学生 /nn 12	 , 不是/c, 小学生/nnd, 就是/v,
营业员 /nn 12	 , 承办/v, 营业员/nnt, 。/w],
医生 /nn 11	 , 叫/vi, 医生/nnt, 来/vf,
女佣 /nn 10	  。/w], [女佣/nnd, 抱怨/v,
助手 /nn 9	 1, 女/b, 助手/nnt, 说/v, 
店长 /nn 9	 当铺/nis, 店长/nnt, ”/w, 
科长 /nn 8	 , 和/cc, 科长/nnt, 的/ude
女警 /nn 8	 的/ude1, 女警/nnt, 问道/vi
代表 /nn 7	 , [便/d, 代表/nnt, 检验/vn
制造商 /nn 7	 , 电玩/n, 制造商/nnd, 来说/ul
专家 /nn 7	 , 所有/b, 专家/nnt, 跌破眼镜/
成员 /nn 7	 案组/nis, 成员/nnt, 以/p, 
主任 /nn 6	 的/ude1, 主任/nnt, 和/cc,
负责人 /nn 6	  [既然/c, 负责人/nnt, 都/d, 
技术人员 /nn 6	 , 叫/vi, 技术人员/nnt, 来/vf,
教授 /nn 5	 , 臣/ng, 教授/nnt, 正在/d,
组长 /nn 5	 是/vshi, 组长/nnt, 中/f, 
大学生 /nn 5	 是/vshi, 大学生/nnt, 便/d, 
店主 /nn 5	  [身为/v, 店主/nnd, 的/ude
棒球 /nn 5	 m, 垒/v, 棒球/nnd, 开打/nz
副驾驶 /nn 4	 , 坐在/v, 副驾驶/nnt, 座/q, 
证人 /nn 4	 v, 当/p, 证人/nnt, ，/w],
司机 /nn 4	  [交代/v, 司机/nnt, 到/v, 
图书馆员 /nn 4	  。/w], [图书馆员/nnt, 戴着/v,
管理员 /nn 4	 , 物业/n, 管理员/nnt, 来/vf,
记者 /nn 3	 , 出现/v, 记者/nnt, 的/ude
副教授 /nn 3	 的/ude1, 副教授/nnt, 慢条斯理/
门卫 /nn 3	  [放在/v, 门卫/nnt, 前方/s,
拳王 /nn 3	 w, 小/a, 拳王/nnd, 》/w, 
家庭主妇 /nn 3	 的/ude1, 家庭主妇/nnd, 。/w],
相扑 /nn 3	  转播/vn, 相扑/nnd, ，/w],
工程师 /nn 3	 的/ude1, 工程师/nnt, 都/d, 
教练 /nn 3	 广冈/nr, 总教练/nnt, 的/ude
