作家 /nn 70	  推理/vn, 作家/nnt, 的/ude
大师 /nn 69	  [那位/r, 大师/nnt, 太/d, 
作者 /nn 38	  文字/n, 工作者/nnt, 收入/n,
博士 /nn 32	 , 石/ng, 博士/nnt, ，/w],
刑警 /nn 23	 的/ude1, 刑警/nnt, 与/cc,
编辑 /nn 22	 的/ude1, 编辑/nnt, 。/w],
棒球 /nn 20	 v, 写/v, 棒球/nnd, 。/w],
部长 /nn 19	 , 刑事/b, 部长/nnt, 问道/vi
老师 /nn 18	  松井/nz, 老师/nnt, ……/w]
主角 /nn 16	 , 出现/v, 主角/nnt, 在/p, 
投手 /nn 11	 , 天才/n, 投手/nnt, 和/cc,
研究员 /nn 10	 究所/nis, 研究员/nnt, 的/ude
侦探 /nn 10	 是/vshi, 侦探/nnd, 高屋敷先生
评论家 /nn 10	 理小说/nz, 评论家/nnt, 。/w],
护士 /nn 9	  ，/w], [护士/nnt, 在/p, 
收藏家 /nn 9	 , 人手/n, 收藏家/nnd, 》/w, 
文书 /nn 9	 a, 型/k, 文书/nnt, 处理机/n
女佣 /nn 8	 , 吩咐/v, 女佣/nnd, 淑/ng,
服务生 /nn 8	 , 记得/v, 服务生/nnd, 是/vsh
记者 /nn 8	 的/ude1, 记者/nnt, 朋友/n,
责任编辑 /nn 7	 的/ude1, 责任编辑/nnt, 之后/f,
杀手 /nn 7	 , 机/ng, 杀手/nnd, 。/w],
教授 /nn 6	 , 听说/v, 教授/nnt, 你/rr,
空中小姐 /nn 6	 是/vshi, 空中小姐/nnd, 。/w],
代表 /nn 5	 究员/nnt, 代表/nnt, ，/w],
警察 /nn 5	  带着/vn, 警察/nnt, 回到/v,
职业作家 /nn 4	 真不愧是/l, 职业作家/nnd, 。/w],
学者 /nn 4	  ，/w], [学者/nnt, 推定/v,
科学家 /nn 4	 , 婴儿/n, 科学家/nnt, 计划/n,
医学博士 /nn 4	 m, 名/q, 医学博士/nnt, 、/w, 
总编 /nn 4	 被/pbei, 总编/nnt, 掐死/nz
专家 /nn 4	 的/ude1, 专家/nnt, 学者/nn
实业家 /nn 4	 m, 名/q, 实业家/nnd, 。/w],
女作家 /nn 3	  [听说/v, 女作家/nnd, 夏野桐子/
