真锅秋子 /nr 78	 [“/w, 真锅秋子/nrj, ，/w],
阿部先生 /nr 45	 n, 和/c, 阿部先生/nrj, 都/d,
真锅 /nr 28	 v, 是/v, 真锅/nr, 夫人/n, 
阿部佐智男 /nr 35	 , 先生/n, 阿部佐/nr, 智男/nr, 
公一 /nr 12	 , [在/p, 公一/nr, 离开/v, 
武藤 /nr 12	  ，/w], [武藤/nr, 指/v, 着
真锅先生 /nr 12	 , [“/w, 真锅先生/nrj, 没有/v,
佐藤 /nr 12	  。/w], [佐藤/nr, 用/p, 手
笠井 /nr 10	 z, 使/v, 笠井/nr, 不由得/d,
小村刑警 /nr 5	  [对于/p, 小村刑警/nrj, 的/uj,
小村 /nr 6	 v, 叫/v, 小村/nr, ，/w], 
松本 /nr 3	 j, 是/v, 松本/nr, ，/w], 
佐智 /nr 3	  秋子/nr, 和佐智/nrj, 男/b, 
赤根 /nr 2	  就职/v, 于赤根/nr, 工业/n, 
荚美子 /nr 2	 d, 把/p, 荚/nr, 美/j, 子
铃木小姐 /nr 2	  ，/w], [铃木小姐/nrj, 是/v, 
 
阿部芙美子 /nr 2	 d, 在/p, 阿部芙美子/nrj, 家/q, 
小村 /nr 2	 [”/w], [小村一/nrj, 边/d, 
兴信所 /nr 2	 d, 请/v, 兴信所/nr, 调查/vn,
松本君 /nr 2	 , [“/w, 松本君/nr, 看见/v, 
后部长 /nr 1	 , 回来/v, 后部长/nrj, 的/uj,
井野里子 /nr 1	  ，/w], [井野里子/nrj, 到/v, 
上芙美子 /nr 1	 , 晚/tg, 上芙美子/nrj, 则/d, 
秋子给 /nr 1	 , 前面/f, 秋子给/nr, 服务台/n,
于赤根 /nr 1	 , 就职/v, 于赤根/nr, 工业/n, 
秋子让 /nr 1	  ，/w], [秋子让/nr, 公/ng, 
时竟然 /nr 1	 , 这些/r, 时竟然/nr, 一点/m, 
都是公 /nr 1	  ，/w], [都是公/nr, 一/m, 自
时秋子 /nr 1	  [开始/v, 时秋子/nr, 跟/p, 那
都要 /nr 1	 n, 也/d, 都要/nr, ，/w], 
佐藤用 /nr 1	 , [”/w, 佐藤用/nr, 有些/r, 
秋子家 /nr 1	 g, 到/v, 秋子家/nr, 去/v, 了
向秋子 /nr 1	 n, 转/v, 向秋子/nrj, ，/w],
秋子摇 /nr 1	  ，/w], [秋子摇/nr, 了/ul, 
