下条小姐 /nr 241	 v, 是/v, 下条小姐/nrj, 吗/y, 
鞠子 /nr 82	  ，/w], [鞠子/nr, 决心/n, 
阿丰 /nr 65	 他手/nnt, 阿丰/nr, 从/p, 刚
伊原 /nr 61	 , 关于/p, 伊原/nr, 骏策/nr,
小林小姐 /nr 50	 , 听说/v, 小林小姐/nrj, 没/d, 
旭川 /nr 47	 , 位于/v, 旭川/nr, 的/uj, 
双叶 /nr 43	 /w], [小林双叶/nrj, ，/w],
高城晶子 /nr 41	 n, //w, 高城晶子/nrj, ”/w, 
骏策 /nr 41	  伊原/nr, 骏策/nr, 的/uj, 
高城 /nr 39	 n, 、/w, 高城/nr, 合影/v, 
小林 /nr 27	 , [“/w, 小林/nr, ！/w], 
康之 /nr 26	 [高城/nr, 康之/nr, 。/w], 
阿部晶子 /nr 25	  ，/w], [阿部晶子/nrj, 与/p, 
久能教授 /nr 21	  [这位/r, 久能教授/nrj, 既然/c,
小林志保小姐 /nr 21	 r, 是/v, 小林志保小姐/nrj, 的/uj,
叶小姐 /nr 21	 w], [小林双叶小姐/nrj, ？/w],
山本 /nr 19	 r, 是/v, 山本/nr, 。/w], 
安妮 /nr 19	 a, 发/v, 安妮/nrf, 遇到/v,
细野修女 /nr 18	 , 舍监/n, 细野修女/nrj, 审阅/vn
小林 /nr 17	 , 查出/v, 小林双/nr, 叶/j, 的

小林双叶小姐 /nr 17	 ……/w], [小林双叶小姐/nrj, ？/w],
梅津教授 /nr 16	 , [但/c, 梅津教授/nrj, 或/c, 
氏家先生 /nr 15	  ，/w], [氏家先生/nrj, 才/d, 
鞠子之 /nr 15	 [·/w], [鞠子之/nr, 章/q], 
叶之章 /nr 14	 , [双/m, 叶之章/nr], [一/m]
清水宏 /nr 14	 , 名叫/v, 清水宏/nrj, 久/a, 
江 /nr 14	 v, 铃/o, 江/nr, 的/uj, 
小林双叶 /nr 14	 ……/w], [小林双叶/nrj, ，/w],
清水先生 /nr 13	  [虽然/c, 清水先生/nrj, 不见得/l
阿香 /nr 12	 , 女儿/n, 阿香/nr, ，/w], 
梅津 /nr 12	 , [“/w, 梅津/nrf, 老师/n,
馆理科 /nr 11	 p, 函/n, 馆理科/nrj, 大学/n,
丰先生 /nr 11	  ？/w], [丰先生/nr, 把/p, 双
石神 /nr 11	 r, 到/v, 石神/nr, 井/n, 公
藤村教授 /nr 11	  ，/w], [藤村教授/nrj, 问/v, 
才会 /nr 11	 , 开车/v, 才会/nr, 开进/v, 
生时代 /nr 10	 n, 学/v, 生时代/nrj, 有关/vn
拉门 /nr 9	 j, 纸/n, 拉门/nrf, 。/w],
谢谢你 /nr 9	 d, 很/d, 谢谢你/nr, 。/w], 
真是 /nr 9	 n, ”/w, 真是/nr, 一个/mq,
亨 /nr 8	 , 了/ul, 亨/nr, 丁/vg, 
鞠子你 /nr 8	  [如果/c, 鞠子你/nr, 不/d, 愿
畑村先生 /nr 8	 f, 去/v, 畑村先生/nrj, 的/uj,
全是 /nr 8	  [里头/f, 全是/nr, 报纸/n, 
那是 /nr 8	 , [“/w, 那是/nr, 绝对/d, 
横井 /nr 8	 n, 是/v, 横井/nr, 告诉/v, 
谷一丁 /nr 7	 , 祖师/n, 谷一丁/nr, 目/ng, 
房里 /nr 7	 , [“/w, 房里/nr, 有/v, 两
边说 /nr 7	 w, 我/r, 边说/nr, 边/d, 迅
老先生 /nr 7	  ，/w], [老先生/nrj, 的/uj,
