斋藤 /nr 78	 , 名叫/v, 斋藤/nr, 。/w], 
真智子 /nr 68	 , 名叫/v, 真智子/nr, 的/uj, 
古川 /nr 47	  [主任/n, 古川/nr, 巡查/vn,
高仓 /nr 39	 , 叫做/v, 高仓/nr, 。/w], 
世良 /nr 38	 , 的/uj, 世良/nr, 警官/n, 
福泽 /nr 36	  [主任/n, 福泽/nrf, 巡查/vn
利子 /nr 16	 锐/n, 田代由利子/nrj, ，/w],
友野 /nr 12	 , [”/w, 友野/nr, 指/v, 着
昌枝 /nr 11	  久/a], [昌枝/nr, ”/w, 。
东野圭吾 /nr 11	 j, ]/w, 东野圭吾/nrj], [羊恩/
靖子 /nr 11	 [”/w], [靖子/nr, 把/p, 眼
福原映子 /nr 10	 , 名叫/v, 福原映子/nrj, ，/w],
佐原先生 /nr 7	 v, 是/v, 佐原先生/nrj, 的/uj,
山中湖 /nr 7	 f, “/w, 山中湖/nr], [斋藤/n
中野先生 /nr 5	  ，/w], [中野先生/nrj, ……/w]
智子 /nr 5	  名叫/v, 真智子/nr, 的/uj, 
花屋 /nr 5	 z, 道/q, 花屋/nr, 通/v, 。
车也 /nr 5	 , 的/uj, 车也/nr, 大大咧咧/z
筱田一 /nr 5	 [”/w], [筱田一/nrj, 脸/n, 
福原小姐 /nr 5	 , [“/w, 福原小姐/nrj, ，/w],
织田心 /nr 5	  。/w], [织田心/nrj, 想/v, 

太田 /nr 5	  。/w], [太田/nr, 就/d, 像
绿灯 /nr 5	 n, 是/v, 绿灯/nrj, ，/w],
才会 /nr 5	 q, 人/n, 才会/nr, 一起/s, 
良二人 /nr 4	  [世/ng, 良二人/nr, 便/d, 走
车就 /nr 4	  [但是/c, 车就/nr, 很/d, 可
深泽伸一 /nr 4	 [2/m], [深泽伸一/nrj, 意识到/v
田所 /nr 4	 , 到/v, 太田所/nr, 说/v, 的
小林 /nr 4	 , 名叫/v, 小林/nr, ，/w], 
那男 /nr 4	 , [“/w, 那男/nr, 的/uj, 
望月 /nr 3	 , 名叫/v, 望月/nr, 。/w], 
车内 /nr 3	 亮了/nrj, 车内/nr, 。/w], 
阵内一 /nr 3	 , [”/w, 阵内一/nrj, 边/d, 
金田刑警 /nr 3	 , 的/uj, 金田刑警/nrj, 和/c, 
良君你 /nr 3	  [世/ng, 良君你/nr, 应该/v, 
车是从 /nr 3	  那辆/nz, 车是从/nr, 御/vg, 
那你 /nr 3	 , [“/w, 那你/nr, 今天/t, 
斋藤和 /nr 3	 , [”/w, 斋藤和/nr, 久/a, 依
那人 /nr 3	 , 看过/v, 那人/nr, 的/uj, 
良和 /nr 3	  [世/ng, 良和/nr, 福泽/nrf
