林田先生 /nr 48	 r, 是/v, 林田先生/nrj, 对/p, 
片冈 /nr 40	 , 了/ul, 片冈/nr, 那家伙/nz
智美 /nr 27	 , [“/w, 智美/nr, ，/w], 
昌章 /nr 26	  ，/w], [昌章/nr, 的/uj, 
小泉 /nr 22	 n, 姓/v, 小泉/nr, ，/w], 
阿升 /nr 22	  ，/w], [阿升/nr, 的/uj, 
广江 /nr 15	 r, 广/a, 江/nr, 的/uj, 
林田 /nr 11	  。/w], [林田/nr, 股长/n, 
南波 /nr 11	 z, “/w, 南波/nr, 胜久/nr,
美和典子 /nr 10	 g, 美/j, 和典子/nrj, 两/m, 
宫下 /nr 10	 , 过/ug, 宫下/nr, 先辈/n, 
叶山 /nr 9	  。/w], [叶山/nr, 广/a, 江
秋代 /nr 7	  ，/w], [秋代/nr, 说/v, 。
格蕾丝 /nr 7	 , 秘书/n, 格蕾丝/nrf, 成天/d,
阿高 /nr 7	 r, 和/c, 阿高/nr, 两/m, 个
南波先生 /nr 7	 v, “/w, 南波先生/nrj, ，/w],
佑介 /nr 6	 , [我/r, 和佑介/nrj, 从/p, 
堀内秋 /nr 5	 p, 称/v, 堀内秋/nr, 代/q, ，
桥本 /nr 5	 , 这位/r, 桥本/nr, 警官/n, 
雪子 /nr 5	 w, 我/r, 和雪子/nrj, 对/p, 

生时代 /nr 5	 p, 学/v, 生时代/nrj, 如何/r,
尼克 /nr 4	 , 朋友/n, 尼克/nrf, 那里/r,
闭上 /nr 4	 , 永远/d, 闭上/nr, 了/ul, 
林田先生可 /nr 4	 , 觉得/v, 林田先生可/nrj, 不/d, 
刚想 /nr 4	 , [我/r, 刚想/nr, 闪身/v, 
山下昌 /nr 4	 , 名叫/v, 山下昌/nr, 章/q, 的
安全上 /nr 4	  那是/nr, 安全上/nr, 垒/v, ！
南波胜久 /nr 4	  正式/ad, 南波胜久/nrj, ！/w],
刚过 /nr 4	 , 一点/m, 刚过/nr, ，/w], 
那两名 /nr 4	  [得知/v, 那两名/nr, 强盗/n, 
盛冈 /nr 4	 , 住在/v, 盛冈/nr, ，/w], 
那你就 /nr 4	 , [“/w, 那你就/nr, 去/v, 查
林田君 /nr 4	 v, 说/v, 林田君/nr, 是/v, 因
言中 /nr 4	 , 的/uj, 言中/nr, 之意/nz,
塞得 /nr 3	 n, 袋/q, 塞得/nrf, 满满当当/
天下一 /nr 3	 , 侦探/n, 天下一/nrj, 大/a, 
都说 /nr 3	  ，/w], [都说/nr, 是/v, 从
堵上 /nr 3	 , [我/r, 堵上/nr, 老太/n, 
那名 /nr 3	  [只见/v, 那名/nr, 男子/n, 
都能 /nr 3	 , 事事/n, 都能/nr, 称心如意/i
房里 /nr 3	 d, 怕/v, 房里/nr, 乱成一团/l
那就好 /nr 3	 , [“/w, 那就好/nr, 啊/y, ，
那张 /nr 3	 j, 把/p, 那张/nr, 照片/n, 
智美你 /nr 3	 , [“/w, 智美你/nr, 也/d, 清
广江 /nr 3	  [昨天/t, 广江/nr, 不巧/d, 
那可 /nr 3	 , [“/w, 那可/nr, 对/p, 不
全无 /nr 3	  [心绪/n, 全无/nr, 。/w], 
川岛先生 /nr 3	 , [“/w, 川岛先生/nrj, ，/w],
向佑介 /nr 3	 v, 能/v, 向佑介/nr, 吹嘘/vn,
房内 /nr 3	  ，/w], [房内/nr, 似乎/d, 
