慎介 /nr 1368	 n, 村/n, 慎介/nr, 丧失/v, 
江岛 /nr 242	  。/w], [江岛/nr, 是/v, 以
木内 /nr 198	 , 接近/v, 木内/nr, 先生/n, 
村上成美 /nr 120	 /w], [村上成美/nrj, 跟/p,
慎介 /nr 97	  ，/w], [慎介也/nr, 和/c, 好 
岸中玲 /nr 50	 n, 叫/v, 岸中玲/nrj, 二/m, 
岸中美菜 /nr 43	  ，/w], [岸中美菜/nrj, 绘/v, 
江岛先生 /nr 29	 , [“/w, 江岛先生/nrj, 今天/t,
慎介问 /nr 28	 , [”/w, 慎介问/nr, 。/w], 
木内春 /nr 26	 , [“/w, 木内春/nr, 彦/g, …
玲二 /nr 24	 , 丈夫/n, 玲/nr, 二/m, ，
木内先生 /nr 20	 , [“/w, 木内先生/nrj, 啊/y, 
宾士 /nr 17	 , 银色/n, 宾士/nr, 车/n, 。
秋山 /nr 12	 , [”/w, 秋山/nr, 警官/n, 
汤口律 /nr 12	 [”/w], [汤口律/nrj, 师/ng,
慎介一 /nr 12	  ？/w], [慎介一/nr, 把/p, 推

慎介摇 /nr 9	 , [”/w, 慎介摇/nr, 了/ul, 
慎介又 /nr 9	  ，/w], [慎介又/nr, 补充/v, 
慎介将 /nr 9	 , [”/w, 慎介将/nr, 鸡尾酒/n,
房里 /nr 8	 v, 在/p, 房里/nr, 念书/v, 
马克杯 /nr 8	 m, 个/q, 马克杯/nr, ，/w], 
村先生 /nr 8	 w, 雨/n, 村先生/nrj, ，/w],
那件 /nr 8	 v, 与/p, 那件/nr, 事/n, 有
慎介看 /nr 7	 , 拿给/v, 慎介看/nr, ，/w], 
岸中先生 /nr 7	 r, 是/v, 岸中先生/nrj, 的/uj,
那栋 /nr 7	 z, 在/p, 那栋/nr, 公寓/n, 
才说 /nr 7	 c, 你/r, 才说/nr, 以后/f, 
原绿 /nr 7	 , [上/f, 原绿/nr, 小姐/n, 
那双 /nr 7	 , [她/r, 那双/nr, 绽放/v, 
都有 /nr 7	  [我们/r, 都有/nr, 。/w], 
真是 /nr 7	 , [“/w, 真是/nr, 一/m, 场
室内一 /nr 7	  ，/w], [室内一/nrj, 片/q, 
和成美 /nr 7	  慎介/nr, 和成美/nrj, 问道/v,
慎介并 /nr 7	  [其实/d, 慎介并/nr, 不/d, 是
桥滨 /nr 6	  日本/ns, 桥滨/nr, 町/n, …
