葛原 /nr 69	 r, 是/v, 葛原/nr, 。/w], 
滨崎 /nr 45	 r, 是/v, 滨崎/nr, 会计/n, 
高屋 /nr 43	  》/w], [高屋/nr, 敷/v, 秀
金潮 /nr 41	  ，/w], [金潮/nr, 社/n, 文
小木 /nr 41	 , 编辑/n, 小木/nr, 应该/v, 
门马 /nr 27	 n, 到/v, 门马/nr, 家/q, ，
青足河童 /nr 19	 青足河/nr, 童/nr, 》/w, （
小谷 /nr 19	 , 时候/n, 小谷/nr, 就/d, 会
樱木弘子 /nr 17	 , 秘书/n, 樱木弘子/nrj, ，/w],
旭川 /nr 12	 贺站在/nr, 旭川/nr, 车站/n, 
梅田房 /nr 12	 , [”/w, 梅田房/nr, 江/nr, 
葛原先生 /nr 10	  [倒是/d, 葛原先生/nrj, ，/w],
梅田房江 /nr 10	 梅田房/nr, 江/nr, 微笑/vn,
青足河 /nr 10	 j, 《/w, 青足河/nr, 童/nr, 
金教授 /nr 9	 n, 法/j, 金教授/nr, 的/uj, 
爱因斯坦 /nr 8	  ，/w], [爱因斯坦/nr, 错/n, 了
康正 /nr 8	 g, 见/v, 康正/nr, 肯定/v, 
真智子 /nr 7	  [杀死/v, 真智子/nr, 的/uj, 
一石博士 /nr 7	 来与一/nr, 石博士/nr, 交情/n, 
友引 /nr 6	 d, 把/p, 友引/nr, 先生/n, 
门马先生 /nr 6	  ，/w], [门马先生/nrj, 吗/y, 

一本书 /nr 6	 p, 每/r, 一本书/nrj, 的/uj,
梯小姐 /nr 6	 n, 电/n, 梯小姐/nrj, 遇害/vn
台小姐 /nr 6	 , 柜/ng, 台小姐/nrj, 。/w],
文福 /nr 6	 n, 是/v, 文福/nr, 出版社/n,
都是 /nr 6	 t, 我/r, 都是/nr, 自己/r, 
高志 /nr 5	 , 的/uj, 高志/nr, 而言/u, 
田小文 /nr 5	  [猿/ng, 田小文/nr, 吾/r, 以
才是 /nr 5	  写稿/vn, 才是/nr, 。/w], 
