汤川 /nr 295	 v, 去/v, 汤川/nr, 老师/n, 
高野 /nr 49	 z, “/w, 高野/nr, 秀/ag, 
弥生 /nr 31	 , [”/w, 弥生/nr, 低下/a, 
清美 /nr 30	 /m], [长井清美/nrj, 穿着/n,
牧田 /nr 28	 , 的/uj, 牧田/nr, 偷偷/d, 
森崎礼 /nr 25	 c, “/w, 森崎礼/nrj, 美/j, 
长井清美 /nr 21	 [1/m], [长井清美/nrj, 穿着/n,
菅原 /nr 19	 , [是/v, 菅原/nr, 的/uj, 
富由子 /nr 16	  ，/w], [富由子/nrj, 。/w],
秋穗 /nr 16	 , 的/uj, 秋穗/nr, 和/c, 上
濑户富 /nr 10	 , [但/c, 濑户富/nr, 由/p, 子
濑户 /nr 9	 [2/m], [濑户/nr, 富/a, 由
坂本信彦 /nr 9	  [——/w, 坂本信彦/nrj, ”/w, 
矢岛贵子 /nr 8	 [4/m], [矢岛贵子/nrj, 突然/ad
神崎 /nr 6	  ，/w], [神崎/nr, 休/v, 生
神崎俊 /nr 6	 , 丈夫/n, 神崎俊/nr, 之/u, 在
菅原直树 /nr 6	 , 情人/n, 菅原直树/nrj, 的/uj,
小田 /nr 5	 , 刑警/n, 小田/nr, 这么/r, 
大阪 /nr 5	  车去/nr, 大阪/nr, ，/w], 
敏夫 /nr 5	  。/w], [敏夫/nr, 看起来/v,
田中 /nr 5	 j, 是/v, 田中/nr, 次郎/nz,
 
前田千晶 /nr 4	 , 的/uj, 前田千晶/nrj, ，/w],
大学理 /nr 4	 , 帝都/n, 大学理/nrj, 工学院/n
马上 /nr 4	 , [她/r, 马上/nr, 走/v, 过
神崎弥 /nr 4	 , 名叫/v, 神崎弥/nr, 生/v, 。
坂井善之 /nr 4	 , 看到/v, 坂井善之/nrj, 的/uj,
菅原静子 /nr 4	  [看到/v, 菅原静子/nrj, 正/d, 
织田不二子 /nr 4	 r, 是/v, 织田不二子/nrj, 的/uj,
尼桑 /nr 3	 m, 辆/q, 尼桑/nrf, 阳光/n,
都是你 /nr 3	 w, 这/r, 都是你/nr, 指示/n, 
真有 /nr 3	  [如果/c, 真有/nr, 那么/r, 
机响了 /nr 3	 j, 手/n, 机响了/nrj, ，/w],
近清美 /nr 3	 g, 接/v, 近清美/nrj, 。/w],
那张 /nr 3	 , 的/uj, 那张/nr, 照片/n, 
梦里 /nr 3	 , [把/p, 梦里/nr, 的/uj, 
坂本一 /nr 3	  ，/w], [坂本一/nrj, 直/d, 
昌明 /nr 3	  。/w], [昌明/nr, 好像/v, 
当直树 /nr 3	 , 或者/c, 当直树/nrj, 和/c, 
真是 /nr 3	 , [这/r, 真是/nr, 一个/mq,
梦中 /nr 3	  [预知/v, 梦中/nr, 可能/v, 
草薙先生 /nr 3	 , [“/w, 草薙先生/nrj, ，/w],
世田谷 /nr 3	 , [在/p, 世田谷/nr, 发生/v, 
草薙心 /nr 3	 , [”/w, 草薙心/nrj, 里/f, 
汤川将 /nr 3	 , [”/w, 汤川将/nrj, 添/v, 
成是 /nr 3	 d, 当/p, 成是/nr, 玩笑/n, 
