现在 /t 147	  ，/w], [现在/t, 却/d, 没
今天 /t 80	 , [“/w, 今天/t, 要/v, 到
刚才 /t 46	  ，/w], [刚才/t, 迷路/n, 
过去 /t 35	 , 了/ul, 过去/t, 。/w], 
晚上 /t 33	 [差不多/l, 晚上/t, 十/m, 点
昨天 /t 29	 , [我/r, 昨天/t, 接到/v, 
去年 /t 29	 v, 是/v, 去年/t, 九月/t, 
最近 /t 29	 , 感觉/n, 最近/t, 还/d, 和
眼前 /t 24	 v, 在/p, 眼前/t, 的/uj, 
今年 /t 18	  ，/w], [今年/t, 三月/t, 
明天 /t 17	  ，/w], [明天/t, 就/d, 能
平时 /t 15	 n, 和/c, 平时/t, 不/d, 太
一时 /t 11	 , 好比/v, 一时/t, 想/v, 不
下午 /t 10	  走到/vf, 下午/t, 五/m, 点
将来 /t 10	 d, 有/v, 将来/t, 的/uj, 
早上 /t 10	 , 每天/r, 早上/t, 在/p, 固
当前 /t 10	 , 其实/d, 当前/t, 时点上/nr
目前 /t 9	  智彦/nr, 目前/t, 都/d, 附
当时 /t 9	  。/w], [当时/t, 智彦/nr,
上次 /t 9	 , [“/w, 上次/t, 做/v, 实
晚 /t 9	 由子/nr, 今晚/t, 才/d, 第
秋天 /t 9	 , 去年/t, 秋天/t, 的/uj, 
中年 /t 7	  那对/nr, 中年/t, 夫妇/n, 
如今 /t 7	 那家伙/nz, 如今/t, 怎么样/r,
后来 /t 7	 v, 到/v, 后来/t, 还是/c, 
往常 /t 7	 , [跟/p, 往常/t, 一样/u, 
春天 /t 6	 , 今年/t, 春天/t, 刚/d, 踏
夜晚 /t 6	 , 这个/r, 夜晚/t, 是/v, 泡
今晚 /t 6	 麻由子/nr, 今晚/t, 才/d, 第
明年 /t 6	 , 了/ul, 明年/t, 就/d, 能
深夜 /t 5	 , 了/ul, 深夜/t, ，/w], 
四月 /t 5	 , 今年/t, 四月/t, 在/p, 宣
今后 /t 5	 , [“/w, 今后/t, 的/uj, 
