现在 /t 77	  [不知/v, 现在/t, 怎么样/r,
当时 /t 65	 d, 跟/p, 当时/t, 的/uj, 
过去 /t 47	 , [·/w, 过去/t, 之/u, 章
后来 /t 33	  ，/w], [后来/t, 还/d, 是
今天 /t 24	 r, 想/v, 今天/t, 晚上/t, 
最近 /t 20	 , [“/w, 最近/t, 那个/r, 
昨天 /t 15	  ，/w], [昨天/t, 画家/n, 
一时 /t 15	 , [我/r, 一时/t, 也/d, 想
当天 /t 14	 c, 是/v, 当天/t, 是/v, 第
晚上 /t 12	 , 今天/t, 晚上/t, 一定/d, 
今后 /t 12	  ，/w], [今后/t, 他/r, 要
年前 /t 12	 v, 十/m, 年前/t, 出道/v, 
晚 /t 10	  [“/w, 今晚/t, 打算/v, 
先前 /t 10	  。/w], [先前/t, 曾受/nr,
过后 /t 9	 m, 点/q, 过后/t, 吧/y, 。
刚才 /t 8	  。/w], [刚才/t, 的/uj, 
童年 /t 8	 , 的/uj, 童年/t, 旧识/nz,
明天 /t 7	 , [你/r, 明天/t, 还有/v, 
从前 /t 7	 , 露出/v, 从前/t, 教书/v, 
去年 /t 7	  ，/w], [去年/t, 出版/v, 
今晚 /t 7	 , [“/w, 今晚/t, 打算/v, 
今年 /t 6	  [不过/c, 今年/t, 三月/t, 
瞬间 /t 6	  [全身/n, 瞬间/t, 僵直/z, 
下次 /t 5	 v, 好/a, 下次/t, 见面/v, 
目前 /t 5	  ，/w], [目前/t, 正/d, 在
往日 /t 5	  [快步/d, 往日/t, 高家/nr,
昨晚 /t 5	  [虽然/c, 昨晚/t, 我/r, 没
早上 /t 5	 v, ：/w, 早上/t, ，/w], 
当晚 /t 5	  案发/vn, 当晚/t, 他/r, 脱
五月 /t 4	 , 的/uj, 五月/t, 十/m, 日
四月 /t 4	 v, 在/p, 四月/t, 十六/m, 
往常 /t 4	 m, 如/v, 往常/t, ，/w], 
事后 /t 4	  ，/w], [事后/t, 邦/ng, 
秋天 /t 4	 , 去年/t, 秋天/t, 以来/f, 
现今 /t 4	 , [是/v, 现今/t, 少数/mq,
深夜 /t 3	 , 正值/v, 深夜/t, 吧/y, ？
