现在 /t 128	  。/w], [现在/t, 他/r, 完
刚才 /t 69	 , [你/r, 刚才/t, 说和/v, 
过去 /t 60	 , 早已/d, 过去/t, 了/ul, 
当时 /t 59	  。/w], [当时/t, ，/w], 
今天 /t 50	 , 了/ul, 今天/t, 晚上/t, 
明天 /t 23	  ？/w], [明天/t, 我/r, 就
眼前 /t 20	 , 只顾/d, 眼前/t, ，/w], 
未来 /t 20	 ——/w], [未来/t, 不仅仅/d,
后来 /t 19	  ，/w], [后来/t, 跟/p, 丢
昨天 /t 17	  ，/w], [昨天/t, 他/r, 一
如今 /t 17	 n, 到/v, 如今/t, ，/w], 
一时 /t 16	 m, 人/n, 一时/t, 无言/z, 
今后 /t 14	 w, “/w, 今后/t, 还/d, 想
晚上 /t 13	  。/w], [晚上/t, ，/w], 
上次 /t 10	 , [“/w, 上次/t, 多谢/v, 
晚 /t 7	 q, 一/m, 晚/tg, 的/uj,
中年 /t 7	 , 透着/v, 中年/t, 医生/n, 
下午 /t 7	  [面试/v, 下午/t, 三/m, 点
往后 /t 6	 r, 事/n, 往后/t, 拖/v, 。
凌晨 /t 6	 , 了/ul, 凌晨/t, 一点/m, 
眼下 /t 6	  ，/w], [眼下/t, 已/d, 是
今夜 /t 6	 , ——/w, 今夜/t, 住/v, 哪
将来 /t 6	  ，/w], [将来/t, 也/d, 想
目前 /t 5	  。/w], [目前/t, 对此/d, 
平时 /t 5	 [拓实/nr, 平时/t, 几乎/d, 
年前 /t 5	 , 半/mq, 年前/t, 吧/y, 。
深夜 /t 4	  。/w], [深夜/t, 的/uj, 
上午 /t 4	  [今天/t, 上午/t, 还/d, 是
当天 /t 4	 v, 在/p, 当天/t, 表明/v, 
前天 /t 4	 m, 鹤/n, 前天/t, 晚上/t, 
从前 /t 4	  。/w], [从前/t, 那个/r, 
早晨 /t 4	 , 今天/t, 早晨/t, 才/d, 离
最近 /t 4	  。/w], [最近/t, 老是/d, 
春 /t 4	 z, “/w, 春/tg, 庵/ng,
今年 /t 3	 , [“/w, 今年/t, 是/v, 一
今晚 /t 3	  [反正/d, 今晚/t, 也/d, 只
