春 /t 66	 , 的/uj, 春/tg, 美/j, 
今天 /t 64	  ，/w], [今天/t, 的/uj, 
现在 /t 64	 再继续/nz, 现在/t, 这种/r, 
刚才 /t 41	 , [我/r, 刚才/t, 也/d, 说
过去 /t 35	 v, 说/v, 过去/t, 这/r, 一
晚上 /t 24	  [昨天/t, 晚上/t, 我们/r, 
当时 /t 22	 v, 她/r, 当时/t, 相当/d, 
今晚 /t 20	 , 觉得/v, 今晚/t, 还是/c, 
唐 /t 19	 , 名叫/v, 唐/tg, 伞/n, 
明天 /t 18	  ，/w], [明天/t, 再/d, 给
今后 /t 16	  ，/w], [今后/t, 也/d, 一
最近 /t 16	  ，/w], [最近/t, 的/uj, 
去年 /t 13	 新人奖/nz, 去年/t, 的/uj, 
昨天 /t 12	 d, 到/v, 昨天/t, 为止/u, 
早上 /t 12	 , 今天/t, 早上/t, 吃/v, 了
昨晚 /t 11	  。/w], [昨晚/t, 通话/v, 
如今 /t 11	 , [比/p, 如今/t, 天/q, 我
今年 /t 9	  ，/w], [今年/t, 才/d, 改
往常 /t 9	 r, 像/v, 往常/t, 一样/u, 
目前 /t 8	 , 自己/r, 目前/t, 的/uj, 
周六 /t 8	  一个/mq, 周六/t, ，/w], 
过后 /t 8	 , 分钟/q, 过后/t, ，/w], 
往后 /t 7	  惊得/nz, 往后/t, 一/m, 仰
下次 /t 7	  。/w], [下次/t, 得/ud, 
晚 /t 7	  觉得/v, 今晚/t, 还是/c, 
早晨 /t 7	 [隔天/nz, 早晨/t, 醒/v, 来
眼前 /t 6	 , 的/uj, 眼前/t, 是/v, 庶
平时 /t 6	 , [比/p, 平时/t, 提前/v, 
傍晚 /t 6	 v, 到/v, 傍晚/t, ，/w], 
夜晚 /t 5	  ，/w], [夜晚/t, 的/uj, 
一大早 /t 4	  [今天/t, 一大早/t, ，/w], 
瞬间 /t 4	  一个/mq, 瞬间/t, ，/w], 
下午 /t 4	 , 今天/t, 下午/t, 五/m, 点
周日 /t 4	 [9/m], [周日/t, 晚上/t, 
年前 /t 4	 p, 3/m, 年前/t, 死/v, 于
后来 /t 4	 , [”/w, 后来/t, 的/uj, 
星期二 /t 3	  ？/w], [星期二/t, 吧/y, 。
来时 /t 3	 d, 到/v, 来时/t, 反而/d, 
白天 /t 3	 [华子/nz, 白天/t, 上/f, 专
上周 /t 3	 , [“/w, 上周/t, 日/j, 发
当天 /t 3	  。/w], [当天/t, 的/uj, 
当初 /t 3	  [虽然/c, 当初/t, 获奖/vn,
一刹那 /t 3	 c, 下/f, 一刹那/t, ，/w], 
夜 /t 3	 , 是/v, 深夜/t, 就/d, 出
